dataset_id,region,taxon_name,trait_name,value,URL,Reliable,Notes
RBGSYD_2021,Aus,Casuarina pauper,flowering_time,NYYNYYYNYYYY,,1,"Coded from flowering specimens in database at National Herbarium of NSW (from NSW, SA, WA, VIC). Flowering times outside Oct-Nov based on very few specimens."
eFlora_SA,SA,Atriplex angulata,flowering_time,NNNNNNYYYYNN,http://www.flora.sa.gov.au/cgi-bin/speciesfacts_display.cgi?form=speciesfacts&name=Atriplex_angulata,1,"""Flowering time: mainly July — Oct."""
eFlora_NT,NT,Atriplex angulata,flowering_time,NNNNNYNNNYNN,http://eflora.nt.gov.au/factsheet?id=1117,1,"""Flowering: Jun, Oct"""
PlantNET,NSW,Atriplex angulata,flowering_time,NNNNNNYYYYNN,https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Atriplex~angulata,1,"""Flowering: Flowers July to October, mostly spring."""
VicFlora,VIC,Atriplex angulata,flowering_time,NNNNYNNNYNNN,https://vicflora.rbg.vic.gov.au/flora/taxon/496b1170-8ffa-4f67-8cd5-cec133175964,1,"""Flowers May, Sep (2 records)."""
FloraBase_WA,WA,Astrebla lappacea,flowering_time,NNNNNYYNNNNN,https://florabase.dpaw.wa.gov.au/browse/profile/228,1,"""Fl. green/purple, Jun to Jul"""
eFlora_NT,NT,Duma florulenta,flowering_time,YYNNYNYYYYYN,http://eflora.nt.gov.au/factsheet?id=4942,1,"""Flowering: Jan, Feb, May, Jul, Aug, Sep, Oct, Nov"""
eFlora_NT,NT,Aristida holathera var. holathera,flowering_time,NNYYNYNNNNNN,http://eflora.nt.gov.au/factsheet?id=4221,1,"""Flowering: Mar, Apr, Jun"""
FloraBase_WA,WA,Aristida holathera,flowering_time,NNYYYNNNNNNN,https://florabase.dpaw.wa.gov.au/browse/profile/210,1,"""Fl. yellow-brown/purple, Mar to May"""
Flora_Aus,Aus,Aristida holathera var. holathera,flowering_time,YYYYYYYYYYYY,https://profiles.ala.org.au/opus/foa/profile/Aristida%20holathera%20var.%20holathera,1,"""Flowers and fruits all year"""
eFlora_NT,NT,Lechenaultia divaricata,flowering_time,YYNYNNNNNYYY,http://eflora.nt.gov.au/factsheet?id=2685,1,"""Flowering: Jan, Feb, Apr, Oct, Nov, Dec"""
eFlora_NT,NT,Paspalidium reflexum,flowering_time,NYNNNYNNNYYN,http://eflora.nt.gov.au/factsheet?id=4688,1,"""Flowering: Feb, Jun, Oct, Nov"""
FloraBase_WA,WA,Salsola australis,flowering_time,NNYYYNYYYNNN,https://florabase.dpaw.wa.gov.au/browse/profile/30434,1,"""Fl. green/cream/white, Mar to May or Jul to Sep"""
eFlora_NT,NT,Atriplex vesicaria,flowering_time,YNNNNNYNYYNN,http://eflora.nt.gov.au/factsheet?id=1143,1,"""Flowering: Jan, Jul, Sep, Oct"""
eFlora_NT,NT,Euphorbia parvicaruncula,flowering_time,NNNNNYNNNYNN,http://eflora.nt.gov.au/factsheet?id=2006,1,"""Flowering: Jun, Oct"""
