ID,Pop,UniqueID,Fam,Block,Rep,WBI,PRI,mND705,d13C,N Concentration (%),leafarea (cm2),SLA (m2 kg-1),w_dens (g cm-3),latitudes,longitude,TMAX,PMA,AI,species
BOO576,BOO,576,168,1,1,1.060028751,0.022642696,0.711535497,-27.98,0.9,128.837,5.4,0.600120627,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO578,BOO,578,168,2,1,1.050882361,0.036914966,0.770333117,-27.33,1.6,96.477,7.24,0.48200144,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO582,BOO,582,168,3,1,1.056006597,0.021960182,0.695164441,-27.88,1,125.047,5.9,0.655546936,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO588,BOO,588,168,5,2,1.050551589,0.042438531,0.76542417,-28.83,1.3,151.935,6.61,0.595893403,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO589,BOO,589,169,1,2,1.043128831,0.034319588,0.794934453,-27.22,1.7,109.405,7.06,0.540441176,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO591,BOO,591,169,2,2,NA,NA,NA,-28.74,1.1,212.918,6.4,0.513054038,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO594,BOO,594,169,3,1,1.052661923,0.030382368,0.735095352,-28.1,1.4,149.901,6.66,0.51946976,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO600,BOO,600,169,5,4,1.047948807,0.03392587,0.836048625,-26.47,1.7,197.67,5.71,0.438871473,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO601,BOO,601,170,1,1,1.054432892,0.051642057,0.816618957,-27.74,1.7,206.082,6.75,0.564139942,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO603,BOO,603,170,2,1,1.049874942,0.023489622,0.721393525,-27.59,1.2,133.804,7.4,0.202158463,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO607,BOO,607,170,3,2,1.049626386,0.046318055,0.796737869,-27.51,1.3,155.423,6.87,0.479586818,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO612,BOO,612,170,5,2,1.053878937,0.016940298,0.685545412,-27.22,1.2,131.105,5.56,0.440061872,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO614,BOO,614,171,1,1,1.052829169,0.028032433,0.814543154,-27.13,1.8,95.961,5.99,0.505216095,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO618,BOO,618,171,2,2,1.062600004,0.040901224,0.814519517,-26.59,1.5,133.301,5.87,0.489903846,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO621,BOO,621,171,3,1,1.044367519,0.041522589,0.798174057,-28.64,1.5,112.125,7.02,0.614958449,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO626,BOO,626,171,5,1,1.056011532,0.035321547,0.730855184,-26.72,1.3,97.112,6.35,0.442526316,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO627,BOO,627,172,1,2,1.056628169,0.026683186,0.719942348,-27.38,1.6,148.41,6.69,0.507018993,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO629,BOO,629,172,2,1,1.038193915,0.022789154,0.705629393,-28.07,1.5,135.103,6.92,0.586869496,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO630,BOO,630,172,3,1,1.058292307,0.036499947,0.721202288,-26.91,1.1,140.384,5.46,0.498062016,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO638,BOO,638,172,5,3,1.053432075,0.009139724,0.689819109,-26.93,1.2,134.688,6.01,0.663157895,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO639,BOO,639,173,1,1,1.05768518,0.019865474,0.712699529,-28.27,1.2,125.594,5.99,0.613915416,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO641,BOO,641,173,2,1,1.051184587,0.034489267,0.777809376,-26.88,2,125.066,6.43,0.505456813,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO644,BOO,644,173,3,1,1.051105885,0.02864926,0.75852369,-28.08,1.5,162.7,6.99,0.578197364,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO650,BOO,650,173,5,1,1.040507386,0.01466711,0.781194235,-28.52,1.4,161.759,5.6,0.578025478,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO652,BOO,652,174,1,1,1.055891368,0.023811568,0.730219947,-28.06,1.3,128.044,5.85,0.663461538,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO654,BOO,654,174,2,1,1.055768925,0.031670662,0.77026654,-27.53,1.2,126.097,5.73,0.550228311,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO658,BOO,658,174,3,1,1.049345874,0.034541656,0.758711267,-25.65,1.7,156.247,6.37,0.589382449,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO664,BOO,664,174,5,3,1.052115622,0.045677243,0.850342215,-26.96,1.5,167.504,5.75,0.597481343,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO666,BOO,666,175,1,1,1.055925772,0.0258088,0.692605405,-28.09,1.1,137.016,6.44,0.612903226,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO668,BOO,668,175,2,1,1.049755735,0.015355046,0.696017882,-26.49,1.2,90.005,6.19,0.626563174,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO672,BOO,672,175,3,1,1.056357552,0.022501689,0.696054172,-27.84,1.2,127.026,5.51,0.605916535,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO678,BOO,678,175,5,4,1.044622252,0.017661508,0.751164726,-26.72,2.5,92.141,6.84,0.532818533,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO680,BOO,680,176,1,1,1.053778802,0.044222033,0.782473869,-27.57,1.2,71.879,6.77,0.537117904,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO682,BOO,682,176,2,1,1.053035117,0.036639607,0.776848941,-26.66,1.4,116.382,6.18,0.648773006,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO686,BOO,686,176,3,3,1.052636047,0.016847611,0.577012968,-28.22,0.9,117.864,6.31,0.618579235,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO691,BOO,691,176,5,3,1.04391709,0.011790377,0.789534111,-26.09,1.6,127.63,6.33,0.54109589,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO692,BOO,692,177,1,1,1.065301749,0.034740644,0.778117967,-27.35,1.1,91.442,5.23,0.524710189,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO694,BOO,694,177,2,1,1.047575357,0.041982679,0.77817384,-27.42,1.3,126.175,6.82,0.557428872,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO698,BOO,698,177,3,2,1.053457008,0.040491215,0.765969331,-27.19,1.7,111.047,7.51,0.485818476,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BOO701,BOO,701,177,5,4,1.056585975,-0.02212137,0.593517358,-28.08,0.8,168.312,5.26,0.517458101,-34.638944,116.123806,25.6,1159,1.05,Corymbia calophylla
BRA540,BRA,540,158,1,2,1.049852431,0.039556093,0.835379922,-25.76,1.6,119.534,6.48,0.543425814,-33.916389,115.083278,26.1,1072,0.96,Corymbia calophylla
