Ordered_Tag,Tag_ID,Ibutton_ID,Block,Plot,Plot_Code,Treatment,SubPlot,Position,Site,Mother,Mother_Code,Notes,IN_Plant,Run,Thermocouple,NT_Temp,Exotherm,FvFm_Pre_IN,FvFm_Post_IN,Weight_Pre_IN,Weight_Post_IN
35,37,NA,A,5,5,W,A5W,No,river,5,25,Good,Yes,2,4-,-10.2,Yes,0.735,0.71,0.00397,0.00313
58,57,NA,A,8,8,A,A8A,No,pass,2,12,Good,Yes,1,8*,NA,No,0.778,0.524,0.00347,0.00165
62,58,NA,A,8,8,W,A8W,No,pass,2,12,Good,Yes,1,4-,NA,No,0.809,0.704,0.00341,0.002
82,83,NA,B,1,11,A,B1A,No,hut,5,35,Good,Yes,2,6-,-8.67,Yes,0.811,0.745,0.00247,0.00205
88,88,NA,B,1,11,W,B1W,We,kosi,6,6,Good,Yes,1,7*,-8.78,Yes,0.78,0.785,0.00211,0.00153
89,95,31C836,B,2,12,A,B2A,Ea,kosi,4,4,Good,Yes,2,3-,-8.21,Yes,0.77,0.789,0.00332,0.00262
93,96,31DOB1,B,2,12,W,B2W,Ea,kosi,4,4,Good,Yes,2,7-,NA,NA,0.796,0.7,0.00235,0.00147
96,94,NA,B,2,12,W,B2W,We,river,7,27,Good,Yes,2,5+,-9.5,Yes,0.734,NA,0.00221,NA
98,101,NA,B,3,13,W,B3W,No,river,4,24,Good,Yes,1,2+,-9.12,Yes,0.804,0.795,0.0019,0.00135
99,99,NA,B,3,13,W,B3W,So,hut,10,40,Good,Yes,1,2*,-8.89,Yes,0.766,0.791,0.00572,0.00409
102,102,NA,B,3,13,A,B3A,No,river,4,24,Good,Yes,1,7+,-10.98,Yes,0.717,0.504,0.00109,0.00064
105,105,31D1EE,B,4,14,A,B4A,Ea,pass,5,15,Good,Yes,2,7+,-9.02,Yes,0.751,0.572,0.00279,0.00193
109,106,31D17B,B,4,14,W,B4W,Ea,pass,5,15,Good,Yes,2,6*,-9.59,Yes,0.697,0.465,0.00277,0.00205
121,127,31A618,B,6,16,W,B6W,Ea,kosi,5,5,Good,Yes,2,3+,-8.5,Yes,0.807,0.675,0.00175,0.00105
125,128,31D352,B,6,16,A,B6A,Ea,kosi,5,5,Good,Yes,2,2-,-9.36,Yes,0.761,0.464,0.00193,0.0018
131,129,NA,B,7,17,W,B7W,So,pass,1,11,Good,Yes,2,8*,-9.75,Yes,0.735,0.527,0.00297,0.00184
139,139,NA,B,8,18,A,B8A,So,hut,8,38,Good,Yes,1,3+,-10.89,Yes,0.786,0.747,0.00304,0.00222
143,140,NA,B,8,18,W,B8W,So,hut,8,38,Good,Yes,1,3*,-8.86,Yes,0.779,0.769,0.00267,0.00212
148,151,NA,B,9,19,W,B9W,We,kosi,9,9,Good,Yes,1,4+,-10.46,Yes,0.798,0.677,0.00261,0.00164
149,150,31CB86,B,9,19,A,B9A,Ea,river,1,21,Good,Yes,2,5-,-8.86,Yes,0.662,0.659,0.00396,0.00292
154,159,NA,B,10,20,A,B10A,No,kosi,2,2,Good,Yes,2,2*,-8.54,Yes,0.78,0.705,0.0045,0.00336
161,167,31A53A,C,1,21,A,C1A,Ea,kosi,9,9,Good,Yes,1,4*,-10.91,Yes,0.758,0.785,0.00403,0.00295
185,187,31D3CC,C,4,24,W,C4W,Ea,hut,5,35,Good,Yes,2,6+,-8.13,Yes,0.757,0.739,0.00516,0.00418
194,195,NA,C,5,25,W,C5W,No,hut,10,40,Good,Yes,2,4*,-9.7,Yes,0.798,0.778,0.00348,0.00255
198,196,NA,C,5,25,A,C5A,No,hut,10,40,Good,Yes,2,4+,-10.68,Yes,0.796,0.565,0.00364,0.00232
202,205,NA,C,6,26,A,C6A,No,river,3,23,Good,Yes,2,7*,-9.53,Yes,0.794,0.733,0.00388,0.00257
206,206,NA,C,6,26,W,C6W,No,river,3,23,Good,Yes,2,3*,NA,No,0.706,0.73,0.00401,0.00267
212,209,NA,C,7,27,A,C7A,We,pass,1,11,Good,Yes,2,8+,-8.86,Yes,0.604,0.753,0.00471,0.00333
218,217,NA,C,8,28,W,C8W,No,pass,3,13,Good,Yes,1,6-,-10.38,Yes,0.744,0.742,0.00344,0.00267
222,218,NA,C,8,28,A,C8A,No,pass,3,13,Good,Yes,1,6+,-7.8,No,0.629,0.631,0.0057,0.00274
227,229,NA,C,9,29,A,C9A,So,river,8,28,Good,Yes,1,5*,NA,No,0.658,0.693,0.00375,0.00262
230,232,NA,C,9,29,W,C9W,No,kosi,2,2,Good,Yes,2,Blank_in_2+,-10.46,Yes,0.797,0.441,0.00311,0.00191
231,230,NA,C,9,29,W,C9W,So,river,8,28,Good,Yes,1,8+,-9.75,Yes,0.78,0.796,0.00361,0.00248
342,344,NA,E,3,43,A,E3A,No,kosi,6,6,Good,Yes,1,2-,NA,No,0.652,0.598,0.00399,0.00245
346,345,NA,E,4,44,W,E4W,No,pass,8,18,Good,Yes,1,5-,-7.4,Yes,0.767,0.559,0.00328,0.00263
347,347,NA,E,4,44,W,E4W,So,hut,7,37,Good,Yes,1,5+,-8.96,Yes,0.764,0.711,0.00397,0.0032
350,346,NA,E,4,44,A,E4A,No,pass,8,18,Good,Yes,1,3-,-11.08,Yes,0.555,0.457,0.00346,0.00258
351,348,NA,E,4,44,A,E4A,So,hut,7,37,Good,Yes,1,7-,-9.74,Yes,0.767,0.644,0.00224,0.00196
