context,provenance,Treatment,description,type
seeds from Kosciuszko Summit (2225 m) grown under Ambient conditions,Kosciuszko Summit,Ambient,measurements made on plants grown from seeds collected at different elevations and under either amibent or warmed conditions,treatment
seeds from Snowy River (1972 m) grown under Ambient conditions,Snowy River,Ambient,measurements made on plants grown from seeds collected at different elevations and under either amibent or warmed conditions,treatment
seeds from Seamans Hut (2030 m) grown under Ambient conditions,Seamans Hut,Ambient,measurements made on plants grown from seeds collected at different elevations and under either amibent or warmed conditions,treatment
seeds from Snowy River (1972 m) grown under Warmed conditions,Snowy River,Warmed,measurements made on plants grown from seeds collected at different elevations and under either amibent or warmed conditions,treatment
seeds from Charlotte Pass (1842 m) grown under Ambient conditions,Charlotte Pass,Ambient,measurements made on plants grown from seeds collected at different elevations and under either amibent or warmed conditions,treatment
seeds from Charlotte Pass (1842 m) grown under Warmed conditions,Charlotte Pass,Warmed,measurements made on plants grown from seeds collected at different elevations and under either amibent or warmed conditions,treatment
seeds from Kosciuszko Summit (2225 m)  grown under Warmed conditions,Kosciuszko Summit,Warmed,measurements made on plants grown from seeds collected at different elevations and under either amibent or warmed conditions,treatment
seeds from Seamans Hut (2030 m) grown under Warmed conditions,Seamans Hut,Warmed,measurements made on plants grown from seeds collected at different elevations and under either amibent or warmed conditions,treatment
