Species ,SLA,
A. bidwillii,9.072079005, 
A. bidwillii,9.43709248,
A. bidwillii,10.57669697,
A. bidwillii,15.18577427,
A. bidwillii,11.3437285,
A. bidwillii,11.32258065,
A. bidwillii,13.48526396,
A. bidwillii,15.1174668,
A. bidwillii,14.01680933,
A. bidwillii,15.04273504,
A. bidwillii,11.16532226,
A. bidwillii,10.50304054,
A. bidwillii,9.995718393,
A. bidwillii,9.352147239,
A. bidwillii,9.049441993,
A. bidwillii,12.38610182,
A. bidwillii,13.13303689,
A. bidwillii,11.79378381,
A. bidwillii,13.07795699,
A. bidwillii,11.38927473,
A. bidwillii,12.93881645,
A. bidwillii,12.80916905,
A. bidwillii,14.1916128,
A. bidwillii,15.09766425,
A. bidwillii,12.36799482,
A. bidwillii,8.964361764,
A. bidwillii,8.428277348,
A. bidwillii,7.757546219,
A. bidwillii,7.791230133,
A. excelsa,8.90078077,
A. excelsa,8.708362085,
A. excelsa,9.317479737,
A. excelsa,9.417374943,
A. excelsa,9.114440348,
A. excelsa,9.46681857,
A. excelsa,10.08534969,
A. excelsa,10.30419448,
A. excelsa,11.64961291,
A. excelsa,10.10635784,
A. excelsa,9.469800182,
A. excelsa,11.56340475,
A. excelsa,8.774504692,
A. excelsa,7.530663069,
A. excelsa,10.4075,
A. excelsa,8.891018814,
A. excelsa,8.96658619,
A. excelsa,10.66738351,
A. excelsa,11.37191011,
A. excelsa,11.36297968,
A. excelsa,10.21625767,
A. excelsa,10.75595142,
A. excelsa,7.773892095,
A. excelsa,7.488146218,
A. excelsa,7.417386884,
A. excelsa,7.727358136,
A. excelsa,8.075430512,
A. excelsa,8.93413798,
A. excelsa,9.091683664,
A. excelsa,9.2547264,
A. excelsa,10.21254682,
A. excelsa,9.206111764,
B. australis,13.14597473,
B. australis,12.93806191,
B. australis,15.29374303,
B. australis,14.5846825,
B. australis,16.90365391,
B. australis,12.85468354,
B. australis,14.44593751,
B. australis,14.31086729,
B. australis,22.11062892,
B. australis,12.53243513,
B. australis,12.97855441,
B. australis,20.86490624,
B. australis,13.37481065,
B. australis,19.88513999,
B. australis,16.16288082,
B. australis,12.6567728,
B. australis,12.72524055,
B. australis,12.85340032,
B. australis,13.80918333,
B. australis,11.52796303,
B. australis,9.458736501,
B. australis,8.878461129,
B. australis,9.225602028,
B. australis,9.156575087,
B. australis,9.006663113,
B. australis,13.71906083,
B. australis,12.90961945,
B. australis,11.07522009,
B. australis,12.04868637,
B. australis,11.83760575,
C. gillivraei,15.34883721,
C. gillivraei,18.77920121,
C. gillivraei,16.12140274,
C. gillivraei,19.31478969,
C. gillivraei,17.49529633,
C. gillivraei,17.15860023,
C. gillivraei,16.12746659,
C. gillivraei,16.53773262,
C. gillivraei,16.7379928,
C. gillivraei,17.71589767,
C. gillivraei,17.01823175,
C. gillivraei,15.98734561,
C. gillivraei,17.14536218,
C. gillivraei,14.92665754,
C. gillivraei,17.3965752,
C. gillivraei,14.29444342,
C. gillivraei,16.77100519,
C. gillivraei,14.8768149,
C. gillivraei,13.80012951,
C. gillivraei,17.98561393,
C. gillivraei,14.45246323,
C. gillivraei,17.14883613,
