Species,Tree,Stem,Phenology,Diameter
Gossia bidwillii,1,1,Evergreen,34.66858318
Gossia bidwillii,1,2,Evergreen,33.61939784
Gossia bidwillii,1,3,Evergreen,32.08051686
Gossia bidwillii,2,1,Evergreen,28.79196914
Gossia bidwillii,2,2,Evergreen,25.45044139
Gossia bidwillii,2,3,Evergreen,33.35409437
Gossia bidwillii,3,1,Evergreen,32.66349736
Gossia bidwillii,3,2,Evergreen,35.89574825
Gossia bidwillii,3,3,Evergreen,31.76691914
Alphitonia excelsa,1,1,Evergreen,44.19053567
Alphitonia excelsa,1,2,Evergreen,45.46629354
Alphitonia excelsa,1,3,Evergreen,49.09589609
Alphitonia excelsa,2,1,Evergreen,49.62970175
Alphitonia excelsa,2,2,Evergreen,38.39280221
Alphitonia excelsa,2,3,Evergreen,50.30165226
Alphitonia excelsa,3,1,Evergreen,47.83767202
Alphitonia excelsa,3,2,Evergreen,47.71989757
Alphitonia excelsa,3,3,Evergreen,50.75645893
Brachychiton australis,1,1,Deciduous,61.85092031
Brachychiton australis,1,2,Deciduous,69.61943807
Brachychiton australis,1,3,Deciduous,85.76104918
Brachychiton australis,2,1,Deciduous,143.4196621
Brachychiton australis,2,2,Deciduous,65.47085237
Brachychiton australis,2,3,Deciduous,89.30382784
Brachychiton australis,3,1,Deciduous,93.89241777
Brachychiton australis,3,2,Deciduous,80.23909728
Brachychiton australis,3,3,Deciduous,89.42397791
Brachychiton australis,3,4,Deciduous,95.67467245
Cochlospermom gillivraei,1,1,Deciduous,95.98618815
Cochlospermom gillivraei,1,2,Deciduous,84.37151996
Cochlospermom gillivraei,1,3,Deciduous,85.60959129
Cochlospermom gillivraei,2,1,Deciduous,76.49745183
Cochlospermom gillivraei,2,2,Deciduous,130.5854513
Cochlospermom gillivraei,2,3,Deciduous,137.5994577
Cochlospermom gillivraei,3,1,Deciduous,113.6916631
Cochlospermom gillivraei,3,2,Deciduous,137.9310125
Cochlospermom gillivraei,3,3,Deciduous,78.80029923
