Site,Season,Species,Plant ,Leaf,Time,PAR,LAVPD,Leaf Temp,A,E,gs
1,Wet,Alphitonia excelsa,2,2,11:00,1251,2.949297753,34.74,7.55,5.24,0.38
1,Wet,Alphitonia excelsa,2,3,11:00,1346,3.673654004,36.94,4.98,3.51,0.14
1,Wet,Alphitonia excelsa,2,4,11:00,964,3.052333094,35.04,4.41,3.41,0.17
1,Wet,Alphitonia excelsa,2,5,11:00,1137,2.984281208,34.95,7.56,4.37,0.26
1,Wet,Alphitonia excelsa,2,1,13:00,1186,3.009409221,35.38,5.91,4.19,0.24
1,Wet,Alphitonia excelsa,2,2,13:00,678,2.564408757,34.03,5.69,2.66,0.15
1,Wet,Alphitonia excelsa,2,3,13:00,652,2.896784098,35.15,3.8,1.1,0.04
1,Wet,Alphitonia excelsa,2,4,13:00,117,1.498292167,30.13,2.65,3.02,0.5
1,Wet,Alphitonia excelsa,2,5,13:00,428,1.891150915,31.82,5,2.82,0.27
1,Wet,Alphitonia excelsa,2,1,15:00,829,2.276869925,33.04,8.35,5.19,0.71
1,Wet,Alphitonia excelsa,2,2,15:00,1705,3.364845759,36.56,10.48,5.67,0.34
1,Wet,Alphitonia excelsa,2,3,15:00,355,2.744969109,34.53,,1.63,
1,Wet,Alphitonia excelsa,2,4,15:00,106,1.90801521,31.43,,3.04,
1,Wet,Alphitonia excelsa,2,5,15:00,1664,4.095314709,38.44,5.3,3.01,0.1
1,Wet,Alphitonia excelsa,2,1,17:00,1210,2.616223071,34.27,7.81,3.63,0.24
1,Wet,Alphitonia excelsa,2,2,17:00,678,2.133466816,32.6,5.41,3.12,0.26
1,Wet,Alphitonia excelsa,2,3,17:00,239,2.249885358,32.98,2.09,0.97,0.05
1,Wet,Alphitonia excelsa,2,4,17:00,1045,2.597220008,34.14,6.74,3.39,0.22
1,Wet,Alphitonia excelsa,2,5,17:00,1023,2.891710753,35.07,7.41,2.36,0.11
1,Wet,Alphitonia excelsa,3,1,5:00,2,0.621088618,25.48,-0.9,0.01,0
1,Wet,Alphitonia excelsa,3,2,5:00,2,0.673951828,25.7,-0.69,0.06,0
1,Wet,Alphitonia excelsa,3,3,5:00,2,0.703761818,25.75,-1.12,0.17,0.03
1,Wet,Alphitonia excelsa,3,4,5:00,2,0.725242163,25.96,-0.54,0.02,0
1,Wet,Alphitonia excelsa,3,5,5:00,2,0.721272211,25.94,-0.99,0.04,0
1,Wet,Alphitonia excelsa,3,1,9:00,1413,3.071661683,36.61,4.53,6.35,0.54
1,Wet,Alphitonia excelsa,3,2,9:00,1826,3.617706247,38.2,6.68,7.25,0.5
1,Wet,Alphitonia excelsa,3,3,9:00,1677,3.568261055,37.98,5.08,7.46,0.56
1,Wet,Alphitonia excelsa,3,4,9:00,1332,4.647974224,40.67,2.46,3.65,0.1
1,Wet,Alphitonia excelsa,3,5,9:00,,,,,,
1,Wet,Alphitonia excelsa,3,1,11:00,1740,3.474162291,37.66,6.55,6.29,0.4
1,Wet,Alphitonia excelsa,3,2,11:00,1756,3.527432048,37.81,6.1,6.62,0.43
1,Wet,Alphitonia excelsa,3,3,11:00,1844,6.056279472,43.86,1.15,1.79,0.03
1,Wet,Alphitonia excelsa,3,4,11:00,1486,3.53590539,37.58,6.24,6.22,0.37
1,Wet,Alphitonia excelsa,3,5,11:00,1567,4.869753607,41.16,3.92,4.15,0.12
1,Wet,Alphitonia excelsa,3,1,13:00,1176,5.435045225,42.02,1.95,2.75,0.06
1,Wet,Alphitonia excelsa,3,2,13:00,861,3.836736406,37.92,6.12,4.45,0.18
1,Wet,Alphitonia excelsa,3,3,13:00,1492,6.213375854,43.79,0.98,1.35,0.02
1,Wet,Alphitonia excelsa,3,4,13:00,1270,4.163604182,39,6.45,4.52,0.16
1,Wet,Alphitonia excelsa,3,5,13:00,1610,5.3032082,41.9,4.7,3.85,0.09
1,Wet,Alphitonia excelsa,3,1,15:00,983,5.801977666,42.47,1.77,1.47,0.03
1,Wet,Alphitonia excelsa,3,2,15:00,1142,4.218777645,38.72,5.18,5.36,0.21
1,Wet,Alphitonia excelsa,3,3,15:00,950,5.585414747,42.09,1.51,1.48,0.03
1,Wet,Alphitonia excelsa,3,4,15:00,1166,4.953066613,40.51,3.2,3.78,0.1
1,Wet,Alphitonia excelsa,3,5,15:00,1565,5.936944534,42.84,3.6,3.35,0.07
1,Wet,Alphitonia excelsa,3,1,17:00,1226,4.530327378,39.15,1.28,1.45,0.04
1,Wet,Alphitonia excelsa,3,2,17:00,1251,4.107055228,38.06,3.44,2.78,0.09
1,Wet,Alphitonia excelsa,3,3,17:00,1393,5.067639151,40.62,1.44,1.11,0.02
1,Wet,Alphitonia excelsa,3,4,17:00,1181,4.14679954,38.28,2.3,2.28,0.07
1,Wet,Alphitonia excelsa,3,5,17:00,388,2.901067586,34.55,2.93,2.3,0.1
1,Wet,Alphitonia excelsa,4,1,5:00,2,0.648308607,25.62,0.54,0.08,0.01
1,Wet,Alphitonia excelsa,4,2,5:00,2,0.609483302,25.42,-0.12,0.26,0.05
1,Wet,Alphitonia excelsa,4,3,5:00,2,0.619151887,25.47,-0.26,0.17,0.03
1,Wet,Alphitonia excelsa,4,4,5:00,2,0.648308607,25.62,-0.89,0.08,0.01
1,Wet,Alphitonia excelsa,4,5,5:00,2,0.661797787,25.74,0.12,-0.02,
1,Wet,Alphitonia excelsa,4,1,9:00,1048,1.875154259,31.76,9.76,3.98,0.58
1,Wet,Alphitonia excelsa,4,2,9:00,1045,1.894517688,31.87,12.28,3.92,0.54
1,Wet,Alphitonia excelsa,4,3,9:00,1656,2.682458703,34.62,11.42,4.38,0.32
1,Wet,Alphitonia excelsa,4,4,9:00,1169,2.386172046,33.56,7.43,3.22,0.23
1,Wet,Alphitonia excelsa,4,5,9:00,1082,2.013576203,32.31,11.44,3.78,0.43
1,Wet,Alphitonia excelsa,4,1,11:00,1833,2.978205747,36.57,6.68,10.45,
1,Wet,Alphitonia excelsa,4,2,11:00,1951,2.616051409,35.62,7.21,11.71,
1,Wet,Alphitonia excelsa,4,3,11:00,1821,4.469518232,40.6,4.93,6.77,0.28
1,Wet,Alphitonia excelsa,4,4,11:00,1844,7.396611014,46.54,,,
1,Wet,Alphitonia excelsa,4,5,11:00,1946,3.101770438,36.64,5.54,10.86,
1,Wet,Alphitonia excelsa,4,1,13:00,1380,2.971329017,36.34,8.61,6.66,0.67
1,Wet,Alphitonia excelsa,4,2,13:00,1575,2.716808121,35.56,8.66,8.18,
1,Wet,Alphitonia excelsa,4,3,13:00,1596,3.198934012,37.13,9.67,7.49,0.75
1,Wet,Alphitonia excelsa,4,4,13:00,1617,6.268792017,44.39,-0.09,1.13,0.02
1,Wet,Alphitonia excelsa,4,5,13:00,1833,3.920025631,39.07,7.11,6.93,0.38
1,Wet,Alphitonia excelsa,4,1,15:00,923,5.627448529,39.3,5.34,2.28,0.05
1,Wet,Alphitonia excelsa,4,2,15:00,907,5.44762737,38.69,6.31,2.47,0.05
1,Wet,Alphitonia excelsa,4,3,15:00,1194,5.959629122,39.95,6.56,2.44,0.05
1,Wet,Alphitonia excelsa,4,4,15:00,1007,5.618950977,39.12,6.07,2.35,0.05
1,Wet,Alphitonia excelsa,4,5,15:00,910,5.412110158,38.54,7.37,2.22,0.05
1,Wet,Alphitonia excelsa,4,1,17:00,1017,4.550624913,40.23,4.53,6.08,0.22
1,Wet,Alphitonia excelsa,4,2,17:00,1072,4.751065104,40.8,4.77,4.9,0.15
1,Wet,Alphitonia excelsa,4,3,17:00,920,3.725957873,38.14,6.11,5.94,0.31
1,Wet,Alphitonia excelsa,4,4,17:00,396,3.361698059,37.08,2.59,3.94,0.18
1,Wet,Alphitonia excelsa,4,5,17:00,980,4.339030974,39.77,3.81,2.83,0.08
2,Wet,Gossia bidwillii,1,1,5:00,2,,,1.91,-0.87,
2,Wet,Gossia bidwillii,1,2,5:00,2,0.366807175,24.45,-0.42,-0.08,
2,Wet,Gossia bidwillii,1,3,5:00,2,0.429289893,24.68,-0.19,-0.09,
2,Wet,Gossia bidwillii,1,4,5:00,2,0.435399996,24.82,-0.62,-0.12,
2,Wet,Gossia bidwillii,1,5,5:00,2,0.49250206,25.07,-0.21,-0.1,
2,Wet,Gossia bidwillii,1,1,9:00,41,0.805911794,25.71,1.28,0.13,0.02
2,Wet,Gossia bidwillii,1,2,9:00,28,0.737552595,25.41,1.45,0.38,0.06
2,Wet,Gossia bidwillii,1,3,9:00,39,0.821365276,25.89,0.84,0.14,0.02
2,Wet,Gossia bidwillii,1,4,9:00,31,0.855153598,26.06,1.45,0.1,0.01
2,Wet,Gossia bidwillii,1,5,9:00,7,0.84916936,26.03,1.24,0.23,0.03
2,Wet,Gossia bidwillii,1,1,11:00,1823,2.803606282,35.55,7.34,2.27,0.11
2,Wet,Gossia bidwillii,1,2,11:00,1818,3.151487369,36.55,4.32,2.21,0.09
2,Wet,Gossia bidwillii,1,3,11:00,1283,2.488017611,34.54,5.03,2.68,0.16
2,Wet,Gossia bidwillii,1,4,11:00,1257,3.263161091,36.88,3.02,1.14,0.04
2,Wet,Gossia bidwillii,1,5,11:00,994,2.749890829,35.35,4,1.98,0.09
2,Wet,Gossia bidwillii,1,1,13:00,1784,4.568849457,40.45,3.18,1.23,0.03
2,Wet,Gossia bidwillii,1,2,13:00,1800,4.856426835,41.2,1.13,1.35,0.03
2,Wet,Gossia bidwillii,1,3,13:00,1680,4.93025334,41.4,1.54,1.28,0.03
2,Wet,Gossia bidwillii,1,4,13:00,1659,5.543465461,42.81,0.51,0.99,0.02
2,Wet,Gossia bidwillii,1,5,13:00,1364,4.632046863,40.68,2.32,2.4,0.06
2,Wet,Gossia bidwillii,1,1,15:00,44,1.640481215,31.78,0.18,0.2,0.01
2,Wet,Gossia bidwillii,1,2,15:00,41,1.534935955,31.38,2.06,0.4,0.03
2,Wet,Gossia bidwillii,1,3,15:00,39,1.623302767,31.64,0.91,0,0
2,Wet,Gossia bidwillii,1,4,15:00,41,1.508874401,31.28,1.27,0.25,0.02
2,Wet,Gossia bidwillii,1,5,15:00,39,1.487443649,31.12,0.52,0.33,0.02
2,Wet,Gossia bidwillii,1,1,17:00,20,1.320029865,29.85,0.97,0.02,0
2,Wet,Gossia bidwillii,1,2,17:00,18,1.310701558,29.77,0.83,0.08,0
2,Wet,Gossia bidwillii,1,3,17:00,18,1.320029865,29.85,0.56,0.01,0
2,Wet,Gossia bidwillii,1,4,17:00,20,1.322451358,29.86,0.8,0.02,0
2,Wet,Gossia bidwillii,1,5,17:00,20,1.289049703,29.68,1.39,0.13,0.01
2,Wet,Gossia bidwillii,3,1,5:00,2,0.566797298,25.25,-0.28,-0.02,
2,Wet,Gossia bidwillii,3,2,5:00,2,0.594065686,25.34,-0.61,-0.1,
2,Wet,Gossia bidwillii,3,3,5:00,2,0.574065686,25.34,-0.93,-0.15,
2,Wet,Gossia bidwillii,3,4,5:00,2,0.570221283,25.32,-0.39,-0.13,
2,Wet,Gossia bidwillii,3,5,5:00,2,0.557238605,25.2,-0.15,-0.07,
2,Wet,Gossia bidwillii,3,1,9:00,20,0.879239944,26.23,1.08,0.54,0.08
2,Wet,Gossia bidwillii,3,2,9:00,39,0.936037714,26.51,0.86,0.42,0.05
2,Wet,Gossia bidwillii,3,3,9:00,28,0.942416645,26.59,0.98,0.4,0.05
2,Wet,Gossia bidwillii,3,4,9:00,28,0.964745153,26.65,1.26,0.39,0.05
2,Wet,Gossia bidwillii,3,5,9:00,31,0.970923684,26.68,0.72,0.47,0.06
2,Wet,Gossia bidwillii,3,1,11:00,31,1.485562776,30.8,0.35,1.51,0.15
2,Wet,Gossia bidwillii,3,2,11:00,31,1.457824296,30.73,0.41,1.28,0.12
2,Wet,Gossia bidwillii,3,3,11:00,39,1.437627278,30.65,0.74,1.24,0.12
2,Wet,Gossia bidwillii,3,4,11:00,73,1.457824296,30.73,2.3,1.17,0.11
2,Wet,Gossia bidwillii,3,5,11:00,47,1.427482242,30.53,3.72,0.99,0.09
2,Wet,Gossia bidwillii,3,1,13:00,47,1.491460554,30.98,0.19,1.76,0.18
2,Wet,Gossia bidwillii,3,2,13:00,44,1.650086943,31.59,0.52,1.15,0.09
2,Wet,Gossia bidwillii,3,3,13:00,52,1.654809752,31.57,1.16,1.15,0.09
2,Wet,Gossia bidwillii,3,4,13:00,57,1.652173113,31.56,0.41,1.09,0.08
2,Wet,Gossia bidwillii,3,5,13:00,57,1.58848588,31.24,0.48,1.28,0.11
2,Wet,Gossia bidwillii,3,1,15:00,840,2.162955421,33.48,4.82,1.31,0.07
2,Wet,Gossia bidwillii,3,2,15:00,234,1.410642269,30.82,5.84,1.19,0.11
2,Wet,Gossia bidwillii,3,3,15:00,146,1.117063081,29.63,6.24,1.88,0.33
2,Wet,Gossia bidwillii,3,4,15:00,793,1.857920536,32.58,8.28,2.11,0.17
2,Wet,Gossia bidwillii,3,5,15:00,884,2.124552429,33.52,6.33,1.75,0.11
2,Wet,Gossia bidwillii,3,1,17:00,31,1.234251444,29.66,1.41,1.02,0.11
2,Wet,Gossia bidwillii,3,2,17:00,36,1.28794059,29.8,1.05,0.72,0.07
2,Wet,Gossia bidwillii,3,3,17:00,31,1.293473408,29.74,0.71,0.7,0.07
2,Wet,Gossia bidwillii,3,4,17:00,36,1.307005823,29.92,0.91,0.46,0.04
2,Wet,Gossia bidwillii,3,5,17:00,36,1.348919695,30.01,0.82,0.29,0.02
2,Wet,Gossia bidwillii,4,1,5:00,2,0.563422082,25.18,0,-0.06,
2,Wet,Gossia bidwillii,4,2,5:00,2,0.555329847,25.19,-0.51,0.03,0
2,Wet,Gossia bidwillii,4,3,5:00,2,0.555800941,25.14,-0.28,0.07,0.01
2,Wet,Gossia bidwillii,4,4,5:00,2,0.609483302,25.42,0,0.02,0
2,Wet,Gossia bidwillii,4,5,5:00,2,0.602142985,25.33,-0.3,0.05,0
2,Wet,Gossia bidwillii,4,1,9:00,31,1.05954397,27.2,0.29,0.21,0.02
2,Wet,Gossia bidwillii,4,2,9:00,33,1.038973437,27.15,0.71,0.26,0.03
2,Wet,Gossia bidwillii,4,3,9:00,39,0.965733279,26.8,1,0.64,0.08
2,Wet,Gossia bidwillii,4,4,9:00,36,1.001142906,26.97,1.03,0.43,0.05
2,Wet,Gossia bidwillii,4,5,9:00,39,1.027427698,27.19,1.89,0.34,0.04
2,Wet,Gossia bidwillii,4,1,11:00,28,1.500816425,30.86,2.03,0.52,0.04
2,Wet,Gossia bidwillii,4,2,11:00,23,1.440020773,30.58,2.48,0.65,0.05
2,Wet,Gossia bidwillii,4,3,11:00,47,1.23794059,29.8,1.03,1.4,0.17
2,Wet,Gossia bidwillii,4,4,11:00,33,1.22794059,29.8,0.58,1.1,0.12
2,Wet,Gossia bidwillii,4,5,11:00,28,1.16185412,29.65,0.6,1.07,0.13
2,Wet,Gossia bidwillii,4,1,13:00,978,1.934575707,32.64,4.63,1.05,0.07
2,Wet,Gossia bidwillii,4,2,13:00,315,1.265837721,30.12,4.31,1.04,0.11
2,Wet,Gossia bidwillii,4,3,13:00,696,1.290206008,30.3,6.89,3.32,0.55
2,Wet,Gossia bidwillii,4,4,13:00,894,2.093846072,33.24,5.05,2.1,0.14
2,Wet,Gossia bidwillii,4,5,13:00,1602,3.165413645,36.71,4.86,2.9,0.13
2,Wet,Gossia bidwillii,4,1,15:00,1064,2.458017611,34.54,6.21,1.94,0.1
2,Wet,Gossia bidwillii,4,2,15:00,1184,2.847637963,35.78,4.69,1.73,0.07
2,Wet,Gossia bidwillii,4,3,15:00,691,1.92362879,32.78,7.34,2.77,0.25
2,Wet,Gossia bidwillii,4,4,15:00,1267,2.941749262,36.16,6.66,2.47,0.11
2,Wet,Gossia bidwillii,4,5,15:00,975,2.730405976,35.54,5.79,2.18,0.1
2,Wet,Gossia bidwillii,4,1,17:00,47,1.576851262,31.04,1.65,0.39,0.03
2,Wet,Gossia bidwillii,4,2,17:00,49,1.503363128,30.87,1.68,0.45,0.03
2,Wet,Gossia bidwillii,4,3,17:00,55,1.259435824,29.93,0.98,1.17,0.13
2,Wet,Gossia bidwillii,4,4,17:00,47,1.447715732,30.69,1.61,0.45,0.03
2,Wet,Gossia bidwillii,4,5,17:00,47,1.462767498,30.71,0.76,0.44,0.03
1,Wet/Dry,Brachychiton australis,1,1,5:00,2,0.612157985,24.15,-0.85,0,0
1,Wet/Dry,Brachychiton australis,1,2,5:00,2,0.589529705,24.08,-0.63,0,0
1,Wet/Dry,Brachychiton australis,1,3,5:00,2,0.613019194,24.21,-0.95,0,0
1,Wet/Dry,Brachychiton australis,1,4,5:00,2,0.618495264,24.35,-0.99,0,0
1,Wet/Dry,Brachychiton australis,1,5,5:00,2,0.625808526,24.39,0.09,0,0
1,Wet/Dry,Brachychiton australis,1,1,9:00,1055,2.331126874,31.48,5.81,1.2,0.06
1,Wet/Dry,Brachychiton australis,1,2,9:00,1588,2.881651059,33.51,5.59,1.56,0.07
1,Wet/Dry,Brachychiton australis,1,3,9:00,1585,2.801047666,33.3,8.07,2.13,0.1
1,Wet/Dry,Brachychiton australis,1,4,9:00,1001,2.401150915,31.82,4.7,1.42,0.07
1,Wet/Dry,Brachychiton australis,1,5,9:00,1817,3.455762433,35.4,4.29,1.4,0.05
1,Wet/Dry,Brachychiton australis,1,1,11:00,2146,4.763628025,39.29,3.84,0.63,0.01
1,Wet/Dry,Brachychiton australis,1,2,11:00,1858,3.825271214,36.68,5.86,1.8,0.06
1,Wet/Dry,Brachychiton australis,1,3,11:00,1749,3.688005606,36.33,5.6,1.62,0.05
1,Wet/Dry,Brachychiton australis,1,4,11:00,1692,3.668098356,36.27,6.18,1.51,0.05
1,Wet/Dry,Brachychiton australis,1,5,11:00,2072,4.633604182,39,3.64,0.76,0.02
1,Wet/Dry,Brachychiton australis,1,1,13:00,1876,5.284053656,41.29,0.62,0.25,0
1,Wet/Dry,Brachychiton australis,1,2,13:00,1917,4.613422359,39.73,4.18,1.6,0.04
1,Wet/Dry,Brachychiton australis,1,3,13:00,1974,4.753889705,39.91,3.66,1.22,0.03
1,Wet/Dry,Brachychiton australis,1,4,13:00,1728,4.524552165,39.24,2.15,0.71,0.02
1,Wet/Dry,Brachychiton australis,1,5,13:00,,,,,,
1,Wet/Dry,Brachychiton australis,1,1,15:00,308,1.53145064,29.69,4.81,1.19,0.1
1,Wet/Dry,Brachychiton australis,1,2,15:00,1947,3.542031229,36.7,4.57,1.2,0.04
1,Wet/Dry,Brachychiton australis,1,3,15:00,1989,3.709295185,37.16,3.33,1.14,0.03
1,Wet/Dry,Brachychiton australis,1,4,15:00,1660,3.322488695,36.01,4.22,1.09,0.04
1,Wet/Dry,Brachychiton australis,1,5,15:00,,,,,,
1,Wet/Dry,Brachychiton australis,1,1,17:00,204,1.062144987,27.54,0.79,0.34,0.04
1,Wet/Dry,Brachychiton australis,1,2,17:00,1025,1.851460554,30.98,4.55,0.52,0.03
1,Wet/Dry,Brachychiton australis,1,3,17:00,1108,1.963255983,31.45,3.73,0.51,0.03
1,Wet/Dry,Brachychiton australis,1,4,17:00,1218,2.112911851,32.05,3.84,0.53,0.03
1,Wet/Dry,Brachychiton australis,1,5,17:00,,,,,,
1,Wet/Dry,Brachychiton australis,3,1,5:00,2,0.584844374,24.33,-0.14,0,0
1,Wet/Dry,Brachychiton australis,3,2,5:00,2,0.551330906,24.09,-0.74,0,0
1,Wet/Dry,Brachychiton australis,3,3,5:00,2,0.543133053,24.1,-0.22,0,0
1,Wet/Dry,Brachychiton australis,3,4,5:00,2,0.53156961,23.98,0.43,0.05,0
1,Wet/Dry,Brachychiton australis,3,5,5:00,2,0.542334349,24.04,-0.38,0,0
1,Wet/Dry,Brachychiton australis,3,1,9:00,1296,2.86532024,33.66,8.06,2.02,0.09
1,Wet/Dry,Brachychiton australis,3,2,9:00,1716,3.460011496,35.57,6.33,2.13,0.08
1,Wet/Dry,Brachychiton australis,3,3,9:00,1591,3.651868921,36.13,2.38,1.34,0.04
1,Wet/Dry,Brachychiton australis,3,4,9:00,1622,3.207797394,34.8,8.58,2.86,0.12
1,Wet/Dry,Brachychiton australis,3,5,9:00,1494,3.252546956,34.88,5.55,2.29,0.09
1,Wet/Dry,Brachychiton australis,3,1,11:00,1567,3.671329017,36.34,8.58,2.41,0.08
1,Wet/Dry,Brachychiton australis,3,2,11:00,1810,4.315957873,38.14,4.27,1.77,0.05
1,Wet/Dry,Brachychiton australis,3,3,11:00,1393,3.625289878,36.11,3.26,1.83,0.06
1,Wet/Dry,Brachychiton australis,3,4,11:00,1771,3.907075161,36.95,8.01,2.77,0.09
1,Wet/Dry,Brachychiton australis,3,5,11:00,1659,4.153553458,37.63,4.29,1.68,0.05
1,Wet/Dry,Brachychiton australis,3,1,13:00,1218,3.123644652,35.14,8.34,3.07,0.14
1,Wet/Dry,Brachychiton australis,3,2,13:00,1677,4.152339098,38.13,4.05,2.13,0.06
1,Wet/Dry,Brachychiton australis,3,3,13:00,1142,3.736816553,36.92,0.98,0.86,0.03
1,Wet/Dry,Brachychiton australis,3,4,13:00,1419,3.5782953,36.6,7.88,2.51,0.09
1,Wet/Dry,Brachychiton australis,3,5,13:00,1419,4.034563164,37.83,4.14,1.36,0.04
1,Wet/Dry,Brachychiton australis,3,1,15:00,1307,2.890226355,34.58,8.94,2.15,0.1
1,Wet/Dry,Brachychiton australis,3,2,15:00,1380,3.153062103,35.36,5.2,1.72,0.07
1,Wet/Dry,Brachychiton australis,3,3,15:00,874,2.806223071,34.27,1.52,0.6,0.02
1,Wet/Dry,Brachychiton australis,3,4,15:00,1242,3.09510711,35.24,5.85,1.43,0.05
1,Wet/Dry,Brachychiton australis,3,5,15:00,1126,3.109890829,35.35,3.59,1.04,0.04
1,Wet/Dry,Brachychiton australis,3,1,17:00,777,1.75288613,30.75,6.84,0.87,0.06
1,Wet/Dry,Brachychiton australis,3,2,17:00,128,1.120192117,27.99,3.24,0.59,0.06
1,Wet/Dry,Brachychiton australis,3,3,17:00,574,1.584041409,29.99,4.09,0.79,0.06
1,Wet/Dry,Brachychiton australis,3,4,17:00,195,1.184578154,28.28,5.19,0.76,0.08
1,Wet/Dry,Brachychiton australis,3,5,17:00,615,1.805418937,30.76,3.01,0.37,0.02
1,Wet/Dry,Brachychiton australis,4,1,5:00,2,0.625154088,24,-1.26,0,0
1,Wet/Dry,Brachychiton australis,4,2,5:00,2,0.620141668,23.86,-0.36,0.15,0.03
1,Wet/Dry,Brachychiton australis,4,3,5:00,2,0.660351104,24.14,-0.27,0.1,0.02
1,Wet/Dry,Brachychiton australis,4,4,5:00,2,0.683914627,24.27,-0.38,0.07,0.01
1,Wet/Dry,Brachychiton australis,4,5,5:00,4,0.689394993,24.19,-1.63,0.16,0.02
1,Wet/Dry,Brachychiton australis,4,1,9:00,509,1.9724772,30.47,4.75,1.78,0.13
1,Wet/Dry,Brachychiton australis,4,2,9:00,1529,3.381236324,35.48,4.64,1.95,0.07
1,Wet/Dry,Brachychiton australis,4,3,9:00,1320,2.980206607,34.25,6.51,2.41,0.11
1,Wet/Dry,Brachychiton australis,4,4,9:00,1153,2.868813728,33.91,3.28,2.49,0.12
1,Wet/Dry,Brachychiton australis,4,5,9:00,396,2.64954983,33.19,,0.28,0.01
1,Wet/Dry,Brachychiton australis,4,1,11:00,1698,4.429943573,38.75,4.91,3.22,0.09
1,Wet/Dry,Brachychiton australis,4,2,11:00,1732,4.615094875,39.32,3.43,2.85,0.08
1,Wet/Dry,Brachychiton australis,4,3,11:00,1888,5.276845247,40.96,3.83,2.03,0.04
1,Wet/Dry,Brachychiton australis,4,4,11:00,1705,4.998599174,40.3,5.56,1.85,0.04
1,Wet/Dry,Brachychiton australis,4,5,11:00,1286,4.29633525,38.47,3.81,1.72,0.05
1,Wet/Dry,Brachychiton australis,4,1,13:00,1234,3.919431675,37.59,5.52,2.01,0.06
1,Wet/Dry,Brachychiton australis,4,2,13:00,1638,4.498363784,39.25,4.73,2.51,0.07
1,Wet/Dry,Brachychiton australis,4,3,13:00,1513,4.838663622,40.2,2.87,1.47,0.03
1,Wet/Dry,Brachychiton australis,4,4,13:00,1562,4.769105471,40.05,4.85,1.91,0.05
1,Wet/Dry,Brachychiton australis,4,5,13:00,1242,4.347268893,38.93,3.68,1.81,0.05
1,Wet/Dry,Brachychiton australis,4,1,15:00,869,4.276492731,38.66,2.93,1.84,0.05
1,Wet/Dry,Brachychiton australis,4,2,15:00,1074,4.462741343,39.13,3.48,2.19,0.06
1,Wet/Dry,Brachychiton australis,4,3,15:00,1489,5.841850134,42.56,2.15,0.74,0.01
1,Wet/Dry,Brachychiton australis,4,4,15:00,1108,4.279796049,38.83,3.04,2.07,0.06
1,Wet/Dry,Brachychiton australis,4,5,15:00,986,4.453628025,39.29,1.75,0.93,0.02
1,Wet/Dry,Brachychiton australis,4,1,17:00,647,2.08455851,32.13,4.24,1.07,0.06
1,Wet/Dry,Brachychiton australis,4,2,17:00,947,2.454552429,33.52,5.57,1.49,0.07
1,Wet/Dry,Brachychiton australis,4,3,17:00,1142,3.039409221,35.38,3.83,0.89,0.03
1,Wet/Dry,Brachychiton australis,4,4,17:00,1015,2.756339576,34.6,4.64,1.24,0.05
1,Wet/Dry,Brachychiton australis,4,5,17:00,639,2.41982908,33.4,1.65,0.83,0.04
1,Wet/Dry,Cochlospermum gillivraei,1,1,5:00,,,,,,
1,Wet/Dry,Cochlospermum gillivraei,1,2,5:00,2,0.565774591,24.17,-0.3,0,0
1,Wet/Dry,Cochlospermum gillivraei,1,3,5:00,4,0.573019194,24.21,-0.21,0,0
1,Wet/Dry,Cochlospermum gillivraei,1,4,5:00,4,0.610322144,24.36,0.36,0,0
1,Wet/Dry,Cochlospermum gillivraei,1,5,5:00,4,0.626807175,24.45,-0.36,0,0
1,Wet/Dry,Cochlospermum gillivraei,1,1,9:00,707,1.805562848,29.54,10.4,3.75,0.55
1,Wet/Dry,Cochlospermum gillivraei,1,2,9:00,1534,3.98137606,37.05,0.3,0.61,0.02
1,Wet/Dry,Cochlospermum gillivraei,1,3,9:00,899,2.190355465,31.17,8.51,3.2,0.26
1,Wet/Dry,Cochlospermum gillivraei,1,4,9:00,1489,2.559018538,32.62,10.09,4.54,0.38
1,Wet/Dry,Cochlospermum gillivraei,1,5,9:00,1630,2.58362879,32.78,12.64,5.19,0.5
1,Wet/Dry,Cochlospermum gillivraei,1,1,11:00,1763,3.123282228,34.59,10.57,5,0.31
1,Wet/Dry,Cochlospermum gillivraei,1,2,11:00,1716,4.956415831,39.84,0.36,0.57,0.01
1,Wet/Dry,Cochlospermum gillivraei,1,3,11:00,1838,3.326721076,35.34,8.95,5.43,0.32
1,Wet/Dry,Cochlospermum gillivraei,1,4,11:00,1617,2.837547413,33.77,11.52,6.2,0.63
1,Wet/Dry,Cochlospermum gillivraei,1,5,11:00,950,2.41718873,32.25,8.81,4.78,0.49
1,Wet/Dry,Cochlospermum gillivraei,1,1,13:00,1317,3.43267884,35.98,7.01,2.55,0.1
1,Wet/Dry,Cochlospermum gillivraei,1,2,13:00,,,,,,
1,Wet/Dry,Cochlospermum gillivraei,1,3,13:00,1675,3.850061713,37.22,6.41,3.04,0.11
1,Wet/Dry,Cochlospermum gillivraei,1,4,13:00,821,2.333029512,32.49,7.58,3.78,0.32
1,Wet/Dry,Cochlospermum gillivraei,1,5,13:00,777,2.526709509,33.25,8.07,2.86,0.17
1,Wet/Dry,Cochlospermum gillivraei,1,1,15:00,1267,2.739233488,34.28,7.89,2.31,0.11
1,Wet/Dry,Cochlospermum gillivraei,1,2,15:00,,,,,,
1,Wet/Dry,Cochlospermum gillivraei,1,3,15:00,1294,2.688254128,34.11,7.92,2.71,0.15
