Species,Tree,Stem,Ves Count
A. bidwillii,1,1,194
A. bidwillii,1,2,195
A. bidwillii,1,3,211
A. bidwillii,2,1,228
A. bidwillii,2,2,212
A. bidwillii,2,3,204
A. bidwillii,3,1,250
A. bidwillii,3,2,236
A. bidwillii,3,3,224
A. excelsa,1,1,76
A. excelsa,1,2,99
A. excelsa,1,3,89
A. excelsa,2,1,108
A. excelsa,2,2,103
A. excelsa,2,3,68
A. excelsa,3,1,64
A. excelsa,3,2,82
A. excelsa,3,3,73
B. australis,1,1,15
B. australis,1,2,14
B. australis,1,3,16
B. australis,2,1,8
B. australis,2,2,18
B. australis,2,3,12
B. australis,3,1,15
B. australis,3,2,10
B. australis,3,3,18
C. gillivraei,1,1,10
C. gillivraei,1,2,14
C. gillivraei,1,3,15
C. gillivraei,2,1,9
C. gillivraei,2,2,5
C. gillivraei,2,3,7.3
C. gillivraei,3,1,6.8
C. gillivraei,3,2,11.4
C. gillivraei,3,3,8
