Species,Collection location,Morphology n,Mean fruit length (mm),SE fruit lenth,Mean fruit width (mm),SE fruit width,Mean fruit wet weight (g),SE fruit weight,Mean endocarp length (mm),SE endocarp lenth,Mean endocarp width (mm),SE endocarp width,Mean endocarp wet weight (g),SE endocarp weight,Mean pulp and pericarp wet wieght (g),SE pulp and pericarp wet weight,Nutritional content n,Water content (%),Protein (% dry weight),Lipid (% dry weight),Total sugars (% dry weight),Glucose (% dry weight),Fructose (% dry weight),Sucrose (% dry weight),Phosphorus (ppm),Jan_fruiting,Feb_fruiting,Mar_fruiting,Apr_fruiting,May_fruiting,Jun_fruiting,Jul_fruiting,Aug_fruiting,Sep_fruiting,Oct_fruiting,Nov_fruiting,Dec_fruiting
Monotoca elliptica,Myall Lakes NP,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0
Persoonia lanceolata,Myall Lakes NP,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0
Acacia sophorae,Myall Lakes NP,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0
Leucopogon lanceolatus,Myall Lakes NP,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0
Exocarpos cupressiformis,Myall Lakes NP,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0
Alphitonia excelsa,Myall Lakes NP,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
Hibbertia scandens,Myall Lakes NP,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1,0,0,0,0,0,0
Pittosporum undulatum,Myall Lakes NP,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0
Cupaniopsis anacardioides,Myall Lakes NP,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,0,0,0,0,0
Elaeocarpus reticulatus,Myall Lakes NP,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,1,0
Pittosporum revolutum,Myall Lakes NP,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Einadia hastata,Eurobodalla,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,0,0,0,0,0
Monotoca elliptica,Eurobodalla,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,1
Leucopogon parviflorus,Eurobodalla,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,1,0,1
Acacia sophorae,Eurobodalla,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1
Solanum stelligerum,Eurobodalla,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1
