species,family,dormancy_class,seed_length (mm),embryo_type,embryo_to_seed_ratio (%),mass_increase (%),viability (%)
Arthropodium strictum,Asparagaceae,PD,2-3,Linear,>50,45,80
Brunonia australis,Goodeniaceae,PD,5-8,Linear,>50,218,65
Burchardia umbellata,Colchicaceae,MPD,2-3,Dwarf,<50,134,80
Cheiranthera cyanea,Pittosporaceae,MPD,5,Dwarf,<50,58,65
Dianella revoluta,Asphodelaceae,PD,5-7,Linear,>50,19,100
Eryngium ovinum,Apiaceae,MPD,8-10,Dwarf,<50,242,70
Stypandra glauca,Asphodelaceae,PD,1-2,Linear,>50,20,70
