species,fire_cue_treatment,dormancy_alleviation_treatment,germination_mean (%),germination_SE (%),significance,value_as_published
Arthropodium strictum,Control,fresh seed,50,3,,50±3
Arthropodium strictum,Control,stored seed,49,5,,49±5
Arthropodium strictum,Control,dry-after-ripening,65,9,*,65±9*
Arthropodium strictum,Control,cold stratification,12,3,***,12±3***
Arthropodium strictum,Control,warm stratification,63,5,,63±5
Arthropodium strictum,Heat,fresh seed,41,9,,41±9
Arthropodium strictum,Heat,stored seed,54,8,,54±8
Arthropodium strictum,Heat,dry-after-ripening,78,4,***,78±4***
Arthropodium strictum,Heat,warm stratification,64,6,,64±6
Arthropodium strictum,Smoke,fresh seed,53,5,,53±5
Arthropodium strictum,Smoke,stored seed,56,10,,56±10
Arthropodium strictum,Smoke,dry-after-ripening,76,3,***,76±3***
Arthropodium strictum,Smoke,warm stratification,73,11,**,73±11**
Arthropodium strictum,Heat + smoke,fresh seed,72,4,**,72±4**
Arthropodium strictum,Heat + smoke,stored seed,55,5,,55±5
Arthropodium strictum,Heat + smoke,dry-after-ripening,69,2,*,69±2*
Arthropodium strictum,Heat + smoke,warm stratification,62,3,,62±3
Brunonia australis,Control,fresh seed,64,6,,64±6
Brunonia australis,Control,stored seed,40,10,**,40±10**
Brunonia australis,Control,dry-after-ripening,38,8,***,38±8***
Brunonia australis,Control,cold stratification,5,5,***,5±5***
Brunonia australis,Heat,fresh seed,67,4,,67±4
Brunonia australis,Heat,stored seed,38,9,***,38±9***
Brunonia australis,Heat,dry-after-ripening,46,7,*,46±7*
Brunonia australis,Smoke,fresh seed,74,4,,74±4
Brunonia australis,Smoke,stored seed,39,3,***,39±3***
Brunonia australis,Smoke,dry-after-ripening,38,5,***,38±5***
Brunonia australis,Smoke,cold stratification,5,3,***,5±3***
Brunonia australis,Heat + smoke,fresh seed,62,5,,62±5
Brunonia australis,Heat + smoke,stored seed,51,7,,51±7
Brunonia australis,Heat + smoke,dry-after-ripening,39,14,**,39±14**
Burchardia umbellata,Control,fresh seed,6,3,,6±3
Burchardia umbellata,Control,stored seed,3,2,,3±2
Burchardia umbellata,Control,dry-after-ripening,3,2,,3±2
Burchardia umbellata,Control,cold stratification,0,,,0
Burchardia umbellata,Control,warm stratification,12,2,*,12±2*
Burchardia umbellata,Heat,fresh seed,4,1,,4±1
Burchardia umbellata,Heat,stored seed,9,3,,9±3
Burchardia umbellata,Heat,dry-after-ripening,0,,,0
Burchardia umbellata,Heat,cold stratification,0,,,0
Burchardia umbellata,Heat,warm stratification,1,1,,1±1
Burchardia umbellata,Smoke,fresh seed,6,3,,6±3
Burchardia umbellata,Smoke,stored seed,11,2,,11±2
Burchardia umbellata,Smoke,dry-after-ripening,5,2,,5±2
Burchardia umbellata,Smoke,cold stratification,0,,,0
Burchardia umbellata,Smoke,warm stratification,10,3,,10±3
Burchardia umbellata,Heat + smoke,fresh seed,2,1,,2±1
Burchardia umbellata,Heat + smoke,stored seed,3,2,,3±2
Burchardia umbellata,Heat + smoke,dry-after-ripening,6,2,,6±2
Burchardia umbellata,Heat + smoke,cold stratification,0,,,0
Burchardia umbellata,Heat + smoke,warm stratification,0,,,0
Cheiranthera cyanea,Control,stored seed,1,1,,1±1
Cheiranthera cyanea,Control,cold stratification,0,,,0
Cheiranthera cyanea,Heat,stored seed,6,3,*,6±3*
Cheiranthera cyanea,Heat,cold stratification,0,,,0
Cheiranthera cyanea,Smoke,stored seed,18,3,**,18±3**
Cheiranthera cyanea,Smoke,cold stratification,1,,,1±
Dianella revoluta,Control,fresh seed,15,2,,15±2
Dianella revoluta,Control,stored seed,9,4,,9±4
Dianella revoluta,Control,dry-after-ripening,19,4,,19±4
Dianella revoluta,Control,cold stratification,0,,,0
Dianella revoluta,Control,warm stratification,50,4,***,50±4***
Dianella revoluta,Heat,fresh seed,22,5,,22±5
Dianella revoluta,Heat,stored seed,20,6,,20±6
Dianella revoluta,Heat,dry-after-ripening,16,2,,16±2
Dianella revoluta,Heat,cold stratification,1,1,**,1±1**
Dianella revoluta,Heat,warm stratification,69,7,***,69±7***
Dianella revoluta,Smoke,fresh seed,33,5,**,33±5**
Dianella revoluta,Smoke,stored seed,20,5,,20±5
Dianella revoluta,Smoke,dry-after-ripening,51,7,***,51±7***
Dianella revoluta,Smoke,cold stratification,0,,,0
Dianella revoluta,Smoke,warm stratification,90,2,***,90±2***
Dianella revoluta,Heat + smoke,fresh seed,27,4,**,27±4**
Dianella revoluta,Heat + smoke,stored seed,36,12,**,36±12**
Dianella revoluta,Heat + smoke,dry-after-ripening,27,5,,27±5
Dianella revoluta,Heat + smoke,cold stratification,0,,,0
Dianella revoluta,Heat + smoke,warm stratification,86,1,***,86±1***
Eryngium ovinum,Control,fresh seed,51,6,,51±6
Eryngium ovinum,Control,stored seed,21,2,***,21±2***
Eryngium ovinum,Control,dry-after-ripening,30,8,**,30±8**
Eryngium ovinum,Control,cold stratification,0,,,0
Eryngium ovinum,Control,warm stratification,29,10,*,29±10*
Eryngium ovinum,Heat,fresh seed,48,8,,48±8
Eryngium ovinum,Heat,stored seed,30,3,*,30±3*
Eryngium ovinum,Heat,dry-after-ripening,31,4,**,31±4**
Eryngium ovinum,Heat,cold stratification,0,,,0
Eryngium ovinum,Smoke,fresh seed,42,7,,42±7
Eryngium ovinum,Smoke,stored seed,25,3,**,25±3**
Eryngium ovinum,Smoke,dry-after-ripening,17,2,**,17±2**
Eryngium ovinum,Smoke,cold stratification,0,,,0
Eryngium ovinum,Heat + smoke,fresh seed,30,8,,30±8
Eryngium ovinum,Heat + smoke,stored seed,28,2,*,28±2*
Eryngium ovinum,Heat + smoke,dry-after-ripening,32,8,**,32±8**
Eryngium ovinum,Heat + smoke,cold stratification,0,,,0
