location_name,latitude (deg),longitude (deg)
at_-16.133_deg_lat_and_145.433_deg_long,-16.133,145.433
at_-16.167_deg_lat_and_145.4_deg_long,-16.167,145.4
at_-16.1_deg_lat_and_145.433_deg_long,-16.1,145.433
at_-17.283_deg_lat_and_145.633_deg_long,-17.283,145.633
at_-26.75_deg_lat_and_152.867_deg_long,-26.75,152.867
at_-26.792_deg_lat_and_152.001_deg_long,-26.792,152.001
at_-26.85_deg_lat_and_153_deg_long,-26.85,153
at_-26.942_deg_lat_and_151.922_deg_long,-26.942,151.922
at_-27.022_deg_lat_and_151.878_deg_long,-27.022,151.878
at_-32.97_deg_lat_and_146.13_deg_long,-32.97,146.13
at_-32.97_deg_lat_and_146.15_deg_long,-32.97,146.15
at_-33.58_deg_lat_and_151.3_deg_long,-33.58,151.3
at_-33.68_deg_lat_and_151.13_deg_long,-33.68,151.13
at_-33.691_deg_lat_and_151.144_deg_long,-33.691,151.144
at_-34.126_deg_lat_and_146.196_deg_long,-34.126,146.196
at_-34.32_deg_lat_and_117.5_deg_long,-34.32,117.5
at_-34.63_deg_lat_and_117.53_deg_long,-34.63,117.53
at_-34.97_deg_lat_and_117.33_deg_long,-34.97,117.33
at_-34_deg_lat_and_116_deg_long,-34,116
at_-36.1_deg_lat_and_148.3_deg_long,-36.1,148.3
