species,Accepted_name_rank,orig.species,ps.type,little.d13.org,big.D13.org,big.D13.merged,latitude,longitude,collection.year,collection.month,author,year,location_name,source_id
Acacia caroleae,species,Acacia doratoxylon,C3,-26.5,NA,18.5824601246412,-32.97,146.13,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.13_deg_long,
Acacia colletioides,species,Acacia colletioides,C3,-25.9,NA,17.9824601246412,-32.97,146.15,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.15_deg_long,
Acacia floribunda,species,Acacia floribunda,C3,-31.4,NA,23.4823850801193,-33.58,151.3,1998,NA,unpub,NA,at_-33.58_deg_lat_and_151.3_deg_long,
Acacia havilandiorum,species,Acacia havilandiorum,C3,-26.8,NA,18.8824601246412,-32.97,146.15,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.15_deg_long,
Acacia oswaldii,species,Acacia oswaldii,C3,-27.7,NA,19.7824601246412,-32.97,146.13,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.13_deg_long,
Acacia suaveolens,species,Acacia suaveolens,C3,-29.6,NA,21.6823740602752,-33.68,151.13,1998,NA,unpub,NA,at_-33.68_deg_lat_and_151.13_deg_long,
Acacia wilhelmiana,species,Acacia wilhelmiana,C3,-27.5,NA,19.5824601246412,-32.97,146.15,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.15_deg_long,
Araucaria cunninghamii,species,Araucaria cunninghamii,C3,-31.57,NA,23.5405312824238,-26.792,152.001,2003,NA,unpub,NA,at_-26.792_deg_lat_and_152.001_deg_long,
Araucaria cunninghamii,species,Araucaria cunninghamii,C3,-30.33,NA,22.3004447490271,-27.022,151.878,2003,NA,unpub,NA,at_-27.022_deg_lat_and_151.878_deg_long,
Araucaria cunninghamii,species,Araucaria cunninghamii,C3,-30.92,NA,22.8904745896051,-26.942,151.922,2003,NA,unpub,NA,at_-26.942_deg_lat_and_151.922_deg_long,
Archidendron kanisii,species,Archidendron kanisii,C3,-32.8163,NA,24.861609127071,-16.133,145.433,2000,NA,unpub,NA,at_-16.133_deg_lat_and_145.433_deg_long,
Archidendron whitei,species,Archidendron whitei,C3,-33.7595,NA,25.8038246708228,-17.283,145.633,2000,NA,unpub,NA,at_-17.283_deg_lat_and_145.633_deg_long,
Astrotricha floccosa,species,Astrotricha floccosa,C3,-28.2,NA,20.2823850801193,-33.58,151.3,1998,NA,unpub,NA,at_-33.58_deg_lat_and_151.3_deg_long,
Atriplex stipitata,species,Atriplex stipitata,C4,-16.5,NA,8.5824601246412,-32.97,146.13,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.13_deg_long,
Baeckea frutescens,species,Baeckea stenophylla,C3,-29.57,NA,21.7448092463352,-26.85,153,1994,NA,unpub,NA,at_-26.85_deg_lat_and_153_deg_long,
Banksia aemula,species,Banksia aemula,C3,-29.55,NA,21.7248092463352,-26.85,153,1994,NA,unpub,NA,at_-26.85_deg_lat_and_153_deg_long,
Banksia marginata,species,Banksia marginata,C3,-28.8,NA,20.8823740602752,-33.68,151.13,1998,NA,unpub,NA,at_-33.68_deg_lat_and_151.13_deg_long,
Banksia oblongifolia,species,Banksia oblongifolia,C3,-29.88,NA,22.0548092463352,-26.85,153,1994,NA,unpub,NA,at_-26.85_deg_lat_and_153_deg_long,
Banksia oblongifolia,species,Banksia oblongifolia,C3,-29.1,NA,21.0234728699771,-33.691,151.144,2005,NA,unpub,NA,at_-33.691_deg_lat_and_151.144_deg_long,
Banksia robur,species,Banksia robur,C3,-28.62,NA,20.7948092463352,-26.85,153,1994,NA,unpub,NA,at_-26.85_deg_lat_and_153_deg_long,
Bertya cunninghamii,species,Bertya cunninghamii,C3,-26.3,NA,18.3824601246412,-32.97,146.15,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.15_deg_long,
Beyeria opaca,species,Beyeria opaca,C3,-25.8,NA,17.8824601246412,-32.97,146.15,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.15_deg_long,
Boronia glabra,species,Boronia ledifolia,C3,-30.8,NA,22.8823740602752,-33.68,151.13,1998,NA,unpub,NA,at_-33.68_deg_lat_and_151.13_deg_long,
Bossiaea walkeri,species,Bossiaea walkeri,C3,-26.4,NA,18.4824601246412,-32.97,146.15,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.15_deg_long,
Brachychiton gregorii,species,Brachychiton populneus,C3,-24.3,NA,16.3824601246412,-32.97,146.15,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.15_deg_long,
Brachychiton gregorii,species,Brachychiton populneus,C3,-24.1,NA,16.1824601246412,-32.97,146.13,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.13_deg_long,
Melaleuca pachyphylla,species,Callistemon pachyphyllus,C3,-28.56,NA,20.7348092463352,-26.85,153,1994,NA,unpub,NA,at_-26.85_deg_lat_and_153_deg_long,
Callitris columellaris,species,Callitris glaucophylla,C3,-25.9,NA,17.9824601246412,-32.97,146.13,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.13_deg_long,
Cassinia trinerva,species,Cassinia laevis,C3,-30.3,NA,22.3824601246412,-32.97,146.15,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.15_deg_long,
Castanospermum australe,species,Castanospermum australe,C3,-25.26,NA,17.2078473301286,-26.75,152.867,2004,NA,unpub,NA,at_-26.75_deg_lat_and_152.867_deg_long,
Caustis recurvata,species,Caustis recurvata,C3,-28.29,NA,20.4648092463352,-26.85,153,1994,NA,unpub,NA,at_-26.85_deg_lat_and_153_deg_long,
Correa reflexa,species,Correa reflexa,C3,-31.3,NA,23.3823850801193,-33.58,151.3,1998,NA,unpub,NA,at_-33.58_deg_lat_and_151.3_deg_long,
Corymbia gummifera,species,Corymbia gummifera,C3,-27.2,NA,19.2823740602752,-33.68,151.13,1998,NA,unpub,NA,at_-33.68_deg_lat_and_151.13_deg_long,
Dampiera stricta,species,Dampiera stricta,C3,-30.49,NA,22.6648092463352,-26.85,153,1994,NA,unpub,NA,at_-26.85_deg_lat_and_153_deg_long,
Dodonaea triquetra,species,Dodonaea triquetra,C3,-28.6,NA,20.6823850801193,-33.58,151.3,1998,NA,unpub,NA,at_-33.58_deg_lat_and_151.3_deg_long,
Dodonaea viscosa,species,Dodonaea viscosa ssp spatulata,C3,-27.2,NA,19.2824601246412,-32.97,146.13,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.13_deg_long,
