Plant functional group,Species,d13c (per mille)
Maturephase tree,Argyrodendron peralatum ,-32.0905
Pioneer tree,Commersonia macrostipulata,-32.55316609
Maturephase tree,Dysoxylum papuanum,-28.32506646
Maturephase tree,Dysoxylum parasiticum,-30.56982067
Maturephase tree,Dysoxylum pettigrewianum,-29.705
Understorey tree,Dysoxylum oppositifolium,-32.3863256
Understorey shrub,Aglaia meridionalis,-34.54
Pioneer tree,Melicope elleryana,-31.7327442
Understorey tree,Brombya platynema,-31.399
Understorey tree,Medicosma fareana,-35.39
Maturephase tree,Synima cordierorum,-30.97959725
Pioneer shrub,Guioa acutifolia,-34.601499
Understorey shrub,Cupaniopsis diploglottoides,-36.47
Understorey shrub,Harpullia rhyticarpa,-35.73
Pioneer shrub,Rhus taitenses,-30.56101058
Maturephase tree,Syzygium graveolens ,-30.9645
Maturephase tree,Syzygium gustavoides,-30.02898178
Maturephase tree,Syzygium sayeri,-31.217
Pioneer shrub,Archirhodomyrtus beckleri,-33.69
Understorey shrub,Pilidiostigma papuanum,-37.71
Pioneer shrub,Melastoma malabathricum,-29.84218698
Maturephase tree,Castanospermum australe,-29.323
Vine,Mucuna gigantea,-31.78
Vine,Entada phaseloides,-28.341
Vine,Caesalpinea traceyi,-31.17993579
Pioneer shrub,Ficus congesta,-28.05156741
Pioneer shrub,Ficus septica,-30.33711847
Pioneer tree,Ficus variegata,-28.95
Understorey tree,Ficus leptoclada,-32.24392727
Vine,Trophis scandens,-30.61064977
Pioneer shrub,Pipturus argenteus,-32.02
Pioneer shrub,Trema tomentosa,-29.05189533
Pioneer tree,Trema orientalis,-30.68
Pioneer tree,Alphitonia petriei,-30.50283993
Vine,Elaeagnus triflora,-30.54534953
Pioneer shrub,Breynia stipitata,-29.75247477
Pioneer tree,Glochidion sumatranum,-33.02331036
Understorey tree,Cleistanthus myrianthus,-29.4336
Pioneer shrub,Macaranga involucrata,-30.16379785
Pioneer tree,Macaranga tanarius,-30.59002645
Understorey tree,Macaranga subdentata ,-31.53953582
Pioneer shrub,Mallotus mollissimus,-29.21621054
Pioneer tree,Mallotus paniculatus,-30.73094341
Pioneer tree,Aleurites rockinghamensis,-29.78314892
Pioneer tree,Endospermum myrmecophilum,-30.19
Pioneer tree,Homalanthus novoguineensis,-29.47880124
Understorey tree,Rockinghamia angustifolia,-27.81875
Understorey shrub,Brackenridgea australiana,-30.87713258
Understorey tree,Ryparosa kurangii,-34.72039316
Pioneer tree,Elaeocarpus angustifolius,-30.7325
Understorey tree,Gilbeeea whypallana,-33.03643513
Pioneer shrub,Leea indica,-31.41131827
Vine,Cissus penninervis,-31.21
Vine,Tetrastigma nitens,-31.32889206
Pioneer shrub,Callicarpa longifolia,-33.74962268
Vine,Neosepicaea jucunda ,-30.92044842
Vine,Merremia peltata,-27.004
Pioneer shrub,Tarenna dallachiana,-30.93459565
Understorey shrub,Ixora biflora,-35.7978
Pioneer shrub,Timonius timon,-29.58566725
Understorey tree,Antirhea tenuiflora,-33.05
Understorey shrub,Antirhea sp. (Lower Downey),-34.43009854
Understorey shrub,Atractorcarpus hirtus,-35.9896
Understorey shrub,Lasianthus kurzii,-34.716
Understorey shrub,Psychotria dallachiana,-35.50
Pioneer tree,Alstonia scholaris,-28.835
Vine,Ichnocarpus frutescens,-29.89127515
Vine,Strychnos minor,-31.01298042
Understorey tree,Citronella smythii,-37.08
Understorey tree,Gomphandra australiana,-32.3111144
Pioneer tree,Schefflera actinophylla,-30.12575568
Understorey shrub,Pittosporum rubiginosum,-34.65225
Understorey shrub,Ardisia brevipetala,-36.5366
Vine,Embelia caulialata,-30.36055988
Understorey tree,Niemeyera prunifera,-34.71
Vine,Tetracera nordtiana,-29.996
Maturephase tree,Austromuellera trinervia,-31.76975
Maturephase tree,Cardwellia sublimis,-30.71555126
Maturephase tree,Musgravea heterophylla,-30.4918
Vine,Hypserpa decumbens,-28.85566876
Vine,Rourea brachyandra,-31.24968107
Maturephase tree,Cryptocarya mackinonianna ,-31.85425
Maturephase tree,Cryptocarya murrayi,-30.76
Maturephase tree,Endiandra microneura,-32.322
Understorey shrub,Hernandia albiflora,-34.2776
Pioneer tree,Cananga odorata,-31.44
Understorey shrub,Haplostichantus ramiflorus,-35.1292
Understorey tree,Pseuduvaria froggatti,-36.43919355
Understorey shrub,Eupomatia laurina,-34.71957622
Understorey tree,Myristica globosa,-30.9225
