Family,Date,Species,Forest location,Canopy location,replicate,Photo,Cond,Ci,Trmmol,Tleaf,CO2S,RH_S,PARi,Rdark,Contributors
Fabaceae,2/09/2010,Castanospermum australe,117-26,upper,1,12.425,0.21325,266,2.6575,28.83,372,71.26,1800.25,-0.97,Crous & Atkin
Fabaceae,2/09/2010,Castanospermum australe,136-51,upper,2,12.975,0.157,226.25,2.3775,29.68,372.765,69.295,1800,-1.94,Crous & Atkin
Fabaceae,2/09/2010,Castanospermum australe,281-25,upper,3,15.075,0.19925,233.5,2.5775,29.005,368.365,70.9925,1799,-1.34,Crous & Atkin
Fabaceae,2/09/2010,Castanospermum australe,321-22,upper,4,12.725,0.2075,261.25,2.735,29.3625,372.4225,71.84,1800.75,-0.91,Crous & Atkin
Fabaceae,16/09/2010,Castanospermum australe,117-26,lower,1,8.104,0.09916,241.2,1.38,31.272,382.966,82.66,1800,-0.66,Crous & Atkin
Fabaceae,16/09/2010,Castanospermum australe,136-51,lower,2,8.76,0.1186,252,1.596,31.32,381.334,83.622,1799,-0.86,Crous & Atkin
Fabaceae,16/09/2010,Castanospermum australe,281-25,lower,3,4.782,0.056,242.6,0.907,31.886,389.942,81.168,1799.2,-0.37,Crous & Atkin
Fabaceae,16/09/2010,Castanospermum australe,321-22,lower,4,8.07,0.156,289,1.842,31.024,382.36,85.608,1800,-0.62,Crous & Atkin
Cunnoniaceae,3/09/2010,Gillbeea whyapallana,147-53,upper,1,16.925,0.452,289,4.2525,29.4525,362.6525,80.34,1801,-1.18,Crous & Atkin
Cunnoniaceae,3/09/2010,Gillbeea whyapallana,165-43,upper,2,9.855,0.1075,218.5,1.9375,31.1475,378.685,70.6825,1799.75,-0.83,Crous & Atkin
Cunnoniaceae,3/09/2010,Gillbeea whyapallana,175-59,upper,3,13.275,0.23375,267.25,2.895,30.305,371.48,78.68,1799,-1.36,Crous & Atkin
Cunnoniaceae,3/09/2010,Gillbeea whyapallana,177-58,upper,4,7.3675,0.0867,235.25,1.495,30.95,383.4975,72.2975,1800.75,-1.66,Crous & Atkin
Cunnoniaceae,15/09/2010,Gillbeea whyapallana,147-53,lower,1,8.816,0.1934,298.8,2.016,31.094,381.744,86.486,1799,-0.3,Crous & Atkin
Cunnoniaceae,15/09/2010,Gillbeea whyapallana,165-43,lower,2,6.662,0.07658,237.4,1.026,31.308,386.774,81.168,1799,-0.28,Crous & Atkin
Cunnoniaceae,15/09/2010,Gillbeea whyapallana,175-59,lower,3,12.22,0.4268,318,2.404,29.942,373.092,89.288,1799,-0.47,Crous & Atkin
Cunnoniaceae,15/09/2010,Gillbeea whyapallana,177-58,lower,4,8.634,0.10182,237,1.202,30.986,382.996,81.878,1798.8,-0.58,Crous & Atkin
Euphorbiaceae,4/09/2010,Rockinghamia angustifolia,14-44,upper,1,5.778,0.1252,303.6,1.476,30.66,386.954,83.428,1801,-0.98,Crous & Atkin
Euphorbiaceae,4/09/2010,Rockinghamia angustifolia,135-33,upper,2,5.56,0.1528,320.8,1.368,30.13,386.736,88.188,1799.2,-0.4,Crous & Atkin
Euphorbiaceae,4/09/2010,Rockinghamia angustifolia,200-35,upper,3,3.676,0.1606,348,1.34,29.914,391.38,88.434,1799.2,-0.59,Crous & Atkin
Euphorbiaceae,4/09/2010,Rockinghamia angustifolia,359-23,upper,4,7.396,0.2286,324.4,1.74,30.036,384.448,90.436,1799.8,-0.49,Crous & Atkin
Euphorbiaceae,16/09/2010,Rockinghamia angustifolia,14-44,lower,1,3.34,0.03972,249,0.5402,30.726,391.996,80.348,1800.4,-0.09,Crous & Atkin
Euphorbiaceae,16/09/2010,Rockinghamia angustifolia,135-33,lower,2,1.562,0.03224,309.8,0.4824,31.096,396.576,78.944,1799,-0.15,Crous & Atkin
Euphorbiaceae,16/09/2010,Rockinghamia angustifolia,200-35,lower,3,2.754,0.03102,243,0.448,30.86,393.832,79.5,1799.4,-0.1,Crous & Atkin
Euphorbiaceae,16/09/2010,Rockinghamia angustifolia,359-23,lower,4,2.34,0.02356,227,0.3742,31.17,395.046,78.106,1799,-0.13,Crous & Atkin
Elaeocarpaceae,6/09/2010,Elaeocarpus grandis,137-10,upper,1,17.375,0.4905,293,3.09,29.2875,362.0875,88.565,1799,-1.19,Crous & Atkin
Elaeocarpaceae,6/09/2010,Elaeocarpus grandis,172-18,upper,2,19.175,0.41025,270.25,2.89,29.6225,358.3375,88.57,1800,-0.87,Crous & Atkin
Elaeocarpaceae,6/09/2010,Elaeocarpus grandis,190-42,upper,3,18.1,0.511,293,2.725,29.07,361.7575,89.835,1800,-1.04,Crous & Atkin
Elaeocarpaceae,6/09/2010,Elaeocarpus grandis,316-11,upper,4,18.025,0.475,288,2.7925,29.5,360.825,90.71,1799,-1.51,Crous & Atkin
Elaeocarpaceae,15/09/2010,Elaeocarpus grandis,137-10,lower,1,16.6,0.25725,249.25,2.05,30.75,364.6225,90.2675,1800.25,-0.83,Crous & Atkin
Elaeocarpaceae,15/09/2010,Elaeocarpus grandis,172-18,lower,2,15.86,0.3642,283.8,3.322,30.476,366.484,84.052,1799,-0.94,Crous & Atkin
Elaeocarpaceae,15/09/2010,Elaeocarpus grandis,190-42,lower,3,16.86,0.359,274.2,3.876,31.574,363.476,86.542,1799.6,-0.94,Crous & Atkin
Elaeocarpaceae,15/09/2010,Elaeocarpus grandis,316-11,lower,4,17.08,0.3692,275,3.59,30.782,362.922,84.616,1799.2,-1.36,Crous & Atkin
Meliaceae,8/09/2010,Dysoxylum papuanum,57-34,upper,1,14.4,0.34,287,3.52,29.7875,367.835,80.215,1800,-,Crous & Atkin
Meliaceae,8/09/2010,Dysoxylum papuanum,89-51,upper,2,14.075,0.28175,275,3.5275,31.135,369.0775,82.395,1799.25,-1.56,Crous & Atkin
Meliaceae,8/09/2010,Dysoxylum papuanum,237-20,upper,3,13.78,0.3234,289,3.286,30.482,369.742,83.94,1799.2,-1.6,Crous & Atkin
Meliaceae,8/09/2010,Dysoxylum papuanum,278-52,upper,4,12.3,0.18525,253.5,2.6175,31.5875,373.22,81.8225,1799.25,-2.21,Crous & Atkin
Meliaceae,17/09/2010,Dysoxylum papuanum,57-34,lower,1,3.278,0.04552,263.8,1.042,31.036,392.802,56.672,1799.6,-0.23,Crous & Atkin
Meliaceae,17/09/2010,Dysoxylum papuanum,89-51,lower,2,4.662,0.07654,277.8,1.692,31.392,389.396,59.988,1799.6,-0.57,Crous & Atkin
Meliaceae,17/09/2010,Dysoxylum papuanum,237-20,lower,3,4.526,0.06686,269.6,1.35,30.416,390.95,60.13,1801,-0.71,Crous & Atkin
Meliaceae,17/09/2010,Dysoxylum papuanum,278-52,lower,4,4.076,0.05144,252.2,1.082,30.338,392.106,57.528,1800.2,-0.45,Crous & Atkin
Lauraceae,6/09/2010,Cryptocarya mackionniana,42-26,upper,1,14.925,0.25375,262,2.18,30.125,368.335,88.39,1800,-0.81,Crous & Atkin
Lauraceae,6/09/2010,Cryptocarya mackionniana,87-55,upper,2,15.725,0.29475,269.5,2.145,29.6525,366.5825,88.6025,1799.5,-0.84,Crous & Atkin
Lauraceae,6/09/2010,Cryptocarya mackionniana,200-36,upper,3,15.7,0.2636,260.8,1.848,29.492,367.7,88.7,1799.2,-1.72,Crous & Atkin
Lauraceae,6/09/2010,Cryptocarya mackionniana,322-42,upper,4,14.28,0.334,291.6,1.996,29.43,370.34,90.77,1798.8,-0.92,Crous & Atkin
Lauraceae,17/09/2010,Cryptocarya mackionniana,42-26,lower,1,6.328,0.1448,300.8,2.768,30.922,384.784,62.948,1800.6,-0.93,Crous & Atkin
Lauraceae,17/09/2010,Cryptocarya mackionniana,87-55,lower,2,3.326,0.03204,212.6,0.814,31.67,392.798,54.206,1798.6,-0.43,Crous & Atkin
Lauraceae,17/09/2010,Cryptocarya mackionniana,200-36,lower,3,4.578,0.04906,228.4,1.078,30.728,390.948,56.514,1799.6,-0.27,Crous & Atkin
Lauraceae,17/09/2010,Cryptocarya mackionniana,322-42,lower,4,9.942,0.155,261.8,2.684,30.414,378.422,65.15,1798.8,-0.45,Crous & Atkin
Lauraceae,7/09/2010,Endiandra leptodendron,70-48,upper,1,11.34,0.2908,301,3.144,29.74,375.112,79.468,1799,-1.3,Crous & Atkin
Lauraceae,7/09/2010,Endiandra leptodendron,166-27,upper,2,11.4,0.2252,282,2.626,30.918,375.196,83.552,1801,-0.56,Crous & Atkin
Lauraceae,7/09/2010,Endiandra leptodendron,186-31,upper,3,11.04,0.2076,280.2,2.166,30.36,376.164,84.714,1800,-0.7,Crous & Atkin
Lauraceae,7/09/2010,Endiandra leptodendron,185-48,upper,4,8.89,0.2196,305.8,2.094,30.286,380.51,86.846,1799,-0.72,Crous & Atkin
Lauraceae,22/09/2010,Endiandra leptodendron,70-48,lower,1,4.29,0.09632,308.2,1.328,30.956,389.678,78.55,1800.2,-0.2,Crous & Atkin
Lauraceae,22/09/2010,Endiandra leptodendron,166-27,lower,2,7.586,0.1202,271.6,1.67,31.572,383.718,81.628,1799,-0.34,Crous & Atkin
Lauraceae,22/09/2010,Endiandra leptodendron,186-31,lower,3,11.05,0.3025,295.5,2.185,30.1325,375.9575,84.9075,1799.5,-0.44,Crous & Atkin
Lauraceae,22/09/2010,Endiandra leptodendron,185-48,lower,4,8.87,0.1952,297.6,2.066,30.484,380.876,82.864,1799,-0.3,Crous & Atkin
Moracaea,8/09/2010,Ficus variegata,79-30,upper,1,7.368,0.1164,271,1.69,31.092,383.862,78.676,1800.4,-3.42,Crous & Atkin
Moracaea,8/09/2010,Ficus variegata,79-32,upper,2,9.798,0.215,293.8,2.466,30.832,377.98,83.748,1800.2,-1.8,Crous & Atkin
Moracaea,8/09/2010,Ficus variegata,199-43,upper,3,9.414,0.133,254.2,1.87,31.652,379.186,82.368,1799,-0.88,Crous & Atkin
Moracaea,22/09/2010,Ficus variegata,79-30,lower,1,11.86,0.2686,292,2.528,30.036,373.74,83.992,1799,-1.31,Crous & Atkin
Moracaea,22/09/2010,Ficus variegata,79-32,lower,2,13.5,0.1928,246.2,2.278,30.802,370.966,82.578,1799,-0.98,Crous & Atkin
Moracaea,22/09/2010,Ficus variegata,199-43,lower,3,13.22,0.3986,305.6,3.414,30.478,370.22,87.148,1799.4,-0.92,Crous & Atkin
Myrtaceae,9/09/2010,Acmena graveolens,59-24,upper,1,16.08,0.3098,264.8,4.36,31.126,363.45,77.27,1799.6,-1.87,Crous & Atkin
Myrtaceae,9/09/2010,Acmena graveolens,94-26,upper,2,15.14,0.2956,270,3.914,30.61,366.522,76.312,1799,-1.16,Crous & Atkin
Myrtaceae,9/09/2010,Acmena graveolens,214-39,upper,3,8.234,0.1106,247.6,2.116,31.472,380.698,69.51,1800.6,-1.8,Crous & Atkin
Myrtaceae,9/09/2010,Acmena graveolens,306-44,upper,4,12.32,0.3156,297.8,3.722,30.346,372.972,78.696,1799,-2.54,Crous & Atkin
Myrtaceae,20/09/2010,Acmena graveolens,59-24,lower,1,14.98,0.921,331.2,3.268,28.132,367.086,86.624,1799.4,-0.64,Crous & Atkin
Myrtaceae,20/09/2010,Acmena graveolens,94-26,lower,2,11.08,0.3896,321.6,2.076,28.11,375.738,82.438,1800.4,-0.89,Crous & Atkin
Myrtaceae,20/09/2010,Acmena graveolens,214-39,lower,3,15.46,1.506,340.8,3.1,28.096,366.326,90.57,1799.8,-0.92,Crous & Atkin
Myrtaceae,20/09/2010,Acmena graveolens,306-44,lower,4,9,0.7528,354,2.316,28.144,379.562,88.07,1800,-0.9,Crous & Atkin
Myristicaceae,9/09/2010,Myristica globosa spp. meulleri,Mar-36,upper,1,10.34,0.1566,257.6,2.482,31.054,376.76,73.792,1800,-1.01,Crous & Atkin
Myristicaceae,9/09/2010,Myristica globosa spp. meulleri,161-56,upper,2,11.92,0.2312,277.2,3.08,30.836,372.97,78.184,1799.2,-2.16,Crous & Atkin
Myristicaceae,9/09/2010,Myristica globosa spp. meulleri,191-18,upper,3,5.954,0.06206,221.8,1.11,31.154,387.18,71.118,1800,-0.86,Crous & Atkin
Myristicaceae,9/09/2010,Myristica globosa spp. meulleri,330-15,upper,4,6.78,0.08178,240.4,1.404,31.154,385.13,72.708,1799.2,-0.58,Crous & Atkin
Myristicaceae,20/09/2010,Myristica globosa spp. meulleri,Mar-36,lower,1,9.612,0.3464,328.4,1.19,28.142,379.624,89.554,1799.4,-0.49,Crous & Atkin
Myristicaceae,20/09/2010,Myristica globosa spp. meulleri,161-56,lower,2,11.54,0.7474,344,1.678,28.148,375.988,91.648,1800,-0.86,Crous & Atkin
Myristicaceae,20/09/2010,Myristica globosa spp. meulleri,191-18,lower,3,10.24,0.4416,333.6,1.246,28.064,378.672,89.95,1799,-0.45,Crous & Atkin
Myristicaceae,20/09/2010,Myristica globosa spp. meulleri,330-15,lower,4,6.592,0.1366,300,1.208,28.144,385.16,75.348,1799,-0.42,Crous & Atkin
Myrtaceae,10/09/2010,Syzygium sayeri,36-30,upper,1,11.625,0.1345,223.75,2.1275,31.3525,375.6925,74.29,1798.75,-0.79,Crous & Atkin
Myrtaceae,10/09/2010,Syzygium sayeri,280-48,upper,2,10.2,0.11025,218,1.89,31.6925,378.795,73.4075,1799.5,-1.41,Crous & Atkin
Myrtaceae,10/09/2010,Syzygium sayeri,231-46,upper,3,11.25,0.14225,236,2.235,31.4775,375.845,76.3275,1798.5,-1.03,Crous & Atkin
Myrtaceae,10/09/2010,Syzygium sayeri,300-34,upper,4,11.3,0.13475,229,1.8975,30.69,375.665,75.8975,1798.75,-1.44,Crous & Atkin
Myrtaceae,10/09/2010,Syzygium sayeri,36-30,upper,1,13.9,0.1972,244.8,2.592,29.048,370.684,82.178,1800.2,-2.11,Crous & Atkin
Myrtaceae,10/09/2010,Syzygium sayeri,280-48,upper,2,14.4,0.1925,235.5,2.505,28.92,368.8725,82.5275,1799.5,-1.49,Crous & Atkin
Myrtaceae,10/09/2010,Syzygium sayeri,231-46,upper,3,12.18,0.1338,217.2,1.454,28.496,374.3,87.224,1799.6,-,Crous & Atkin
Myrtaceae,18/09/2010,Syzygium sayeri,36-30,lower,1,13.06,0.2124,260.8,2.298,30.236,371.372,83.886,1799.2,-0.6,Crous & Atkin
Myrtaceae,18/09/2010,Syzygium sayeri,280-48,lower,2,13.96,0.2428,266,2.23,30.064,369.616,86.32,1799,-0.68,Crous & Atkin
Myrtaceae,18/09/2010,Syzygium sayeri,231-46,lower,3,14.58,0.2708,270.4,2.422,30.274,368.656,88.558,1799,-0.93,Crous & Atkin
Myrtaceae,18/09/2010,Syzygium sayeri,300-34,lower,4,12.46,0.2418,279,2.34,30.534,372.862,88.116,1799,-0.5,Crous & Atkin
Steraculiaceae,13/09/2010,Argyrodendron peralatum,52-37,upper,1,15.62,0.2522,253,3.182,30.522,366.596,78.626,1800.2,-1.69,Crous & Atkin
Steraculiaceae,13/09/2010,Argyrodendron peralatum,109-37,upper,2,14.3,0.2508,263.8,3.134,30.52,368.78,78.96,1799.8,-1.6,Crous & Atkin
Steraculiaceae,13/09/2010,Argyrodendron peralatum,208-37,upper,3,15.62,0.294,267.4,3.376,30.62,366.088,81.768,1800,-1.3,Crous & Atkin
Steraculiaceae,13/09/2010,Argyrodendron peralatum,278-51,upper,4,14.76,0.2598,263.6,3.106,30.554,368.09,80.648,1799.4,-0.87,Crous & Atkin
Steraculiaceae,13/09/2010,Argyrodendron peralatum,52-37,upper,1,-,-,-,-,-,-,-,-,-,Crous & Atkin
Steraculiaceae,13/09/2010,Argyrodendron peralatum,109-37,upper,2,13.525,0.22125,262,1.9425,30.44,371.09,87.48,1798.75,-1.52,Crous & Atkin
Steraculiaceae,13/09/2010,Argyrodendron peralatum,208-37,upper,3,13.58,0.2012,251.4,1.83,30.716,372.388,87.356,1800.4,-0.73,Crous & Atkin
Steraculiaceae,13/09/2010,Argyrodendron peralatum,278-51,upper,4,8.085,0.137,280.5,1.1775,29.7775,383.61,82.83,1800.25,-1.63,Crous & Atkin
Steraculiaceae,18/09/2010,Argyrodendron peralatum,52-37,lower,1,6.734,0.22,326.2,2.13,30.564,384.23,87.766,1799.2,-0.43,Crous & Atkin
Steraculiaceae,18/09/2010,Argyrodendron peralatum,109-37,lower,2,10.26,0.2186,291.2,2.114,30.774,377.2,89.852,1800,-0.95,Crous & Atkin
Steraculiaceae,18/09/2010,Argyrodendron peralatum,208-37,lower,3,13.56,0.1814,239.4,1.862,30.928,370.968,89.288,1800,-0.92,Crous & Atkin
Steraculiaceae,18/09/2010,Argyrodendron peralatum,278-51,lower,4,9.844,0.1406,256.6,1.41,30.532,378.76,87.8,1799.2,-0.55,Crous & Atkin
