Species,Soil type,Mean specific leaf area (cm2 g-1),Mean percent leaf nitrogen,Mean percent leaf phosphorus,Mean area-based light saturated photosynthetic rate (umol m-2s-1),Mean area-based leaf dark respriation rate (umol m-2s-1),Minimum light requirement (PPFD5),Light compensation point for growth,Responsiveness of growth to light (RGR mol-1m-2 PPFD),Relative growth rate at 2 mol m-2 PPFD,Relative growth rate at 4 mol m-2 PPFD,Relative growth rate at 8 mol m-2 PPFD,Relative growth rate at 12 mol m-2 PPFD,Photosynthetic Photon Flux Density (PPFD),Relative Growth Rate (RGR)
Argyrodendron trifoliolatum,Basalt,144.86,1.7,0.0739,2.43,-0.523,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,159.33,2.05,0.0839,2.3,-0.575,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,134.28,2.304,0.0905,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,129.77,2.405,0.1219,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,193.8,2.024,0.1307,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,186.32,2.223,0.1605,5.3,-0.62,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,210.56,2.046,0.1664,5.34,-0.529,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,233.38,2.265,0.1853,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,192.52,2.01,0.2079,10.2,-1,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,160.99,1.779,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,170.71,1.946,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,193.51,2.02,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,176.39,2.07,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,227.06,2.086,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,184,2.132,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,168.3,2.154,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,174.7,2.237,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,186.23,2.244,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,191.22,2.292,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,172.93,2.334,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,208.45,2.383,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,199.48,2.413,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,147.09,,,,,,,,,,,,,
