trait_name,find,replace
bud_bank_location,1,none
bud_bank_location,10,NA
bud_bank_location,11,geophyte
bud_bank_location,2,none
bud_bank_location,3,none
bud_bank_location,4,bud-bearing_root
bud_bank_location,5,basal_buds
bud_bank_location,6,epicormic_buds
bud_bank_location,7,apical_buds
bud_bank_location,8,none
bud_bank_location,9,NA
life_history,1,annual
life_history,2,biennial
life_history,3,ephemeral
life_history,4,perennial
resprouting_capacity,1,fire_killed
resprouting_capacity,10,NA
resprouting_capacity,11,resprouts
resprouting_capacity,2,fire_killed
resprouting_capacity,3,fire_killed
resprouting_capacity,4,resprouts
resprouting_capacity,5,resprouts
resprouting_capacity,6,resprouts
resprouting_capacity,7,resprouts
resprouting_capacity,8,fire_killed
resprouting_capacity,9,resprouts
seedbank_location,1,canopy_seedbank
seedbank_location,10,NA
seedbank_location,11,NA
seedbank_location,2,soil_seedbank
seedbank_location,3,none
seedbank_location,4,NA
seedbank_location,5,NA
seedbank_location,6,NA
seedbank_location,7,NA
seedbank_location,8,NA
seedbank_location,9,NA
