site,Genus species,Stem wood density,leaf size,SLA,,,,
Ash_118,Acacia dealbata,,227,9.7,,,,
Ash_118,Acacia melanoxylon,0.50,2359,7.8,,,,
Ash_118,Acacia verticillata,0.67,7,7.2,,,,
Ash_118,Atherosperma moshatum,0.51,802,8.5,,,,
Ash_118,Bedfordia arborescens,0.51,6545,10.7,,,,
Ash_118,Cassinia aculeata,0.53,37,12.6,,,,
Ash_118,Coprosma quadrifida,0.52,60,18.4,,,,
Ash_118,Eucalyptus regnans,0.74,1565,4.8,,,,
Ash_118,Goodenia ovata,0.35,1545,13.9,,,,
Ash_118,Hedycarya angustifolia,0.22,4051,9.6,,,,
Ash_118,Helichrysum dendroideum,0.36,1875,13.6,,,,
Ash_118,Lomatia fraseri,0.57,3023,6.1,,,,
Ash_118,Nothofagus cunninghamii,0.60,148,6.0,,,,
Ash_118,Olearia argophylla,0.39,5314,7.2,,,,
Ash_118,Olearia lirata,0.35,1969,13.6,,,,
Ash_118,Pittosporum bicolor,0.68,298,7.4,,,,
Ash_118,Polyscias sambucifolia,0.46,2495,6.2,,,,
Ash_118,Pomaderris aspera,0.45,4070,8.7,,,,
Ash_118,Prostanthera lasianthos,0.35,2061,9.1,,,,
Ash_118,Senecio sp.,0.16,4166,16.6,,,,
Ash_118,Senecio linearifolius,0.04,2663,23.8,,,,
Ash_118,Zieria arborescens,0.48,1020,13.5,,,,
Gosford High P_118,Acacia elata,0.57,272,11.4,,,,
Gosford High P_118,Acmena smithii,0.66,2785,13.3,,,,
Gosford High P_118,Alectryon subcinereus,,10169,13.0,,,,
Gosford High P_118,Astrotricha floccosa,0.41,5832,20.8,,,,
Gosford High P_118,Backhousia myrtifolia,,1157,10.6,,,,
Gosford High P_118,Callicoma serratifolia,0.54,4020,10.2,,,,
Gosford High P_118,Ceratopetalum apetalum,0.54,5757,12.3,,,,
Gosford High P_118,Citriobatus pauciflorus,0.69,50,17.3,,,,
Gosford High P_118,Doryphora sassafras,0.52,3163,10.5,,,,
Gosford High P_118,Lomatia myricoides,0.56,3226,8.9,,,,
Gosford High P_118,Neolitsea dealbata,0.46,5684,11.5,,,,
Gosford High P_118,Notelaea venosa,,4510,8.4,,,,
Gosford High P_118,Palmeria scandens,0.39,4421,23.3,,,,
Gosford High P_118,Quintinia sieberi,,2355,8.7,,,,
Gosford High P_118,Rapanea variabilis,0.49,3395,11.8,,,,
Gosford High P_118,Rhodamnia rubescens,0.62,1687,12.8,,,,
Gosford High P_118,Schizomeria ovata,0.37,7542,21.7,,,,
Gosford High P_118,Scolopia braunii,0.66,2035,10.3,,,,
Gosford High P_118,Tasmannia insipida,0.43,2296,14.4,,,,
Gosford High P_118,Trochocarpa laurina,0.58,2210,13.3,,,,
Gosford low P_118,Acacia suaveolens,0.52,555,6.5,,,,
Gosford low P_118,Acacia uncinata,0.65,7,5.4,,,,
Gosford low P_118,Angophora costata,0.61,3557,6.1,,,,
Gosford low P_118,Banksia ericifolia,0.56,16,5.8,,,,
Gosford low P_118,Banksia serrata,0.49,1484,4.5,,,,
Gosford low P_118,Dillwynia retorta,0.83,4,8.5,,,,
Gosford low P_118,Epacris pulchella,0.67,9,10.9,,,,
Gosford low P_118,Gompholobium latifolium,0.74,112,9.7,,,,
Gosford low P_118,Grevillea oldei,0.70,49,7.9,,,,
Gosford low P_118,Grevillea speciosa,0.67,174,8.4,,,,
Gosford low P_118,Hibbertia obtusifolia,0.57,52,10.9,,,,
Gosford low P_118,Leptospermum trinervium,0.71,15,9.8,,,,
Gosford low P_118,Leptospermum polygalifolium,0.77,14,9.7,,,,
Gosford low P_118,Leucopogon ericoides,0.76,15,8.5,,,,
Gosford low P_118,Persoonia lanceolata,0.57,1261,5.6,,,,
Gosford low P_118,Persoonia levis,0.55,3714,5.6,,,,
Gosford low P_118,Petrophile pulchella,0.52,508,4.0,,,,
Gosford low P_118,Pultenaea elliptica,0.74,44,11.4,,,,
Gosford low P_118,Pultenaea rosmarinifolius,0.72,172,5.0,,,,
Gosford low P_118,Syncarpia glomulifera,0.62,2078,7.1,,,,
