Species,treatment,Rep,pi_o,RWC @ TLP,Emax,TLP (-Mpa),Mean Predawn water potential (Mpa) at gs<0.05,Mean Midday water potential (Mpa) at gs<0.05,site
Dianella revoluta,Water-deficit,5,0.742407404,0.91138453,3.943986366,-0.950253736,,,The University of Melbourne Burnley campus
Eutaxia microphylla,Water-deficit,1,1.630338286,0.833900867,19.86437073,-1.856177801,,,The University of Melbourne Burnley campus
Eutaxia microphylla,Water-deficit,2,0.97067414,0.800060692,7.836282407,-1.182617848,,,The University of Melbourne Burnley campus
Eutaxia microphylla,Water-deficit,3,1.476370576,0.82611821,13.55218111,-1.721124028,,,The University of Melbourne Burnley campus
Eutaxia microphylla,Water-deficit,4,1.180932304,0.727862144,6.154031883,-1.462674684,,,The University of Melbourne Burnley campus
Eutaxia microphylla,Water-deficit,5,1.730125017,0.840461849,13.96836825,-2.008487438,,,The University of Melbourne Burnley campus
Enchylaena tomentosa,Water-deficit,1,1.477501046,0.73785183,4.939117557,-2.144040924,,,The University of Melbourne Burnley campus
Enchylaena tomentosa,Water-deficit,2,1.65049419,0.688172059,3.683350909,-2.579007507,,,The University of Melbourne Burnley campus
Enchylaena tomentosa,Water-deficit,3,1.356444525,0.693244196,3.931074757,-2.080579131,,,The University of Melbourne Burnley campus
Enchylaena tomentosa,Water-deficit,4,1.251273647,0.707592044,3.398147622,-1.909660941,,,The University of Melbourne Burnley campus
Enchylaena tomentosa,Water-deficit,5,1.471974376,0.586381674,2.442325622,-2.636788259,,,The University of Melbourne Burnley campus
Ficinia nodosa,Water-deficit,1,0.462012429,0.86793538,2.283426554,-0.5977246,,,The University of Melbourne Burnley campus
Ficinia nodosa,Water-deficit,2,0.545240471,0.850367074,2.88272993,-0.671097859,,,The University of Melbourne Burnley campus
Ficinia nodosa,Water-deficit,3,0.460662176,0.904122565,1.758034273,-0.610674417,,,The University of Melbourne Burnley campus
Ficinia nodosa,Water-deficit,4,0.464729117,0.84804243,1.208495076,-0.706451501,,,The University of Melbourne Burnley campus
Ficinia nodosa,Water-deficit,5,0.73106997,0.915475311,4.086379715,-0.883324966,,,The University of Melbourne Burnley campus
Hibbertia obtusifolia,Water-deficit,1,1.263922153,0.855383319,4.966924952,-1.749909908,,,The University of Melbourne Burnley campus
Hibbertia obtusifolia,Water-deficit,2,1.376720113,0.847600302,6.78604796,-1.765758131,,,The University of Melbourne Burnley campus
Hibbertia obtusifolia,Water-deficit,3,1.240994735,0.848479028,5.303992911,-1.653273862,,,The University of Melbourne Burnley campus
Hibbertia obtusifolia,Water-deficit,4,1.353856147,0.842700578,4.882713678,-1.909189729,,,The University of Melbourne Burnley campus
Hibbertia obtusifolia,Water-deficit,5,1.633986748,0.82444045,8.200632864,-2.066063384,,,The University of Melbourne Burnley campus
Isotoma axillaris,Water-deficit,1,0.744419622,0.86399,1.72236872,-1.220249364,,,The University of Melbourne Burnley campus
Isotoma axillaris,Water-deficit,2,,,,0,,,The University of Melbourne Burnley campus
Isotoma axillaris,Water-deficit,3,0.822526278,0.794785756,1.77815195,-1.481882904,,,The University of Melbourne Burnley campus
Isotoma axillaris,Water-deficit,4,0.557121109,0.93191873,2.138620658,-0.793174804,,,The University of Melbourne Burnley campus
Isotoma axillaris,Water-deficit,5,0.63728894,0.866508577,2.698334884,-0.863969741,,,The University of Melbourne Burnley campus
Lomandra filiformis,Water-deficit,1,2.622135863,0.91997381,54.67567172,-2.917599575,,,The University of Melbourne Burnley campus
Lomandra filiformis,Water-deficit,2,2.368503641,0.962478733,41.91496175,-2.554238154,,,The University of Melbourne Burnley campus
Lomandra filiformis,Water-deficit,3,2.464150645,0.925619439,48.95336057,-2.806710044,,,The University of Melbourne Burnley campus
Lomandra filiformis,Water-deficit,4,2.509669846,0.9551479,34.20992573,-2.737656002,,,The University of Melbourne Burnley campus
Lomandra filiformis,Water-deficit,5,,,,,,,The University of Melbourne Burnley campus
Olearia axillaris,Water-deficit,1,1.316515793,0.823213672,6.070819075,-1.693689526,,,The University of Melbourne Burnley campus
Olearia axillaris,Water-deficit,2,1.400898697,0.727451379,4.196902388,-2.051958326,,,The University of Melbourne Burnley campus
Olearia axillaris,Water-deficit,3,1.334659564,0.826890302,6.224753884,-1.763697584,,,The University of Melbourne Burnley campus
Olearia axillaris,Water-deficit,4,1.506599691,0.772750971,7.263779057,-1.899445736,,,The University of Melbourne Burnley campus
Olearia axillaris,Water-deficit,5,0.612874598,0.769904758,1.216231681,-1.165626777,,,The University of Melbourne Burnley campus
Prostanthera nivea,Water-deficit,1,1.407852944,0.791104989,5.154960911,-1.940702975,,,The University of Melbourne Burnley campus
Prostanthera nivea,Water-deficit,2,1.619167793,0.802080072,7.345244316,-2.090111818,,,The University of Melbourne Burnley campus
Prostanthera nivea,Water-deficit,3,1.168958806,0.892294513,6.470223488,-1.45109847,,,The University of Melbourne Burnley campus
Prostanthera nivea,Water-deficit,4,1.342863541,0.861357899,6.87559826,-1.690358589,,,The University of Melbourne Burnley campus
Prostanthera nivea,Water-deficit,5,1.773022032,0.779389806,9.016753703,-2.216474614,,,The University of Melbourne Burnley campus
Platylobium obtusangulum,Water-deficit,1,1.353050079,0.904017627,8.92189126,-1.610346493,,,The University of Melbourne Burnley campus
Platylobium obtusangulum,Water-deficit,2,1.400223945,0.899875222,8.123487487,-1.700716866,,,The University of Melbourne Burnley campus
Platylobium obtusangulum,Water-deficit,3,,,,,,,The University of Melbourne Burnley campus
Platylobium obtusangulum,Water-deficit,4,1.446549662,0.912799393,17.03470255,-1.605575211,,,The University of Melbourne Burnley campus
Platylobium obtusangulum,Water-deficit,5,0.822483533,0.899580422,4.51730524,-1.035108231,,,The University of Melbourne Burnley campus
Pelagonium rodneyanum,Water-deficit,1,0.888463171,0.910314556,6.135941707,-1.045846373,,,The University of Melbourne Burnley campus
Pelagonium rodneyanum,Water-deficit,2,0.893042511,0.909790869,7.378917855,-1.038192226,,,The University of Melbourne Burnley campus
Pelagonium rodneyanum,Water-deficit,3,0.842472933,0.910562678,7.202436489,-1.0054783,,,The University of Melbourne Burnley campus
Pelagonium rodneyanum,Water-deficit,4,1.244065252,0.865960284,12.27192707,-1.406137382,,,The University of Melbourne Burnley campus
Pelagonium rodneyanum,Water-deficit,5,0.914333058,0.906957152,5.845283137,-1.092416853,,,The University of Melbourne Burnley campus
Stypandra glauca,Water-deficit,1,1.858986773,0.777799119,6.476736659,-2.554892386,,,The University of Melbourne Burnley campus
Stypandra glauca,Water-deficit,2,1.960265386,0.859744516,10.1076563,-2.472850228,,,The University of Melbourne Burnley campus
Stypandra glauca,Water-deficit,3,1.984685031,0.882441963,14.31383433,-2.334738287,,,The University of Melbourne Burnley campus
Stypandra glauca,Water-deficit,4,1.867290139,0.820873012,10.52777666,-2.267914606,,,The University of Melbourne Burnley campus
Stypandra glauca,Water-deficit,5,1.897382655,0.87045424,14.23026169,-2.311178958,,,The University of Melbourne Burnley campus
Stylidium graminifolia,Water-deficit,1,1.490539181,0.845078286,7.63738828,-1.845489798,,,The University of Melbourne Burnley campus
Stylidium graminifolia,Water-deficit,2,1.37057912,0.865306741,7.376238005,-1.688835899,,,The University of Melbourne Burnley campus
Stylidium graminifolia,Water-deficit,3,1.606987334,0.771905917,8.016761889,-2.005390482,,,The University of Melbourne Burnley campus
Stylidium graminifolia,Water-deficit,4,1.283733056,0.851432934,4.995949236,-1.712743556,,,The University of Melbourne Burnley campus
Stylidium graminifolia,Water-deficit,5,1.430702849,0.867752349,10.46355148,-1.691704043,,,The University of Melbourne Burnley campus
Senna nemophila,Water-deficit,1,1.672350684,0.890525105,6.393821167,-2.259742823,,,The University of Melbourne Burnley campus
Senna nemophila,Water-deficit,2,1.843834929,0.888105941,12.17381344,-2.20646728,,,The University of Melbourne Burnley campus
Senna nemophila,Water-deficit,3,,,,,,,The University of Melbourne Burnley campus
Senna nemophila,Water-deficit,4,1.715860266,0.873044667,15.96543282,-1.934770795,,,The University of Melbourne Burnley campus
Senna nemophila,Water-deficit,5,1.643686814,0.893879711,8.482445306,-2.084155864,,,The University of Melbourne Burnley campus
Arthropodium milleflorum,Well-watered,1,0.845539262,0.826488271,3.450882062,-1.116545436,,,The University of Melbourne Burnley campus
Arthropodium milleflorum,Well-watered,2,1.08647251,0.910539371,9.263118483,-1.255855054,,,The University of Melbourne Burnley campus
Arthropodium milleflorum,Well-watered,3,,,,,,,The University of Melbourne Burnley campus
Arthropodium milleflorum,Well-watered,4,0.999009371,0.91294384,12.06271667,-1.130340899,,,The University of Melbourne Burnley campus
Arthropodium milleflorum,Well-watered,5,,,,,,,The University of Melbourne Burnley campus
Chrysocephalum semipapposum,Well-watered,1,1.106999353,0.777141161,5.293999046,-1.388388333,,,The University of Melbourne Burnley campus
Chrysocephalum semipapposum,Well-watered,2,1.015708681,0.737973613,7.193819572,-1.198720282,,,The University of Melbourne Burnley campus
Chrysocephalum semipapposum,Well-watered,3,0.892378332,0.797693215,3.966317072,-1.147842104,,,The University of Melbourne Burnley campus
Chrysocephalum semipapposum,Well-watered,4,1.015619499,0.732382103,3.372211539,-1.413419678,,,The University of Melbourne Burnley campus
Chrysocephalum semipapposum,Well-watered,5,0.938521468,0.734691111,2.90502105,-1.347361377,,,The University of Melbourne Burnley campus
