Species,Replicate,Root Biomass (g) 0-10cm depth,Green shoot biomass (g),Non-green shoot biomass (g),Total shoot biomass (g),Root:Shoot ratio
Briza minor,3,0.0095,0.0209,0.0232,0.0441,0.215419501
Briza minor,4,0.0039,0.0062,0.0069,0.0131,0.297709924
Briza minor,5,0.0019,0.0036,0.0191,0.0227,0.083700441
Bromus horeaceus,1,0.0048,0.0121,0.0275,0.0396,0.121212121
Bromus horeaceus,2,0.0057,0.0096,0.0256,0.0352,0.161931818
Bromus horeaceus,3,0.0032,0.0031,0.0252,0.0283,0.113074205
Bromus horeaceus,4,0.0044,0.0036,0.0365,0.0401,0.109725686
Bromus horeaceus,5,0.0045,0.0028,0.0367,0.0395,0.113924051
Centaurium erythraea,1,0.072,0.671,0,0.671,0.107302534
Centaurium erythraea,2,0.066,0.368,0,0.368,0.179347826
Centaurium erythraea,3,0.019,0.13,0,0.13,0.146153846
Cheilanthes austrotenuifolia,1,4.425,0.505,0.392,0.897,4.933110368
Cheilanthes austrotenuifolia,2,3.67,0.45,0,0.45,8.155555556
Cheilanthes austrotenuifolia,3,0.334,0.14,0.04,0.18,1.855555556
Convolvulus erubescens,1,0.125,0.107,0.047,0.154,0.811688312
Convolvulus erubescens,2,0.729,0.127,0.023,0.15,4.86
Convolvulus erubescens,3,0.907,0.26,0.055,0.315,2.879365079
Crassula sieberiana,1,0.002,0.005,0,0.005,0.4
Crassula sieberiana,2,0.005,0.016,0,0.016,0.3125
Crassula sieberiana,3,0.002,0.016,0,0.016,0.125
Euchiton spp,1,0.0027,0.0125,0.0323,0.0448,0.060267857
Euchiton spp,2,0.0049,0.0358,0.1566,0.1924,0.025467775
Euchiton spp,3,0.0016,0.0062,0.0135,0.0197,0.081218274
Cymbonotus lawsonianus,1,0.366,0.393,0,0.393,0.93129771
Cymbonotus lawsonianus,2,0.09,0.111,0,0.111,0.810810811
Cymbonotus lawsonianus,3,0.651,0.507,0,0.507,1.284023669
Cynosurus echinatus,1,0.062,0.139,0.278,0.417,0.148681055
Cynosurus echinatus,2,0.0399,0.0692,0.1593,0.2285,0.174617068
Cynosurus echinatus,3,0.058,0.125,0.3605,0.4855,0.11946447
Cynosurus echinatus,4,0.0126,0.0185,0.0961,0.1146,0.109947644
Cynosurus echinatus,5,0.0184,0.0158,0.1079,0.1237,0.148746968
Daucus glochidiatus,1,0.002,0.023,0,0.023,0.086956522
Daucus glochidiatus,2,0.005,0.028,0,0.028,0.178571429
Daucus glochidiatus,3,0.008,0.032,0,0.032,0.25
Davesia mimosoides,1,1.835,6.657,7.592,14.249,0.128780967
Davesia mimosoides,2,8.669,16.106,43.002,59.108,0.146663734
Desmodium varians,1,1.901,0.307,0.156,0.463,4.105831533
Desmodium varians,2,2.858,0.834,0.648,1.482,1.928475034
Desmodium varians,3,1.259,0.233,0.098,0.331,3.803625378
Dichelachne crinita,1,0.1201,0.1501,0.7136,0.8637,0.139052912
