Species,Replicate,Date,Plant height (cm),Plant width (cm),Diameter of the thickest root (mm),Number of primary root axes,Tap root (yes/no)
Acacia decurrens,1,19/12/2005,212,123,,,
Acacia decurrens,2,19/12/2005,140,116,30.82,2,no
Acacia decurrens,3,19/12/2005,100.5,83,19.16,2,no
Acaena ovina,1,9/11/2005,8.3,7.8,3.16,1,yes
Acaena ovina,2,5/12/2005,10.9,6.8,3.65,1,yes
Acaena ovina,3,5/12/2005,15.4,12.7,5.19,1,yes
Acetosella vulgaris,1,27/10/2005,17.7,2.8,1.28,1,no
Acetosella vulgaris,2,27/10/2005,15.6,10.5,0.76,1,yes
Acetosella vulgaris,3,27/10/2005,8.7,9.3,1.45,2,no
Aira elegantissima,1,13/10/2005,9.7,2.5,0.24,9,no
Aira elegantissima,2,17/10/2005,5.7,0.7,0.19,11,no
Aira elegantissima,3,17/10/2005,5.9,1.4,0.25,12,no
Aira elegantissima,4,17/10/2005,8.7,1.1,0.2,12,no
Aira elegantissima,5,17/10/2005,10,2.2,0.35,18,no
Anagallis arvensis,1,27/10/2005,10.2,18.9,1.77,1,yes
Anagallis arvensis,2,27/10/2005,9.2,7.4,0.49,8,yes
Anagallis arvensis,3,27/10/2005,8.8,1.9,0.55,1,yes
Arctotheca calendula,1,9/10/2005,5,11.2,1.63,10,no
Arctotheca calendula,2,9/10/2005,4.8,10.3,1.55,1,yes
Arctotheca calendula,3,9/10/2005,9.7,19.9,1.54,8,yes
Aristida ramosa,1,5/12/2005,34.2,26.5,1.17,111,no
Aristida ramosa,2,5/12/2005,39.9,47.5,0.77,132,no
Aristida ramosa,3,13/12/2005,32.5,52.5,1.24,118,no
Aristida ramosa,4,13/12/2005,29.5,36.4,0.9,73,no
Aristida ramosa,5,13/12/2005,22,35,0.89,32,no
Asperula conferta,1,24/10/2005,7.4,2.3,0.76,1,no
Asperula conferta,2,24/10/2005,7.7,1.3,0.93,1,no
Asperula conferta,3,24/10/2005,6.4,2.9,1.83,1,no
Austrodanthonia caespitosa,1,20/09/2005,9.5,25.2,1.1,91,no
Austrodanthonia caespitosa,2,20/09/2005,5.7,9.7,0.88,87,no
Austrodanthonia caespitosa,3,20/09/2005,8.8,16.5,1.38,107,no
Austrodanthonia caespitosa,4,21/09/2005,5.4,16.7,1.27,,no
Austrodanthonia caespitosa,5,21/09/2005,7.5,20.7,0.79,96,no
Austrodanthonia caespitosa,6,9/10/2005,11.9,21.9,0.75,143,no
Austrodanthonia caespitosa,7,9/10/2005,12.9,15.9,0.88,136,no
Austrodanthonia caespitosa,8,10/10/2005,16.7,20.9,1.19,180,no
Austrodanthonia caespitosa,9,10/10/2005,14.9,18.1,0.93,184,no
Austrodanthonia carphoides,1,28/09/2005,7.5,10.2,0.85,60,no
Austrodanthonia carphoides,2,28/09/2005,5.2,10.3,1.04,63,no
Austrodanthonia carphoides,3,30/09/2005,7.3,14.2,0.81,77,no
Austrodanthonia carphoides,4,30/09/2005,5.4,11.6,0.86,,no
Austrodanthonia carphoides,5,30/09/2005,6.4,9.9,0.77,102,no
Avena barbata,1,21/10/2005,24.8,3.5,0.64,12,no
Avena barbata,2,27/10/2005,13.4,2.5,0.66,8,no
Avena barbata,3,28/10/2005,28.7,2.8,0.94,9,no
Bothriochloa macra,1,5/12/2005,15.9,43.5,0.74,110,no
Bothriochloa macra,2,13/12/2005,18.2,33.2,0.84,26,no
Bothriochloa macra,3,13/12/2005,9.4,20.2,0.85,39,no
Bothriochloa macra,4,13/12/2005,18.7,21.8,1.04,20,no
Bothriochloa macra,5,13/12/2005,28,21.2,1.14,52,no
Briza maxima,1,6/11/2005,25.6,3.8,0.47,9,no
Briza maxima,2,6/11/2005,23,5,0.48,14,no
Briza maxima,3,6/11/2005,20.9,1.4,0.76,12,no
Briza minor,1,21/10/2005,7.2,2.7,0.31,14,no
Briza minor,2,21/10/2005,9.9,1,0.34,17,no
Briza minor,3,24/10/2005,10.9,1.8,0.29,33,no
Briza minor,4,24/10/2005,7.5,1.5,0.19,9,no
Briza minor,5,27/10/2005,8.1,2.8,0.29,10,no
Bromus hordeaceus,1,21/10/2005,10.8,0.8,0.42,6,no
Bromus hordeaceus,2,27/10/2005,12.5,2.2,0.37,6,no
Bromus hordeaceus,3,28/10/2005,11.8,1.1,0.34,5,no
Bromus hordeaceus,4,6/11/2005,16.2,1.4,0.37,8,no
Bromus hordeaceus,5,6/11/2005,12.1,0.7,0.43,10,no
Centaurium erythraea,1,27/09/2005,3.2,6.4,3.4,4,no
Centaurium erythraea,2,27/09/2005,2.2,4.8,2.35,1,yes
Centaurium erythraea,3,28/09/2005,2.5,5,1.49,3,no
Cheilanthes austrotenuifolia,1,9/10/2005,9,11.8,0.84,245,no
Cheilanthes austrotenuifolia,2,9/10/2005,12.1,15.6,0.52,246,no
Cheilanthes austrotenuifolia,3,10/10/2005,13.6,6,0.81,28,no
Convolvulus erubescens,1,24/10/2005,11.7,9.9,4.3,1,yes
Convolvulus erubescens,2,24/10/2005,9.5,7.4,11.68,1,yes
Convolvulus erubescens,3,27/10/2005,9.3,6.3,10.81,1,yes
Crassula sieberiana,1,20/09/2005,2.1,0.8,0.37,1,yes
Crassula sieberiana,2,20/09/2005,2.1,0.9,0.31,1,yes
Crassula sieberiana,3,21/09/2005,2.4,1.7,0.38,3,yes
Cymbonotus lawsonianus,1,30/09/2005,2.8,9.5,1.17,16,no
Cymbonotus lawsonianus,2,30/09/2005,2.3,7.1,1.23,7,no
Cymbonotus lawsonianus,3,30/09/2005,2.8,15.6,1.83,20,no
Cynosurus echinatus,1,10/11/2005,38.3,10.8,0.78,19,no
Cynosurus echinatus,2,10/11/2005,34.2,5.3,0.6,17,no
Cynosurus echinatus,3,21/11/2005,47.2,11.4,0.63,22,no
Cynosurus echinatus,4,28/11/2005,26.2,3.2,0.51,11,no
Cynosurus echinatus,5,28/11/2005,23.3,2.2,0.49,15,no
Daucus glochidiatus,1,27/09/2005,5.2,3.5,0.94,1,yes
Daucus glochidiatus,2,27/09/2005,3.3,3.3,1.43,1,yes
