Species,Replicate,Date,leaf angle (degrees from horizontal),Leaf fresh mass (g),Leaf length (cm),Leaf width (cm),Leaf area (mm2),Specific leaf area (mm2.g-1),Leaf perimeter (mm),Leaf dry mass (g),Leaf Dry Matter Content (LDMC; dry mass / fresh mass)
Austrodanthonia caespitosa,4,28/09/2005,56,0.0272,6.7,0.221,115.91,12463.44086,144.72,0.0093,0.341911765
Austrodanthonia caespitosa,5,21/09/2005,,0.0553,10.9,0.341,248.57,13221.80851,237.57,0.0188,0.339963834
Austrodanthonia caespitosa,6,9/10/2005,71,0.0212,9.5,0.16,78.494,9811.75,203.37,0.008,0.377358491
Austrodanthonia caespitosa,7,9/10/2005,67,0.0435,11.6,0.162,113.58,6565.317919,251.83,0.0173,0.397701149
Austrodanthonia caespitosa,8,10/10/2005,81,0.0307,11,0.141,93.971,8100.948276,228.7,0.0116,0.377850163
Austrodanthonia caespitosa,9,10/10/2005,47,0.0236,11.5,0.105,87.477,9112.1875,244.96,0.0096,0.406779661
Austrodanthonia carphoides,1,28/09/2005,41,0.0116,5.8,0.144,47.986,10905.90909,122.92,0.0044,0.379310345
Austrodanthonia carphoides,2,28/09/2005,22,0.007,4.9,0.098,27.871,11612.91667,100.88,0.0024,0.342857143
Austrodanthonia carphoides,3,30/09/2005,64,0.0099,5,0.124,35.52,9347.368421,105.57,0.0038,0.383838384
Austrodanthonia carphoides,4,30/09/2005,28,0.0062,3.4,0.147,26.724,10278.46154,70.283,0.0026,0.419354839
Austrodanthonia carphoides,5,30/09/2005,71,0.0076,3.5,0.156,29.133,8568.529412,76.518,0.0034,0.447368421
Avena barbata,1,13/10/2005,79,0.0697,7.5,0.7,349.85,16196.75926,158.89,0.0216,0.30989957
Avena barbata,2,17/10/2005,66,0.0433,5.9,0.7,253.06,22798.1982,20.806,0.0111,0.256351039
Avena barbata,3,21/10/2005,51,0.0471,7.1,0.5,258.02,22833.62832,33.332,0.0113,0.239915074
Bothriochloa macra,1,21/10/2005,31,0.0189,4.7,0.377,132.46,26492,98.968,0.005,0.264550265
Bothriochloa macra,2,5/12/2005,82,0.0306,7.3,0.388,214.21,20597.11538,150.84,0.0104,0.339869281
Bothriochloa macra,3,5/12/2005,32,0.0266,7.2,0.408,208.29,22640.21739,151.09,0.0092,0.345864662
Bothriochloa macra,4,5/12/2005,28,0.0358,8.4,0.442,275.56,22773.55372,177.72,0.0121,0.337988827
Bothriochloa macra,5,5/12/2005,25,0.0309,6.9,0.398,225.13,20845.37037,147.78,0.0108,0.349514563
Briza maxima,1,6/11/2005,67,0.0593,8.5,0.7,396.87,28758.69565,182.7,0.0138,0.232715008
Briza maxima,2,6/11/2005,73,0.0253,5.6,0.45,180.01,29033.87097,119.91,0.0062,0.245059289
Briza maxima,3,6/11/2005,81,0.0282,5.15,0.5,188.26,30862.29508,109.78,0.0061,0.216312057
Briza minor,1,13/10/2005,76,0.0104,4.2,0.289,97.512,42396.52174,90.404,0.0023,0.221153846
Briza minor,2,13/10/2005,66,0.0284,4,0.57,160.47,27198.30508,95.958,0.0059,0.207746479
Briza minor,3,15/10/2005,82,0.0019,1.8,0.142,16.323,54410,37.17,0.0003,0.157894737
Briza minor,4,15/10/2005,81,0.0144,4.2,0.392,121.96,36957.57576,90.474,0.0033,0.229166667
Briza minor,5,17/10/2005,53,0.0022,1.6,0.19,22.889,57222.5,34.075,0.0004,0.181818182
Bromus hordeaceus,1,13/10/2005,85,0.0083,2.75,0.282,60.115,31639.47368,57.58,0.0019,0.228915663
Bromus hordeaceus,2,27/10/2005,74,0.0834,8.9,0.8,495.95,23616.66667,193.05,0.021,0.251798561
Bromus hordeaceus,3,6/11/2005,87,0.0045,2.3,0.212,36.667,30555.83333,48.592,0.0012,0.266666667
Bromus hordeaceus,4,6/11/2005,77,0.0082,3.35,0.238,62.552,32922.10526,70.511,0.0019,0.231707317
Bromus hordeaceus,5,6/11/2005,80,0.0062,2.4,0.269,51.061,36472.14286,52.707,0.0014,0.225806452
Centaurium erythraea,1,27/09/2005,26,0.0533,3,1.1,220.21,23426.59574,75.91,0.0094,0.176360225
Centaurium erythraea,2,27/09/2005,34,0.0842,3.6,1.4,354.18,21728.83436,88.987,0.0163,0.193586698
Centaurium erythraea,3,28/09/2005,6,0.0585,2.6,1.3,230.37,23507.14286,65.744,0.0098,0.167521368
Cheilanthes austrotenuifolia,1,9/10/2005,82,0.2106,9.7,3.2,690.4,14323.65145,510.75,0.0482,0.228869896
Cheilanthes austrotenuifolia,2,9/10/2005,68,0.262,15.2,4.6,800.77,12300.61444,649.67,0.0651,0.248473282
Cheilanthes austrotenuifolia,3,10/10/2005,32,0.1489,7.1,2.6,560.04,14396.91517,317.63,0.0389,0.261249161
Convolvulus erubescens,1,15/10/2005,82,0.0319,2.45,0.95,141.59,18152.5641,75.583,0.0078,0.244514107
Convolvulus erubescens,2,15/10/2005,87,0.0545,3.2,1.05,176.52,14351.21951,95.603,0.0123,0.225688073
Convolvulus erubescens,3,15/10/2005,54,0.1266,5.6,2.2,415.77,16970.20408,147.14,0.0245,0.193522907
Crassula sieberiana,1,20/09/2005,,0.0013,0.28,0.131,3.8781,38781,7.8017,0.0001,0.076923077
Crassula sieberiana,2,20/09/2005,,0.0026,0.316,0.192,5.3046,53046,11.51,0.0001,0.038461538
Crassula sieberiana,3,21/09/2005,,0.0021,0.294,0.174,4.2652,21326,7.9651,0.0002,0.095238095
Cymbonotus lawsonianus,1,30/09/2005,12,0.3516,5.4,2.8,853.18,22511.34565,139.79,0.0379,0.107792947
Cymbonotus lawsonianus,2,30/09/2005,25,0.3281,5.6,2.6,764.75,20447.86096,147.07,0.0374,0.113989637
Cymbonotus lawsonianus,3,30/09/2005,56,0.3485,4.9,3,859.5,24913.04348,135.23,0.0345,0.098995696
Cynosurus echinatus,1,10/11/2005,72,0.0621,7.4,0.8,378.19,28869.46565,159.27,0.0131,0.210950081
Cynosurus echinatus,2,10/11/2005,78,0.0396,7.35,5.5,274.95,32347.05882,152.97,0.0085,0.214646465
Cynosurus echinatus,3,28/11/2005,94,0.0313,7.1,0.55,249.4,31569.62025,151.11,0.0079,0.252396166
Cynosurus echinatus,4,28/11/2005,70,0.0442,7.2,0.6,275.23,26983.33333,150.17,0.0102,0.230769231
Cynosurus echinatus,5,28/11/2005,74,0.0192,5.65,0.4,161.08,33558.33333,117.76,0.0048,0.25
Daucus glochidiatus,1,27/09/2005,25,0.0224,2.7,1,94.917,22073.72093,100.04,0.0043,0.191964286
Daucus glochidiatus,2,27/09/2005,47,0.0202,3,1,81.269,23219.71429,117.17,0.0035,0.173267327
Daucus glochidiatus,3,27/09/2005,38,0.0252,3.1,1,106.66,23186.95652,111.19,0.0046,0.182539683
Davesia mimosoides,1,15/10/2005,79,0.1125,5.7,0.5,235.96,4329.541284,129.83,0.0545,0.484444444
Davesia mimosoides,2,15/10/2005,58,0.0728,4.35,0.441,160.37,4334.324324,93.842,0.037,0.508241758
Davesia mimosoides,3,15/10/2005,88,0.0644,3.6,0.478,144.62,4108.522727,77.647,0.0352,0.546583851
Desmodium varians,1,24/10/2005,25,0.0446,2.8,2.2,221.53,20323.85321,114.65,0.0109,0.244394619
Desmodium varians,2,27/10/2005,53,0.0905,3,3.25,357.22,13379.02622,138.54,0.0267,0.295027624
Desmodium varians,3,27/10/2005,47,0.0818,5.4,3.05,424,21094.52736,201.07,0.0201,0.245721271
Dichelachne crinita,1,28/11/2005,82,0.0427,8.65,0.253,185.07,12175.65789,187.27,0.0152,0.355971897
Dichelachne crinita,2,28/11/2005,61,0.0325,7.55,0.245,201.1,20110,329.62,0.01,0.307692308
Dichelachne crinita,3,28/11/2005,81,0.0336,7.15,0.313,175.47,15258.26087,151.04,0.0115,0.342261905
Drosera pelata,1,27/09/2005,58,0.0081,1.4,1.2,24.588,22352.72727,62.368,0.0011,0.135802469
Drosera pelata,2,28/09/2005,73,0.0114,1.6,1.2,37.462,22036.47059,72.278,0.0017,0.149122807
Drosera pelata,3,28/09/2005,59,0.0128,1.6,1.3,45.34,22670,98.573,0.002,0.15625
Elymus scaber,1,13/10/2005,86,0.0737,13.9,0.325,365.3,15413.50211,304.47,0.0237,0.321573948
Elymus scaber,2,13/10/2005,88,0.0323,9.7,0.216,184.96,16224.5614,209.73,0.0114,0.352941176
Elymus scaber,3,15/10/2005,19,0.0621,8.2,0.45,303.13,14434.7619,172.26,0.021,0.338164251
Elymus scaber,4,15/10/2005,8,0.029,7.5,0.251,159.44,15786.13861,156.42,0.0101,0.348275862
Elymus scaber,5,17/10/2005,70,0.0724,12.7,0.35,382.69,15369.07631,265.78,0.0249,0.343922652
Enneapogon nigricans,1,21/10/2005,49,0.0133,3.95,0.234,87.097,17774.89796,82.954,0.0049,0.368421053
Enneapogon nigricans,2,21/10/2005,10,0.0097,4,0.203,69.448,18769.72973,83.819,0.0037,0.381443299
Enneapogon nigricans,3,24/10/2005,31,0.0177,5,0.256,102.89,14094.52055,106.52,0.0073,0.412429379
Enneapogon nigricans,4,6/11/2005,42,0.0062,3.05,0.184,47.849,20803.91304,63.705,0.0023,0.370967742
Enneapogon nigricans,5,10/11/2005,70,0.0138,5.75,0.206,59.276,11399.23077,120.55,0.0052,0.376811594
Eragrostis brownii,1,5/12/2005,52,0.0752,23.9,0.339,391.29,15651.6,519.29,0.025,0.332446809
Eragrostis brownii,2,5/12/2005,48,0.0318,11,0.29,160.34,13588.13559,229.66,0.0118,0.371069182
Eragrostis brownii,3,5/12/2005,32,0.0485,14.3,0.36,261.44,14131.89189,302.74,0.0185,0.381443299
Eryngium ovinum,1,28/11/2005,10,0.2711,8.25,3.8,492.23,7196.345029,476.31,0.0684,0.252305422
Eryngium ovinum,2,28/11/2005,15,0.2494,7.4,3.75,470.56,8099.139415,438.26,0.0581,0.232959102
Eryngium ovinum,3,28/11/2005,20,0.2706,11.2,5.3,559.66,8799.685535,616.59,0.0636,0.235033259
Galium divaricatum,1,13/10/2005,23,0.0008,0.528,0.116,4.1219,20609.5,11.267,0.0002,0.25
Galium divaricatum,2,13/10/2005,24,0.001,0.563,0.11,4.2007,42007,11.284,0.0001,0.1
Galium divaricatum,3,13/10/2005,22,0.0011,0.636,0.121,5.9928,29964,13.737,0.0002,0.181818182
Galium divaricatum,4,15/10/2005,12,0.001,0.52,0.101,4.1864,41864,10.923,0.0001,0.1
Galium divaricatum,5,17/10/2005,18,0.0006,0.486,0.119,4.7598,15866,10.847,0.0003,0.5
Geranium solanderi,1,27/09/2005,25,0.1857,12.9,3.1,614.35,17257.02247,417.74,0.0356,0.191707054
Geranium solanderi,2,27/09/2005,35,0.1479,9.1,2.5,555.67,22050.39683,299.35,0.0252,0.170385396
