Species,Replicate,Date,leaf angle (degrees from horizontal),Leaf fresh mass (g),Leaf length (cm),Leaf width (cm),Leaf area (mm2),Specific leaf area (mm2.g-1),Leaf perimeter (mm),Leaf dry mass (g),Leaf Dry Matter Content (LDMC; dry mass / fresh mass)
Trifolium arvense,3,24/10/2005,42,0.0168,2.1,1.7,114.04,24263.82979,93.133,0.0047,0.279761905
Trifolium arvense,4,6/11/2005,19,0.0126,2.1,2.25,104.42,40161.53846,95.06,0.0026,0.206349206
Trifolium arvense,5,10/11/2005,22,0.0182,1.8,2.3,119.45,23890,94.402,0.005,0.274725275
Trifolium dubium,1,13/10/2005,57,0.0083,1.6,1.1,54.423,38873.57143,64.911,0.0014,0.168674699
Trifolium dubium,2,13/10/2005,52,0.0056,1.7,1,44.53,34253.84615,58.5,0.0013,0.232142857
Trifolium dubium,3,15/10/2005,72,0.0089,2,1.15,61.692,32469.47368,68.468,0.0019,0.213483146
Trifolium dubium,4,15/10/2005,81,0.0057,1.2,1.1,45.778,28611.25,57.624,0.0016,0.280701754
Trifolium dubium,5,17/10/2005,41,0.0088,1,1.25,70,36842.10526,63.21,0.0019,0.215909091
Trifolium glomeratum,1,24/10/2005,69,0.0154,1.5,1.7,95.692,17087.85714,68.854,0.0056,0.363636364
Trifolium glomeratum,2,10/11/2005,29,0.0105,1.3,1.55,75.641,32887.3913,67.616,0.0023,0.219047619
Trifolium glomeratum,3,10/11/2005,37,0.0134,1.3,1.6,89.29,29763.33333,72.22,0.003,0.223880597
Trifolium glomeratum,4,10/11/2005,22,0.0205,1.4,2.05,129.34,27519.14894,83.12,0.0047,0.229268293
Trifolium glomeratum,5,10/11/2005,61,0.0181,1.4,1.7,99.003,22500.68182,73.832,0.0044,0.243093923
Trifolium striatum,1,28/11/2005,42,0.0154,1.2,2.1,103.98,21220.40816,76.033,0.0049,0.318181818
Trifolium striatum,2,28/11/2005,45,0.015,1.3,1.85,106.55,20892.15686,77.035,0.0051,0.34
Trifolium striatum,3,28/11/2005,48,0.0125,1.2,1.7,83.477,19875.47619,68.67,0.0042,0.336
Trifolium striatum,4,28/11/2005,40,0.0174,1.25,2.15,119.09,20892.98246,82.501,0.0057,0.327586207
Trifolium striatum,5,28/11/2005,30,0.0133,1.15,1.9,93.168,25880,76.515,0.0036,0.270676692
Trifolium subterraneum,1,13/10/2005,,0.0492,3.2,2.25,297.34,27278.89908,152.63,0.0109,0.221544715
Trifolium subterraneum,2,13/10/2005,74,0.0487,4.5,2.35,303.02,27299.0991,168.11,0.0111,0.227926078
Trifolium subterraneum,3,15/10/2005,59,0.052,3.65,2.6,326.87,29447.74775,164.07,0.0111,0.213461538
Trifolium subterraneum,4,15/10/2005,60,0.0392,2.3,2.1,243.89,25945.74468,103.56,0.0094,0.239795918
Trifolium subterraneum,5,17/10/2005,63,0.0562,4.7,2.4,314.81,30564.07767,165.51,0.0103,0.183274021
Triptilodiscus pygmaeus,1,13/10/2005,,0.01,1.8,0.317,44.244,29496,45.345,0.0015,0.15
Triptilodiscus pygmaeus,2,13/10/2005,49,0.0076,1.55,0.324,37.24,28646.15385,35.872,0.0013,0.171052632
Triptilodiscus pygmaeus,3,15/10/2005,37,0.01,1.7,0.363,48.107,32071.33333,42.589,0.0015,0.15
Triptilodiscus pygmaeus,4,15/10/2005,25,0.0068,1.6,0.285,32.409,36010,33.634,0.0009,0.132352941
Triptilodiscus pygmaeus,5,17/10/2005,37,0.0082,1.55,0.37,39.857,30659.23077,36.055,0.0013,0.158536585
Vulpia bromoides,1,13/10/2005,81,0.0034,3.85,0.129,30.961,25800.83333,78.347,0.0012,0.352941176
Vulpia bromoides,2,13/10/2005,72,0.0042,3.7,0.107,35.477,29564.16667,79.221,0.0012,0.285714286
Vulpia bromoides,3,15/10/2005,68,0.0071,4.1,0.146,31.197,16419.47368,84.931,0.0019,0.267605634
Vulpia bromoides,4,15/10/2005,66,0.0027,2.55,0.095,13.52,15022.22222,53.728,0.0009,0.333333333
Vulpia bromoides,5,17/10/2005,88,0.0019,3.5,0.069,16.373,27288.33333,74.613,0.0006,0.315789474
Wahlenbergia communis,1,13/10/2005,55,0.0248,4.5,0.329,101.55,18805.55556,88.805,0.0054,0.217741935
Wahlenbergia communis,2,13/10/2005,48,0.017,4.4,0.19,79.469,24834.0625,96.807,0.0032,0.188235294
Wahlenbergia communis,3,17/10/2005,79,0.0304,4,0.376,121.23,20547.45763,86.605,0.0059,0.194078947
Wurmbia dioica,1,20/09/2005,,0.0403,8.5,0.6,139,18783.78378,187.43,0.0074,0.183622829
Wurmbia dioica,2,21/09/2005,,0.0471,7.4,0.8,162.43,19569.87952,165.26,0.0083,0.176220807
Wurmbia dioica,3,21/09/2005,,0.0424,7.8,0.7,146.77,18346.25,172.24,0.008,0.188679245
