name_original,Wood density (g/cm^3),metadata_id,primary_source_id
Acacia leucophloea,0.45,52,50
Eucalyptus camaldulensis,0.48,52,50
Eucalyptus camaldulensis,0.91,52,50
Eucalyptus citriodora,0.81,52,50
Eucalyptus deglupta,0.3,52,50
Eucalyptus deglupta,0.44,52,50
Eucalyptus globulus,0.52,52,50
Eucalyptus nitens,0.57,52,50
Eucalyptus pellita,0.53,52,50
Eucalyptus pellita,0.76,52,50
Eucalyptus pellita,0.63,52,50
Eucalyptus robusta,0.69,52,50
Eucalyptus robusta,0.61,52,50
Eucalyptus saligna,0.68,52,50
Eucalyptus saligna,0.86,52,50
Eucalyptus tereticornis,0.56,52,50
Eucalyptus tereticornis,0.85,52,50
Eucalyptus tereticornis,0.97,52,50
Eucalyptus torelliana,0.69,52,50
Eucalyptus urophylla,0.41,52,50
Eucalyptus urophylla,0.55,52,50
Toona ciliata,0.33,52,50
Acacia mangium,0.55,52,50
Acacia mearnsii,0.65,52,50
Casuarina cunninghamiana,0.71,52,50
Acacia nilotica,0.654,52,50
Acacia mearnsii,0.658,52,50
