Species_reconciled with updates and additions,growth form,seed size categorical: <10mm,seed size categorical: >10mm,leaf type,leaves lobed,leaf longevity,wood density species,wood density genus,wood density family,Height (m),leaf length minimum (mm),leaf length maximum (mm),leaf width minimum (mm),leaf width maximum (mm),seed length minimum (mm),seed length maximum (mm),seed width minimum (mm),seed width maximum (mm),seed breadth (mm),plant_height_duplicate,wood_density_duplicate,seed_width_min_duplicate,seed_width_max_duplicate,seed_length_min_duplicate,seed_length_max_duplicate,leaf_width_min_duplicate,leaf_width_max_duplicate,leaf_length_min_duplicate,leaf_length_max_duplicate
Dicliptera spicata,shrub,1,0,simple,no,evergreen,NA,NA,NA,1,15,80,5,30,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dipteracanthus australasicus,shrub,1,1,simple,no,evergreen,NA,NA,NA,1.5,8,25,5,20,1,2,1,1,NA,Duplicate of WAH_1998_1800,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graptophyllum excelsum,shrub,1,0,simple,no,evergreen,NA,NA,NA,3,8,35,5,15,3,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graptophyllum ilicifolium,shrub,0,1,simple,no,evergreen,NA,NA,NA,10,10,115,7,55,2,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graptophyllum reticulatum,shrub,0,1,simple,no,evergreen,NA,NA,NA,3,20,105,12,50,2,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graptophyllum spinigerum,shrub,1,0,simple,no,evergreen,NA,NA,NA,8,10,80,7,40,3,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harnieria hygrophiloides,shrub,1,0,simple,no,evergreen,NA,NA,NA,2,25,115,10,30,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemigraphis royenii,shrub,1,0,simple,no,evergreen,NA,NA,NA,0.5,20,100,20,40,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypoestes floribunda,shrub,1,0,simple,no,evergreen,NA,NA,NA,1.2,20,110,8,50,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Brock_1993_191,NA
Rhaphidospora cavernarum,shrub,1,0,simple,no,evergreen,NA,NA,NA,1,60,240,25,100,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
