name_original,raw_trait_value,units,trait,primary_source_id,metadata_id
Acacia acinacea,9.47,mm2 mg,SLA,4,7
Acacia acuminata,4.88,mm2 mg,SLA,4,7
Acacia adunca,5.34,mm2 mg,SLA,4,7
Acacia alata,10.88,mm2 mg,SLA,4,7
Acacia argyrophylla,6.76,mm2 mg,SLA,4,7
Acacia auriculiformis,7.17,mm2 mg,SLA,4,7
Acacia baileyana,8.17,mm2 mg,SLA,4,7
Acacia beckleri,2.86,mm2 mg,SLA,4,7
Acacia brachybotrya,8.57,mm2 mg,SLA,4,7
Acacia brachystachya,3.74,mm2 mg,SLA,4,7
Acacia caesiella,9.17,mm2 mg,SLA,4,7
Acacia calamifolia,4.05,mm2 mg,SLA,4,7
Acacia cambagei,3.05,mm2 mg,SLA,4,7
Acacia cardiophylla,9.62,mm2 mg,SLA,4,7
Acacia cognata,11.58,mm2 mg,SLA,4,7
Acacia cultriformis,7.13,mm2 mg,SLA,4,7
Acacia cyclops,4.69,mm2 mg,SLA,4,7
Acacia deanei,7.02,mm2 mg,SLA,4,7
Acacia decora,10.51,mm2 mg,SLA,4,7
Acacia difformis,9.99,mm2 mg,SLA,4,7
Acacia elata,7.02,mm2 mg,SLA,4,7
Acacia elongata,5.98,mm2 mg,SLA,4,7
Acacia extensa,4.75,mm2 mg,SLA,4,7
Acacia fimbriata,8.88,mm2 mg,SLA,4,7
Acacia flexifolia,5.05,mm2 mg,SLA,4,7
Acacia floribunda,7.63,mm2 mg,SLA,4,7
Acacia genistifolia,3.18,mm2 mg,SLA,4,7
Acacia hakeoides,3.9,mm2 mg,SLA,4,7
Acacia hemiteles,5.38,mm2 mg,SLA,4,7
Acacia howittii,13.38,mm2 mg,SLA,4,7
Acacia imbricata,10.96,mm2 mg,SLA,4,7
Acacia implexa,6.22,mm2 mg,SLA,4,7
Acacia irrorata,5.74,mm2 mg,SLA,4,7
Acacia iteaphylla,6.07,mm2 mg,SLA,4,7
Acacia ixiophylla,7.87,mm2 mg,SLA,4,7
Acacia jibberdingensis,3.29,mm2 mg,SLA,4,7
Acacia jonesii,4.43,mm2 mg,SLA,4,7
Acacia lanigera,6.8,mm2 mg,SLA,4,7
Acacia lasiocalyx,6.78,mm2 mg,SLA,4,7
Acacia leiophylla,8.19,mm2 mg,SLA,4,7
Acacia lineata,8.55,mm2 mg,SLA,4,7
Acacia longifolia,9.48,mm2 mg,SLA,4,7
Acacia macradenia,6.68,mm2 mg,SLA,4,7
Acacia mangium,9.76,mm2 mg,SLA,4,7
Acacia melanoxylon,6.44,mm2 mg,SLA,4,7
Acacia microcarpa,4.95,mm2 mg,SLA,4,7
Acacia montana,6.83,mm2 mg,SLA,4,7
Acacia mucronata,5.69,mm2 mg,SLA,4,7
Acacia myrtifolia,7.96,mm2 mg,SLA,4,7
Acacia neriifolia,7.63,mm2 mg,SLA,4,7
Acacia paradoxa,11.27,mm2 mg,SLA,4,7
Acacia pendula,5.65,mm2 mg,SLA,4,7
Acacia penninervis,6.88,mm2 mg,SLA,4,7
Acacia podalyriifolia,12.32,mm2 mg,SLA,4,7
Acacia pravissima,7.37,mm2 mg,SLA,4,7
Acacia prominens,10.67,mm2 mg,SLA,4,7
Acacia pycnantha,6.77,mm2 mg,SLA,4,7
Acacia quornensis,7.28,mm2 mg,SLA,4,7
Acacia ramulosa,2.34,mm2 mg,SLA,4,7
Acacia retinodes,9.63,mm2 mg,SLA,4,7
Acacia rigens,3.14,mm2 mg,SLA,4,7
Acacia rupicola,5.13,mm2 mg,SLA,4,7
Acacia saliciformis,8.58,mm2 mg,SLA,4,7
Acacia salicina,6.36,mm2 mg,SLA,4,7
Acacia schinoides,8.52,mm2 mg,SLA,4,7
Acacia spectabilis,11.09,mm2 mg,SLA,4,7
Acacia stenophylla,2.47,mm2 mg,SLA,4,7
Acacia stricta,8.84,mm2 mg,SLA,4,7
Acacia suaveolens,6.91,mm2 mg,SLA,4,7
Acacia subporosa,11.12,mm2 mg,SLA,4,7
Acacia subulata,6.23,mm2 mg,SLA,4,7
Acacia terminalis,11.59,mm2 mg,SLA,4,7
Acacia tetragonophylla,3.62,mm2 mg,SLA,4,7
Acacia ulicifolia,5.86,mm2 mg,SLA,4,7
Acacia uncinata,6.98,mm2 mg,SLA,4,7
Acacia undulifolia,8.09,mm2 mg,SLA,4,7
Acacia verniciflua,10.02,mm2 mg,SLA,4,7
Acacia verticillata,8.17,mm2 mg,SLA,4,7
Acacia vestita,8.15,mm2 mg,SLA,4,7
Acacia victoriae,6.39,mm2 mg,SLA,4,7
Acacia viscidula,8.19,mm2 mg,SLA,4,7
