var_name,trait_name,unit
photosynthetic pathway,photosynthetic_pathway,
LMA (g m-2),specific_leaf_area,g/m2
Leaf [N] (mmol g-1),leaf_N_per_dry_mass,mmolN/g
Cell wall fraction,leaf_cell_wall_fraction,NA
Cell wall nitrogen concentration (mmol g-1),leaf_cell_wall_N,mmol/g
Cell wall N fraction,leaf_cell_wall_N_fraction,dimensionless
Thickness (mm),leaf_thickness,mm
Water content (mol m-2),leaf_water_content_per_area,molH2O/m2
Asat (mmol m-2 s-1),NA,NA
A300 (Asat adjusted to Ci=300 mmol mol-1),NA,NA
A300/Na  PNUE (mmol (mol N)-1 s-1),NA,NA
Ci (mmol mol-1),NA,NA
Ci/Ca,NA,NA
Ci/Ca s.e.,NA,NA
Tleaf (oC),NA,NA
Fraction of leaf N in Rubisco,NA,NA
D (%),NA,NA
