species,longevity,growth form,min height (m),max height (m),leaf shape,leaf length min (mm),leaf length max (mm),leaf width min (mm),leaf width max (mm),seed min length (mm),seed max length (mm),seed min width (mm),seed max width (mm),flowering month begin,flowering month end
Astus duomilius,p,s,,,obovate,3,3.5,0.6,0.7,1.4,1.5,0.6,0.7,,
Astus subroseus,p,s,0.3,1.2,obovate,1,2,0.8,1.2,1.3,1.3,0.8,0.8,8,10
Astus tetragonus,p,s,0.3,1.5,obovate,1.3,3.2,1,1.3,1.2,1.2,0.6,0.6,8,11
Astus wittweri,p,s,0.5,2,obovate,2.2,4.2,1.2,1.6,1.2,1.6,0.5,0.5,8,11
