species,site,max_plant_height_cm,growth form,Fire response
Aristida jerichoensis var subspinulifera,Whooey Tank,36,grass,resprouts
Atriplex semibaccata,Booberoi,24,subshrub,fire_killed
Atriplex stipitata,Whooey Tank,73,subshrub,fire_killed
Beyeria opaca,Bay Area,120,shrub,fire_killed
Bossiaea walkeri,Mallee 1,207,shrub,resprouts
Callitris glaucophylla,Whooey Tank,1358,tree,fire_killed
Calotis cuneifolia,Whooey Tank,23,forb,fire_killed
Calotis lappulacea,Whooey Tank,31,forb,resprouts
Cassinia laevis,Mallee 2,302,shrub,fire_killed
Cheilanthes tenuifolia,Booberoi,23,fern,fire_killed
Chenopodium desertorum,Whooey Tank,21,subshrub,fire_killed
Chenopodium desertorum microphyllum,Whooey Tank,4,subshrub,fire_killed
Chrysocephalum semipapposum,Hill,65,forb,resprouts
Danthonia caespitosa,Booberoi,31,grass,resprouts
Digitaria coenicola,Booberoi,50,grass,resprouts
Digitaria divaricatissima,Round Hill,33,grass,resprouts
Dodonaea viscosa angustissima,Round Hill Camp,373,shrub,fire_killed
Dodonaea viscosa cuneata,Birdos,227,shrub,fire_killed
Dodonaea viscosa spatulata,Round Hill Camp,417,shrub,fire_killed
Einadia nutans,Whooey Tank,17,subshrub,fire_killed
Enchylaena tomentosa,Whooey Tank,24,subshrub,fire_killed
Enteropogon acicularis,Booberoi,32,grass,resprouts
Eremophila glabra,Birdos,163,shrub,resprouts
Eremophila longifolia,Whooey Tank,585,shrub,resprouts
Eutaxia microphylla,Bay Area,71,shrub,resprouts
Gonocarpus elatus,Micromyrtus,22,forb,resprouts
Grevillea anethifolia,Lake Road,43,shrub,fire_killed
Hakea tephrosperma,Whooey Tank,1079,shrub,fire_killed
Lomandra leucocephala subsp robusta,Mallee 1,58,graminoid,resprouts
Micromyrtus sessilis,Micromyrtus,142,shrub,fire_killed
Minuria leptophylla,Whooey Tank,13,forb,resprouts
Olearia pimeleoides,Mallee 2,99,shrub,fire_killed
Panicum queenslandicum var queenslandicum,Booberoi,37,grass,fire_killed
Paspalidium constrictum,Booberoi,32,grass,resprouts
Pimelea microcephala,Birdos,193,shrub,fire_killed
Rhagodia spinescens,Booberoi,139,subshrub,fire_killed
Sclerolaena diacantha,Whooey Tank,17,subshrub,fire_killed
Senna artemisioides,Birdos,212,shrub,fire_killed
Sida cunninghamii,Whooey Tank,12,forb,resprouts
Solanum ellipticum,Whooey Tank,28,forb,resprouts
Solanum ferocissimum,Hill,108,forb,fire_killed
Spartothamnella puberula,Birdos,63,shrub,resprouts
Themeda triandra,Booberoi,108,grass,resprouts
Thyridolepis mitchelliana,Whooey Tank,14,grass,resprouts
Vittadinia cuneata,Whooey Tank,20,forb,fire_killed
Vittadinia triloba,Mallee 2,32,forb,fire_killed
Aristida contorta,Sturt National Park,NA,grass,
Enneapogon avenaceus,Sturt National Park,NA,grass,
Eragrostis eriopoda,Sturt National Park,NA,grass,
Chloris truncata,Trangie,30.7,grass,
Chloris ventricosa,Trangie,65,grass,
Danthonia pilosa,Trangie,50,grass,
Digitaria ammophila,Trangie,NA,grass,
Digitaria brownii,Trangie,36,grass,
Enneapogon flavescens,Trangie,45,grass,
Eragrostis cilianensis,Trangie,NA,grass,
Eragrostis lacunaria,Trangie,59,grass,
Erodium cygnorum,Trangie,60,forb,
Hordeum leporinum,Trangie,30,grass,
Panicum effusum,Trangie,NA,grass,
Sporobolus caroli,Trangie,47.5,grass,
Stipa aristiglumis,Trangie,100,grass,
Stipa bigeniculata,Trangie,NA,grass,
Stipa elegantissima,Trangie,NA,grass,
Stipa falcata,Trangie,60,grass,
Stipa setacea,Trangie,45,grass,
Vulpia bromoides,Trangie,32.5,grass,
Monachather paradoxa,Condobolin,NA,grass,
Stipa variabilis,Condobolin,NA,grass,
