site,latitude (deg),longitude (deg),description,vegetation,site name long
Bay Area,-32.997,146.162,"Round Hill Nature reserve, NSW",open Callitris glaucophylla -Eucalyptus populnea woodland,"Bay Area, Round Hill Nature reserve, NSW"
Birdos,-32.969,146.16,"Round Hill Nature reserve, NSW",open Callitris glaucophylla -Eucalyptus populnea woodland,"Birdos Round Hill Nature reserve, NSW"
Booberoi,-33.025,146.511,"Booberoi Regeneration area, Euabolong NSW",open Callitris glaucophylla -Eucalyptus populnea woodland,"Booberoi Regeneration area, Euabolong NSW"
Hill,-32.97,146.156,"Round Hill Nature reserve, NSW",open Callitris glaucophylla -Eucalyptus populnea woodland,"Hill, Round Hill Nature reserve, NSW"
Lake Road,-32.999,146.166,"Round Hill Nature reserve, NSW",Eucalyptus dumosa -E. socialis shrub mallee woodland,"Lake Road, Round Hill Nature reserve, NSW"
Mallee 1,-32.976,146.149,"Round Hill Nature reserve, NSW",Eucalyptus dumosa -E. socialis shrub mallee woodland,"Mallee 1, Round Hill Nature reserve, NSW"
Mallee 2,-32.976,146.193,"Round Hill Nature reserve, NSW",Eucalyptus dumosa -E. socialis shrub mallee woodland,"Mallee 2, Round Hill Nature reserve, NSW"
Micromyrtus,-32.974,146.15,"Round Hill Nature reserve, NSW",open Callitris glaucophylla -Eucalyptus populnea woodland,"Micromyrtus, Round Hill Nature reserve, NSW"
Round Hill Camp,-32.973,146.155,"Round Hill Nature reserve, NSW",open Callitris glaucophylla -Eucalyptus populnea woodland,"Round Hill Camp, Round Hill Nature reserve, NSW"
Whooey Tank,-32.962,146.158,"Round Hill Nature reserve, NSW",open Callitris glaucophylla -Eucalyptus populnea woodland,"Whooey Tank, Round Hill Nature reserve, NSW"
Trangie,-32,147.96,Trangie Agricultural Research Centre and vicinity. Derived grasslands in Eucalyptus populnea-Callitris galucophylla woodland,Derived grasslands in Eucalyptus populnea-Callitris galucophylla woodland,Trangie Agricultural research Centre
Trangie Cemetery,-32.035,147.96,Trangie cemetery reserve. No grazing.,Derived grasslands in Eucalyptus populnea-Callitris galucophylla woodland,Trangie Cemetery
Trangie Paddock,-32,147.96,Trangie Agricultural Research Centre and vicinity. Derived grasslands in Eucalyptus populnea-Callitris galucophylla woodland,Derived grasslands in Eucalyptus populnea-Callitris galucophylla woodland,Trangie Paddock
Trangie Cemetery Lawn,-32.035,147.96,Trangie Agricultural Research Centre and vicinity. Derived grasslands in Eucalyptus populnea-Callitris galucophylla woodland,Derived grasslands in Eucalyptus populnea-Callitris galucophylla woodland,Trangie Cemetery Lawn
Trangie Roadside,-32,147.96,Trangie Agricultural Research Centre and vicinity. Derived grasslands in Eucalyptus populnea-Callitris galucophylla woodland,Derived grasslands in Eucalyptus populnea-Callitris galucophylla woodland,Trangie Roadside
Sturt National Park,-29.23,141.59,"Sturt NP, Mulga (Acacia aneura)  shrublands in Sturt NP, Cameron Corner Road.",Mulga (Acacia aneura)  shrublands,Sturt National Park
Barrier Hwy 2,-31.52,145.52,Barrier Hwy west of Cobar in Mulga (Acacia aneura) woodland,Mulga (Acacia aneura)  shrublands,"Barrier Hwy 2, Cobar"
Barrier Hwy 1,-31.58,145.06,Barrier Hwy west of Cobar in Callitris glaucophylla/Eucalyptus populnea woodland,Callitris glaucophylla/Eucalyptus populnea woodland,"Barrier Hwy 1, Cobar"
