Species,longevity,Regeneration strategy,Root structure,N_fixer
Acacia alata,Perennial,Seed,Arbuscular mycorrhizal,yes
Acacia applanata,Perennial,Seed,Arbuscular mycorrhizal,yes
Acacia browniana,Perennial,Seed,Arbuscular mycorrhizal,yes
Acacia divergens,Perennial,Seed,Arbuscular mycorrhizal,yes
Acacia drummondii,Perennial,Seed,Arbuscular mycorrhizal,yes
Acacia extensa,Perennial,Seed,Arbuscular mycorrhizal,yes
Acacia myrtifolia,Perennial,Seed,Arbuscular mycorrhizal,yes
Acacia pentadenia,Perennial,Seed,Arbuscular mycorrhizal,yes
Acacia pulchella,Perennial,Seed,Arbuscular mycorrhizal,yes
Bossiaea linophylla,Perennial,Seed,Arbuscular mycorrhizal,yes
Bossiaea ornata,Perennial,Woody rootstock,Arbuscular mycorrhizal,yes
Chorizema rhombeum,Perennial,Seed,Arbuscular mycorrhizal,yes
Daviesia cordata,Perennial,Woody rootstock,Proteoid root,yes
Daviesia incrassata,Perennial,Seed,Arbuscular mycorrhizal,yes
Daviesia preissii,Perennial,Seed,Arbuscular mycorrhizal,yes
Gompholobium confertum,Perennial,Seed,Ectomycorrhizal,yes
Gompholobium knightianum,Perennial,Seed,Ectomycorrhizal,yes
Gompholobium marginatum,Perennial,Seed,Ectomycorrhizal,yes
Gompholobium ovatum,Perennial,Seed,Ectomycorrhizal,yes
Gompholobium polymorphum,Perennial,Seed,Ectomycorrhizal,yes
Gompholobium preissii,Perennial,Seed,Ectomycorrhizal,yes
Hovea chorizemifolia,Perennial,Woody rootstock,Arbuscular mycorrhizal,yes
Hovea elliptica,Perennial,Woody rootstock,Arbuscular mycorrhizal,yes
Kennedia coccinea,Perennial,Seed,Proteoid root,yes
Macrozamia riedlei,Perennial,Fleshy organ,Arbuscular mycorrhizal,yes
Mirbelia dilatata,Perennial,Seed,Ectomycorrhizal,yes
Pultenaea reticulata,Perennial,Seed,Arbuscular mycorrhizal,yes
Sphaerolobium alatum,Perennial,Woody rootstock,Arbuscular mycorrhizal,yes
Sphaerolobium fornicatum,Perennial,Woody rootstock,Arbuscular mycorrhizal,yes
Sphaerolobium grandiflorum,Perennial,Woody rootstock,Arbuscular mycorrhizal,yes
Sphaerolobium medium,Perennial,Woody rootstock,Arbuscular mycorrhizal,yes
Agonis theiformis,Perennial,Seed,Arbuscular mycorrhizal,no
Amphipogon amphipogonoides,Perennial,Fleshy organ,Arbuscular mycorrhizal,no
Anarthria prolifera,Perennial,Fleshy organ,Other non-mycorrhizal,no
Anarthria scabra,Perennial,Fleshy organ,Other non-mycorrhizal,no
Andersonia caerulea,Perennial,Seed,Ericoid mycorrhizal,no
Astroloma drummondii,Perennial,Woody rootstock,Ericoid mycorrhizal,no
Astroloma pallidum,Perennial,Woody rootstock,Ericoid mycorrhizal,no
Astroloma sp. unknown,Perennial,Woody rootstock,Ericoid mycorrhizal,no
Banksia dallanneyi,Perennial,Woody rootstock,Proteoid root,no
Banksia formosa,Perennial,Seed,Proteoid root,no
Banksia grandis,Perennial,Woody rootstock,Proteoid root,no
Banksia sphaerocarpa,Perennial,Woody rootstock,Proteoid root,no
Billardiera drummondii,Perennial,Seed,Arbuscular mycorrhizal,no
Billardiera variifolia,Perennial,Seed,Arbuscular mycorrhizal,no
Boronia crenulata,Perennial,Woody rootstock,Arbuscular mycorrhizal,no
Boronia gracilipes,Perennial,Seed,Arbuscular mycorrhizal,no
Boronia spathulata,Perennial,Woody rootstock,Arbuscular mycorrhizal,no
Caladenia brownii,Perennial,Fleshy organ,Orchid mycorrhizal,no
Caladenia flava,Perennial,Fleshy organ,Orchid mycorrhizal,no
Caladenia macrostylis,Perennial,Fleshy organ,Orchid mycorrhizal,no
Caladenia magniclavata,Perennial,Fleshy organ,Orchid mycorrhizal,no
Caladenia reptans,Perennial,Fleshy organ,Orchid mycorrhizal,no
Caladenia sp. unknown,Perennial,Fleshy organ,Orchid mycorrhizal,no
Cassytha racemosa,Perennial,Seed,Other non-mycorrhizal,no
Chamaescilla corymbosa,Perennial,Fleshy organ,Arbuscular mycorrhizal,no
Comesperma virgatum,Perennial,Seed,Arbuscular mycorrhizal,no
Comesperma volubile,Perennial,Seed,Arbuscular mycorrhizal,no
Conospermum caeruleum,Perennial,Seed,Proteoid root,no
Conospermum capitatum,Perennial,Woody rootstock,Proteoid root,no
Conostylis setigera,Perennial,Fleshy organ,Other non-mycorrhizal,no
Conostylis sp. unknown,Perennial,Fleshy organ,Other non-mycorrhizal,no
Corymbia calophylla,Perennial,Seed,Ectomycorrhizal,no
Crowea angustifolia,Perennial,Woody rootstock,Arbuscular mycorrhizal,no
Cyathochaeta avenacea,Perennial,Fleshy organ,Other non-mycorrhizal,no
Cyrtostylis huegelii,Perennial,Fleshy organ,Orchid mycorrhizal,no
