Species,location_name,mean_trunk_diameter,mean_trunk_diameter_SE,mean_sapwood_area,mean_sapwood_area_SE,sapwood_area_trunk_cross_sectional_area,sapwood_area_trunk_cross_sectional_area_SE,sapwood_density,sapwood_density_SE,bark_thickness,bark_thickness_SE
Eucalyptus camaldulensis,"Reef Hills State Park, clay-zone",0.51,0.15,0.023,0,0.12,0.04,0.68,0.16,12.5,0.3
Eucalyptus microcarpa,"Reef Hills State Park, clay-zone",0.44,0.14,0.014,0.002,0.09,0.03,0.98,0.17,6.7,0.1
Eucalyptus camaldulensis,"Reef Hills State Park, sand-zone",0.34,0.02,0.016,0,0.18,0.01,0.58,0.09,8.9,0.1
Eucalyptus microcarpa,"Reef Hills State Park, sand-zone",0.32,0.15,0.011,0.002,0.14,0.02,0.68,0.05,6.5,0.1
