genus_root,taxon_name,text,life_history_a,life_history_f,parasitic_a,parasitic_f,plant_growth_form_a,plant_growth_form_f,plant_growth_substrate_a,plant_growth_substrate_f,sex_type_a,sex_type_f,stem_growth_habit_a,stem_growth_habit_f,woodiness_a,woodiness_f,authors
Abelmoschus,Abelmoschus,"herbs or subshrubs,",NA,NA,NA,NA,herb subshrub,herbs subshrubs,NA,NA,NA,NA,NA,NA,herbaceous,NA,NA
Abelmoschus,Abelmoschus ficulneus,"erect annual shrub to 2 m tall; vegetative parts with sparse, simple, strigose and 2- or 3-armed,",annual,annual,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,"Cowie, I.D., Kerrigan, R.A., Dixon, D.J. & Barker, R.M. (2013). Malvaceae. In Short, P.S. & Cowie, I.D. (eds), Flora of the Darwin Region. (Northern Territory Herbarium, Department of Land Resource Management). Vol. 1, p. 2."
Abelmoschus,Abelmoschus manihot,erect perennial shrub to 4 m tall;,perennial,perennial,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,"Cowie, I.D., Kerrigan, R.A., Dixon, D.J. & Barker, R.M. (2013). Malvaceae. In Short, P.S. & Cowie, I.D. (eds), Flora of the Darwin Region. (Northern Territory Herbarium, Department of Land Resource Management). Vol. 1, p. 3."
Abelmoschus,Abelmoschus moschatus,"decumbent or erect shrub to 1.5 m tall, , root perennial, tuberous;",perennial,perennial,NA,NA,shrub,shrub,NA,NA,NA,NA,erect decumbent,erect decumbent,woody,NA,"Cowie, I.D., Kerrigan, R.A., Dixon, D.J. & Barker, R.M. (2013). Malvaceae. In Short, P.S. & Cowie, I.D. (eds), Flora of the Darwin Region. (Northern Territory Herbarium, Department of Land Resource Management). Vol. 1, pp. 3-4."
Abelmoschus,Abelmoschus moschatus,"decumbent or erect shrub to 1.5 m tall, , root perennial, tuberous;",perennial,perennial,NA,NA,shrub,shrub,NA,NA,NA,NA,erect decumbent,erect decumbent,woody,NA,"Cowie, I.D., Kerrigan, R.A., Dixon, D.J. & Barker, R.M. (2013). Malvaceae. In Short, P.S. & Cowie, I.D. (eds), Flora of the Darwin Region. (Northern Territory Herbarium, Department of Land Resource Management). Vol. 1, pp. 3-4."
Abrodictyum,Abrodictyum obscurum,Plants terrestrial;,NA,NA,NA,NA,NA,NA,terrestrial,terrestrial,NA,NA,NA,NA,NA,NA,"Short, P., Dixon, D. and Osterkamp Madsen, M. 2003, A review of ferns and fern allies of the Northern Territory, The Beagle, Records of the Museums and Art Galleries of the Northern Territory, vol. 19, pp. 20-21."
Abrus,Abrus precatorius,a deciduous perennial vine with twining stems.,perennial,perennial,NA,NA,climber_herbaceous,vine,NA,NA,NA,NA,NA,NA,herbaceous,NA,NA
Abutilon,Abutilon,"annual or perennial herbs or shrubs,",annual perennial,annual perennial,NA,NA,herb shrub,herbs shrubs,NA,NA,NA,NA,NA,NA,woody herbaceous,NA,Borssum Waalkes (1966).
Abutilon,Abutilon cryptopetalum,"erect, straggly perennial herb or subshrub to about 1 m high.",perennial,perennial,NA,NA,herb subshrub,herb subshrub,NA,NA,NA,NA,erect,erect,herbaceous,NA,"Flora of Central Australia, 1981"
Abutilon,Abutilon indicum,"woody perennial shrub, 1-2.5 m tall;",perennial,perennial,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Cowie, I.D., Kerrigan, R.A., Dixon, D.J. & Barker, R.M. (2013). Malvaceae. In Short, P.S. & Cowie, I.D. (eds), Flora of the Darwin Region. (Northern Territory Herbarium, Department of Land Resource Management). Vol. 1, p. 6."
Abutilon,Abutilon lepidum,erect herb or subshrub to 1.5 m high.,NA,NA,NA,NA,herb subshrub,herb subshrub,NA,NA,NA,NA,erect,erect,herbaceous,NA,"Flora of Central Australia, 1981"
Abutilon,Abutilon leucopetalum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flora of Central Australia, 1981"
Abutilon,Abutilon macrum,erect few-stemmed perennial herb or subshrub usually less than 60 cm high but occasionally to 1 m high.,perennial,perennial,NA,NA,herb subshrub,herb subshrub,NA,NA,NA,NA,erect,erect,herbaceous,NA,"Flora of Central Australia, 1981"
Abutilon,Abutilon malvifolium,prostrate or spreading (rarely erect) /shortlivedperennial herb or subshrub to about 30 cm high.,short_lived_perennial,shortlivedperennial,NA,NA,herb subshrub,herb subshrub,NA,NA,NA,NA,erect prostrate spreading,erect prostrate spreading,herbaceous,NA,"Flora of Central Australia, 1981"
Abutilon,Abutilon otocarpum,a highly variable -lived perennial herb or subshrub to 1.5 m high but plants occurring in the bioregion are typically less than 70 cm high.,perennial,perennial,NA,NA,herb subshrub,herb subshrub,NA,NA,NA,NA,NA,NA,herbaceous,NA,"Flora of Central Australia, 1981"
Abutilon,Abutilon theophrasti,robust herb/soft shrub to about 1.2 m high.,NA,NA,NA,NA,herb shrub,herb shrub,NA,NA,NA,NA,NA,NA,woody herbaceous,NA,NA
Abutilon,Abutilon hannii,"perennial herb or shrub, when prostrate up to 3 m wide, when upright, 1-3 m tall;",perennial,perennial,NA,NA,herb shrub,herb shrub,NA,NA,NA,NA,prostrate,prostrate,woody herbaceous,NA,NA
Abutilon,Abutilon hannii,"perennial herb or shrub, when prostrate up to 3 m wide, when upright, 1-3 m tall;",perennial,perennial,NA,NA,herb shrub,herb shrub,NA,NA,NA,NA,prostrate,prostrate,woody herbaceous,NA,NA
Abutilon,Abutilon sp. Mataranka,upright annual to 70 cm tall;,annual,annual,NA,NA,herb,inferred_from_life_history,NA,NA,NA,NA,NA,NA,herbaceous,NA,"Cowie, I.D., Kerrigan, R.A., Dixon, D.J. & Barker, R.M. (2013). Malvaceae. In Short, P.S. & Cowie, I.D. (eds), Flora of the Darwin Region. (Northern Territory Herbarium, Department of Land Resource Management). Vol. 1, pp. 7-8."
Abutilon,Abutilon fraseri,spreading to erect perennial herb or subshrub rarely exceeding 50 cm high.,perennial,perennial,NA,NA,herb subshrub,herb subshrub,NA,NA,NA,NA,erect spreading,erect spreading,herbaceous,NA,"Flora of Central Australia, 1981; Flora of Central Australia, 1981"
Acacia,Acacia,"trees or shrubs, sometimes spiny.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia sp. Krichauff Range,acacia sp. krichauff range is a spindly usually single-stemmed shrub or small tree 2-10 m high.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,spindly,spindly,woody,NA,"Southern Region Checklist, 2007"
Acacia,Acacia abrupta,a distinctive shrub to about 2 m high of sandy sites in the far south-west.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia acradenia,"shrub to 3 m, or rarely 6 m high.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Flora of Central Australia, 1981"
