Campaign,Date,Year,Ring,CO2.treat,Tree,Age,LeafAge (days),LMA (g m-2),NP (g N g-1 P),CP (g Carbon g-1 P),CN (g C g-1 N),Nm (mg g-1),Pm (mg g-1),Na ( g m-2),Pa (g m-2),P_litter,N_litter,NP_litter,CP_litter,CN_litter,P_wood,N_wood,C_wood,NP_wood,CP_wood,CN_wood,Perc.P.std.error,Perc.N.std.error,Perc.C.std.error,NP.std.error,CP.std.error,CN.std.error,context,site_name,species_name
15-Apr,14/04/2015,2015,3,Amb,301,old,93,166.489216,21.55,645.85,30.05,17.023,0.792002,2.8345,0.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,old _leaves_measured_on_plants_in_ Amb _CO2_treatment,EucFACE,Eucalyptus tereticornis
15-Apr,14/04/2015,2015,3,Amb,302,old,93,207.587956,20.7,741.25,35.85,12.8875,0.623022,2.6855,0.1295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,old _leaves_measured_on_plants_in_ Amb _CO2_treatment,EucFACE,Eucalyptus tereticornis
15-Apr,14/04/2015,2015,3,Amb,311,old,93,224.713191,19.9,756.4,38.1,13.6,0.684692,3.056,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,old _leaves_measured_on_plants_in_ Amb _CO2_treatment,EucFACE,Eucalyptus tereticornis
15-Apr,14/04/2015,2015,3,Amb,320,old,93,215.925723,23.1,767.9,33.2,15.453,0.669008,3.336,0.1445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,old _leaves_measured_on_plants_in_ Amb _CO2_treatment,EucFACE,Eucalyptus tereticornis
15-Apr,14/04/2015,2015,3,Amb,321,old,93,210.495932,21.2,644.7,30.4,16.469,0.776988,3.467,0.164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,old _leaves_measured_on_plants_in_ Amb _CO2_treatment,EucFACE,Eucalyptus tereticornis
15-Apr,14/04/2015,2015,4,Elev,403,old,93,231.039262,22.9,851.4,37.25,13.6705,0.59814,3.1595,0.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,old _leaves_measured_on_plants_in_ Elev _CO2_treatment,EucFACE,Eucalyptus tereticornis
15-Apr,14/04/2015,2015,4,Elev,408,old,93,194.226968,22.3,751.7,33.9,14.7225,0.660919,2.8685,0.1285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,old _leaves_measured_on_plants_in_ Elev _CO2_treatment,EucFACE,Eucalyptus tereticornis
15-Apr,14/04/2015,2015,4,Elev,414,old,93,243.738255,22.7,773.1,34.1,14.855,0.654781,3.621,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,old _leaves_measured_on_plants_in_ Elev _CO2_treatment,EucFACE,Eucalyptus tereticornis
15-Apr,14/04/2015,2015,4,Elev,422,old,93,226.934513,18.5,612.6,33,15.3105,0.83311,3.4685,0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,old _leaves_measured_on_plants_in_ Elev _CO2_treatment,EucFACE,Eucalyptus tereticornis
15-Apr,15/04/2015,2015,1,Elev,111,old,93,216.708494,23.9,795.6,33.3,15.384,0.643733,3.334,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,old _leaves_measured_on_plants_in_ Elev _CO2_treatment,EucFACE,Eucalyptus tereticornis
15-Apr,15/04/2015,2015,1,Elev,116,old,93,256.002711,21.15,886.2,41.85,11.826,0.55958,3.027,0.1435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,old _leaves_measured_on_plants_in_ Elev _CO2_treatment,EucFACE,Eucalyptus tereticornis
15-Apr,15/04/2015,2015,1,Elev,117,old,93,232.346488,21.7,875.55,40.55,12.8035,0.587968,2.927,0.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,old _leaves_measured_on_plants_in_ Elev _CO2_treatment,EucFACE,Eucalyptus tereticornis
15-Apr,15/04/2015,2015,1,Elev,122,old,93,217.168808,21.3,744.6,34.8,14.3335,0.676761,3.0975,0.146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,old _leaves_measured_on_plants_in_ Elev _CO2_treatment,EucFACE,Eucalyptus tereticornis
15-Apr,15/04/2015,2015,2,Amb,201,old,93,178.452096,23.7,750.2,31.6,16.042,0.676284,2.863,0.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,old _leaves_measured_on_plants_in_ Amb _CO2_treatment,EucFACE,Eucalyptus tereticornis
15-Apr,15/04/2015,2015,2,Amb,202,old,93,201.849338,21,667,31.65,16.03,0.76567,3.242,0.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,old _leaves_measured_on_plants_in_ Amb _CO2_treatment,EucFACE,Eucalyptus tereticornis
