current full name without authority,Endemicity_level,Growth Form,Raunkier_life_form,Height_max (m),Clonality,Photosynthetic pathway,MIN length Leaf (mm),MAX length Leaf (mm),MIN width Leaf (mm),MAX width Leaf (mm),Leaf_type,1_Nutrient_uptake_strategy,1_Dispersal_mode,Fruit_type,Fruit_functional_type,Min_length_fruit(mm),Max_length_fruit(mm),Min_breadth_fruit(mm),Max_breadth_fruit(mm),Width_fruit(mm),Min_length_seed (mm),Seed_mass (g),1_Pollination_syndrome,Sex habit,Shade tolerance,References,regen_strategy,plant_height_unique
Abildgaardia ovata,Australia,Tussock,Hemicryophyte,0.6,Clonal below ground,NA,60,400,1,1,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,2,3,1.2,2,1.2,2,NA,Wind,NA,NA,APNI/NSW Flora Online,Clonal below ground,NA
Abildgaardia vaginata,Australia,Tussock,Hemicryophyte,0.4,not_vegetative,NA,NA,NA,NA,NA,no leaves,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,1.5,1.5,1,1,1,1,NA,Wind,NA,NA,NSW Flora Online,NA,1
Actinoscirpus grossus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthrostylis aphylla,NA,Tussock,Hemicryophyte,0.5,not_vegetative,C3,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,FloraBase/Bruhl 1995,NA,1
Baumea,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baumea articulata,Australia,Tussock,Hemicryophyte,2,Clonal below ground,C3,NA,NA,NA,NA,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,1.8,2.3,1.2,1.4,1.2,1.4,NA,Wind,hermaphrodite,NA,Bruhl 1995/APNI/NSW Flora Online,Clonal below ground,NA
Baumea juncea,Australia,Tussock,Hemicryophyte,1.2,Clonal below ground,C3,NA,NA,NA,NA,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,2.3,3,1.5,2,1.5,2,NA,Wind,hermaphrodite,NA,Bruhl 1995/APNI/NSW Flora Online/FloraBase,Clonal below ground,NA
Baumea nuda,Australia,Tussock,Hemicryophyte,0.4,Clonal below ground,C3,NA,800,NA,0.5,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,2,2.3,1,1.3,1,1.3,NA,Wind,hermaphrodite,NA,Bruhl 1995/APNI/NSW Flora Online,Clonal below ground,NA
Baumea rubiginosa,Australia,Tussock,Hemicryophyte,4,Clonal below ground,C3,NA,NA,1.5,7,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,2.2,4,1.2,2,1.2,2,NA,Wind,hermaphrodite,NA,Bruhl 1995/APNI/NSW Flora Online,Clonal below ground,NA
Baumea teretifolia,Australia,Tussock,Hemicryophyte,1,Clonal below ground,C3,NA,NA,1.8,1.8,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,1.3,2.2,0.9,1.5,0.9,1.5,NA,Wind,hermaphrodite,NA,Bruhl 1995/APNI/NSW Flora Online,Clonal below ground,NA
