species,season,collection_date,location,huber_value,maximum_stomatal_conductance,transpiration,replicates_huber
Eucalyptus crebra,winter 2002,2002-06/2002-08,Liverpool Plains,,374.8,,
Callitris glaucophylla,winter 2002,2002-06/2002-08,Liverpool Plains,,40.1,,
Eucalyptus crebra,summer 2002-2003,2002-12/2003-02,Liverpool Plains,0.000589,108.5,0.000712,8
Callitris glaucophylla,summer 2002-2003,2002-12/2003-02,Liverpool Plains,0.001163,355.6,0.001003,7
Eucalyptus crebra,winter 2003,2003-06/2003-08,Liverpool Plains,0.000722,247.1,0.001093,8
Callitris glaucophylla,winter 2003,2003-06/2003-08,Liverpool Plains,0.000578,411.2,0.000519,7
Eucalyptus crebra,summer 2003-2004,2003-12/2004-02,Liverpool Plains,0.000374,77.5,0.000667,8
Callitris glaucophylla,summer 2003-2004,2003-12/2004-02,Liverpool Plains,0.000422,170.5,0.001853,7
