character,unit_in,unit_checked,unit_standard,traitname_short,dataset_id
leaf area,mm2,mm2,mm2,leaf_area,2
leaf dry mass,mg,mg,mg,leaf_dry_mass,2
lineage,,,,lineage,2
photosynthetic pathway,,,,photosynthetic_pathway,2
specific leaf area,mm2/mg,mm2/mg,mm2/mg,specific_leaf_area,2
force of fracture,N,N,,leaf_fracture_force,3
lamina thickness,mm,mm,mm,leaf_thickness,3
leaf area,mm2,mm2,mm2,leaf_area,3
leaf C:N ratio,,g/g,g/g,leaf_CN_ratio,3
leaf carbon content,% dry weight,% dry weight,mg/g,leaf_C_per_dry_mass,3
leaf nitrogen content,% dry weight,% dry weight,mg/g,leaf_N_per_dry_mass,3
leaf toughness,Nm-1,Nm-1,N/m,leaf_toughness,3
leaf water content,%,%,g/g,leaf_dry_matter_content,3
specific leaf area,cm2/g,cm2/g,mm2/mg,specific_leaf_area,3
fruit type,,,,fruit_type,4
seed volume,mm3,mm3,mm3,seed_volume,4
dispersal appendage,,,,dispersal_appendage,5
genome size,picograms,picograms,pg,genome_size,5
leaf type,,,,leaf_type,5
maximum height,m,m,m,plant_height_max,5
seed mass,mg,mg,mg,seed_mass,5
specific leaf area,m2/mg,mm2/mg,mm2/mg,specific_leaf_area,5
dispersal mode,,,,dispersal_syndrome,6
habit,,,,woodiness,6
leaf size,cm2,cm2,mm2,leaf_area,6
leaf type,,,,leaf_type,6
longevity,,,,life_history,6
seed breadth,mm,mm,mm,seed_breadth,6
seed length,mm,mm,mm,seed_length,6
seed mass,mg,mg,mg,seed_mass,6
seed width,mm,mm,mm,seed_width,6
leaf area,mm2,mm2,mm2,leaf_area,7
growth form,,,,plant_growth_form,8
leaf area,mm2,mm2,mm2,leaf_area,8
leaf dry mass,g,g,mg,leaf_dry_mass,8
leaf width,mm,mm,mm,leaf_width,8
plant height,m,m,m,plant_height,8
specific leaf area,mm2/g,mm2/g,mm2/mg,specific_leaf_area,8
fire response,,,,fire_response,9
growth form,,,,plant_growth_form,9
longevity,,year,year,lifespan,9
origin,,,,origin,9
dispersal mode,,,,dispersal_syndrome,10
growth form,,,,plant_growth_form,10
leaf area,mm2,mm2,mm2,leaf_area,10
plant height,mm,mm,m,plant_height,10
seed mass,mg,mg,mg,seed_mass,10
specific leaf area,mm2/mg,mm2/mg,mm2/mg,specific_leaf_area,10
seed mass reserve,mg,mg,mg,seed_mass_reserve,11
seed mass reserve percent,%,%,%,seed_mass_reserve_percent,11
seed mass whole,mg,mg,mg,seed_mass,11
seed mass whole n,,,mg,NA,11
seed mass whole standard deviation,,,mg,NA,11
seed provenance,,,,seed_provenance,11
% leaf N,%,%,mg/g,leaf_N_per_dry_mass,12
% leaf P,%,%,mg/g,leaf_P_per_dry_mass,12
leaf area,cm2,cm2,mm2,leaf_area,12
leaf N,,%,mg/g,leaf_N_per_dry_mass,12
leaf P,,%,mg/g,leaf_P_per_dry_mass,12
specific leaf area,g/cm2,cm2/g,mm2/mg,specific_leaf_area,12
leaf area,mm2,mm2,mm2,leaf_area,13
leaf N,%,%,mg/g,leaf_N_per_dry_mass,13
leaf N area,g/m2,g/m2,g/m2,leaf_N_per_area,13
leaf P,%,%,mg/g,leaf_P_per_dry_mass,13
leaf P area,g/m2,g/m2,g/m2,leaf_P_per_area,13
plant maximum height,m,m,m,plant_height_max,13
specific leaf area,cm2/g,mm2 / mg,mm2/mg,specific_leaf_area,13
growth form,,,,plant_growth_form,14
leaf area,cm2,cm2,mm2,leaf_area,14
leaf form,,,,leaf_compoundness,14
leaf longevity,,,,leaf_phenology,14
leaf type,,,,leaf_type,14
N fixer,,,,nitrogen_fixing,14
photosynthetic pathway,,,,photosynthetic_pathway,14
leaf area,cm2,cm2,mm2,leaf_area,15
leaf mass per area,g/m2,g/m2,mm2/mg,leaf_mass_per_area,16
leaf size,mm2,mm2,mm2,leaf_area,16
longevity,,,,leaf_phenology,16
dispersal appendage,,,,dispersal_appendage,17
dispersal mode,,,,dispersal_syndrome,17
fruit type,,,,fruit_type,17
seed volume,mm3,mm3,mm3,seed_volume,17
cell wall fraction mean,,,dimensionless,leaf_cell_wall_fraction,18
cell wall fraction standard error,,,dimensionless,leaf_cell_wall_fraction_SE,18
cell wall N concentration mean,mmol/g,mmol/g,mmol/g,leaf_cell_wall_N,18
cell wall N concentration standard error,mmol/g,mmol/g,mmol/g,leaf_cell_wall_N_SE,18
cell wall N fraction mean,,,dimensionless,leaf_cell_wall_Nfraction,18
cell wall N fraction standard error,,,dimensionless,leaf_cell_wall_Nfraction_SE,18
leaf age,,,month,leaf_age,18
leaf mass per area mean,g/m2,g/m2,mm2/mg,leaf_mass_per_area,18
leaf mass per area standard error,g/m2,g/m2,mm2/mg,leaf_mass_per_area_SE,18
leaf N mean,mmol/g,mmol/g,mg/g,leaf_N_per_dry_mass,18
leaf N standard error,mmol/g,mmol/g,mg/g,leaf_N_per_dry_mass_SE,18
photosynthetic pathway,,,,photosynthetic_pathway,18
thickness mean,mm,mm,mm,leaf_thickness,18
thickness standard error,mm,mm,mm,leaf_thickness_SE,18
water content mean,mol/m2,mol/m2,mol/m2,leaf_water_content_per_area,18
water content standard error,mol/m2,mol/m2,mol/m2,leaf_water_content_per_area_SE,18
growth form,,,,plant_growth_form,19
leaf area,cm2,cm2,mm2,leaf_area,19
leaf dry matter content,mg/g,mg/g,g/g,leaf_dry_matter_content,19
origin,,,,origin,19
photosynthetic pathway,,,,photosynthetic_pathway,19
plant maximum height,m,m,m,plant_height_max,19
specific leaf area,,mm2 mg-1,mm2/mg,specific_leaf_area,19
specific leaf area,cm2/g,cm2/g,mm2/mg,specific_leaf_area,20
wd,g/cm3,g/cm3,mg/mm3,wood_density,20
leaf dry matter content,g,g/g,g/g,leaf_dry_matter_content,21
leaf mass per area,,unknown,mm2/mg,leaf_mass_per_area,21
plant height,cm,cm,m,plant_height,21
specific leaf area,,mm2/mg,mm2/mg,specific_leaf_area,21
lineage,,,,lineage,23
N mass,mg/g,mg/g,mg/g,leaf_N_per_dry_mass,23
specific leaf area,cm2/g,?,mm2/mg,specific_leaf_area,23
