character,unit_in,unit_checked,unit_standard,data_type,conversion,traitname_short,traitname_full,dataset_id
leaf area,mm2,mm2,mm2,N,1,leaf_area,Leaf area,2
leaf dry mass,mg,mg,mg,N,1,leaf_dry_mass,Leaf dry mass,2
lineage,,,,C,NA,lineage,"Lineage (dicot, monocot)",2
photosynthetic pathway,,,,C,NA,photosynthetic_pathway,Photosynthetic pathway,2
specific leaf area,mm2/mg,mm2/mg,mm2/mg,N,1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",2
force of fracture,N,N,,N,NA,leaf_fracture_force,Leaf force of fracture,3
lamina thickness,mm,mm,mm,N,1,leaf_thickness,Leaf thickness,3
leaf area,mm2,mm2,mm2,N,1,leaf_area,Leaf area,3
leaf C:N ratio,,g/g,g/g,N,1,leaf_CN_ratio,Leaf carbon/nitrogen (C/N) ratio,3
leaf carbon content,% dry weight,% dry weight,mg/g,N,10,leaf_C_per_dry_mass,Leaf carbon (C) content per leaf dry mass,3
leaf nitrogen content,% dry weight,% dry weight,mg/g,N,10,leaf_N_per_dry_mass,Leaf nitrogen (N) content per leaf dry mass,3
leaf toughness,Nm-1,Nm-1,N/m,N,1,leaf_toughness,Leaf toughness,3
leaf water content,%,%,g/g,N,0.01,leaf_dry_matter_content,"Leaf dry mass per leaf fresh mass (Leaf dry matter content, LDMC)",3
specific leaf area,cm2/g,cm2/g,mm2/mg,N,0.1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",3
fruit type,,,,C,NA,fruit_type,Fruit type,4
seed volume,mm3,mm3,mm3,N,1,seed_volume,Seed volume,4
dispersal appendage,,,,C,NA,dispersal_appendage,Dispersal unit appendages,5
genome size,picograms,picograms,pg,N,1,genome_size,Plant chromosoms Genome size,5
leaf type,,,,C,NA,leaf_type,"Leaf type (broadleaf, needle, article)",5
maximum height,m,m,m,N,1,plant_height_max,Plant height maximum,5
seed mass,mg,mg,mg,N,1,seed_mass,Seed dry mass,5
specific leaf area,m2/mg,mm2/mg,mm2/mg,N,1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",5
dispersal mode,,,,C,NA,dispersal_syndrome,Dispersal syndrome,6
habit,,,,C,NA,woodiness,woodiness,6
leaf size,cm2,cm2,mm2,N,100,leaf_area,Leaf area,6
leaf type,,,,C,NA,leaf_type,"Leaf type (broadleaf, needle, article)",6
longevity,,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",6
