dataset_id,dataset_num,metadata_id,primary_source_id,source_access,compiled_for,data_contributor,contributor_institution_2016,year_collected,primary_data_collector,data_collector_institution_2016,primary_lab_leader_when_collected,primary_lab_leader_institution,data_description,collection_type,sample_age_class,original_file,need_further_checking,notes
dataset_078,78,115,110,"Paper: Toelken, H. R. (1996). A revision of the genus Kunzea (Myrtaceae) I. the Western Australian section Zeanuk. Journal of the Adelaide Botanic Garden, 17: 29-106.","Toelken, H. R. (1996). A revision of the genus Kunzea (Myrtaceae) I. the Western Australian section Zeanuk. Journal of the Adelaide Botanic Garden, 17: 29-106.",Rachael Gallagher,Macquarie University Sydney,1996,H. Toelken,State Herbarium of South Australia,NA,NA,transposed from Kunzea revision from Toelken 1996,herbarium specimens,adult_assumed,1997_Toelken_kunzea.xls,,
dataset_079,79,116,111,10.1071/SB01010 ,10.1071/SB01010 ,Rachael Gallagher,Macquarie University Sydney,2002,Gregory Chandler,unknown,NA,NA,transposed from Chandler Monograph of Gastrolobium (Fabaceae: Mirbelieae),herbarium specimens,adult_assumed,Chandler_2002_gastrolobium.xls,,
dataset_080,80,117,112,"Paper: Keighery, G. (2004). Taxonomy of the Calytrix ecalycata complex (Myrtaceae).Nuytsia, 15(2), 261-268.","Keighery, G. (2004). Taxonomy of the Calytrix ecalycata complex (Myrtaceae).Nuytsia, 15(2), 261-268.",Rachael Gallagher,Macquarie University Sydney,2004,Greg Keighery,WA Department of Parks and Wildlife,NA,NA,"transposed from Keighery, G. (2004). Taxonomy of the Calytrix ecalycata complex (Myrtaceae).Nuytsia, 15(2), 261-268.",herbarium specimens,adult_assumed,Keighery_2004_calytrix.xls,,
dataset_081,81,118,113,"Paper: Rye, B. L. (2002). A revision of south-western Australian species of Micromyrtus (Myrtaceae) with five antisepalous ribs on the hypanthium.Nuytsia, 15(1), 101-122.","Rye, B. L. (2002). A revision of south-western Australian species of Micromyrtus (Myrtaceae) with five antisepalous ribs on the hypanthium.Nuytsia, 15(1), 101-122.",Rachael Gallagher,Macquarie University Sydney,2002,Barbara Rye,Western Australian Herbarium,NA,NA,"transposed from Rye, B. L. (2002). A revision of south-western Australian species of Micromyrtus (Myrtaceae) with five antisepalous ribs on the hypanthium.Nuytsia, 15(1), 101-122.",herbarium specimens,adult_assumed,Rye_2002_Micromyrtus.xls,,
dataset_082,82,119,114,"Paper: Rye, B. (2006). A partial revision of the south-western Australian species of Micromyrtus (Myrtaceae: Chamelaucieae). Nuytsia, 16(1), 117-147.","Rye, B. (2006). A partial revision of the south-western Australian species of Micromyrtus (Myrtaceae: Chamelaucieae). Nuytsia, 16(1), 117-147.",Rachael Gallagher,Macquarie University Sydney,2006,Barbara Rye,Western Australian Herbarium,NA,NA,"transposed from Rye, B. (2006). A partial revision of the south-western Australian species of Micromyrtus (Myrtaceae: Chamelaucieae). Nuytsia, 16(1), 117-147.",herbarium specimens,adult_assumed,Rye_2006_Micromyrtus.xls,,
dataset_083,83,120,115,"Paper: Rye, B.L. (2010) A revision of the Micromyrtus racemosa complex (Myrtaceae: Chamelaucieae) of south-western Australia. Nuytsia, 20: 37-56.","Rye, B.L. (2010) A revision of the Micromyrtus racemosa complex (Myrtaceae: Chamelaucieae) of south-western Australia. Nuytsia, 20: 37-56.",Rachael Gallagher,Macquarie University Sydney,2010,Barbara Rye,Western Australian Herbarium,NA,NA,"transposed from Rye, B.L. (2010) A revision of the Micromyrtus racemosa complex (Myrtaceae: Chamelaucieae) of south-western Australia. Nuytsia, 20: 37-56.",herbarium specimens,adult_assumed,Rye_2009_Micromyrtus.xls,,
dataset_084,84,121,116,"Paper: Rye, B. L. (2009). Reinstatement of the Western Australian genus Oxymyrrhine (Myrtaceae: Chamelaucieae) with three new species. Nuytsia, 19, 149-165.","Rye, B. L. (2009). Reinstatement of the Western Australian genus Oxymyrrhine (Myrtaceae: Chamelaucieae) with three new species. Nuytsia, 19, 149-165.",Rachael Gallagher,Macquarie University Sydney,2009,Barbara Rye,Western Australian Herbarium,NA,NA,"transposed from Rye, B. L. (2009). Reinstatement of the Western Australian genus Oxymyrrhine (Myrtaceae: Chamelaucieae) with three new species. Nuytsia, 19, 149-165.",herbarium specimens,adult_assumed,Rye_2009_Oxymyrrhine.xls,,
dataset_085,85,122,117,"Paper: Rye (2013) An update to the taxonomy of some Western Australian genera of Myrtaceae tribe Chamelaucieae. 1. Calytrix Nuytsia, 23: 483-501.","Rye (2013) An update to the taxonomy of some Western Australian genera of Myrtaceae tribe Chamelaucieae. 1. Calytrix Nuytsia, 23: 483-501.",Rachael Gallagher,Macquarie University Sydney,2013,Barbara Rye,Western Australian Herbarium,NA,NA,"transposed from Rye (2013) An update to the taxonomy of some Western Australian genera of Myrtaceae tribe Chamelaucieae. 1. Calytrix Nuytsia, 23: 483-501.",herbarium specimens,adult_assumed,Rye_2013_calytrix.xls,,
dataset_086,86,123,118,"Paper: Rye, B. L., Wilson, P. G., & Keighery, G. J. (2013). A revision of the species of Hypocalymma (Myrtaceae: Chamelaucieae) with smooth or colliculate seeds. Nuytsia, 23: 283-312.","Rye, B. L., Wilson, P. G., & Keighery, G. J. (2013). A revision of the species of Hypocalymma (Myrtaceae: Chamelaucieae) with smooth or colliculate seeds. Nuytsia, 23: 283-312.",Rachael Gallagher,Macquarie University Sydney,2013,Barbara Rye,Western Australian Herbarium,NA,NA,"transposed from Rye, B. L., Wilson, P. G., & Keighery, G. J. (2013). A revision of the species of Hypocalymma (Myrtaceae: Chamelaucieae) with smooth or colliculate seeds. Nuytsia, 23: 283-312.",herbarium specimens,adult_assumed,Rye_2013_hyocalymma.xls,,
dataset_087,87,124,119,"Paper: Trudgen, M. E., & Rye, B. L. (2014). An update to the taxonomy of some Western Australian genera of Myrtaceae tribe Chamelaucieae. 2. Cyathostemon. Nuytsia, 24: 7-16.","Trudgen, M. E., & Rye, B. L. (2014). An update to the taxonomy of some Western Australian genera of Myrtaceae tribe Chamelaucieae. 2. Cyathostemon. Nuytsia, 24: 7-16.",Rachael Gallagher,Macquarie University Sydney,2014,Barbara Rye,Western Australian Herbarium,NA,NA,"transposed from Trudgen, M. E., & Rye, B. L. (2014). An update to the taxonomy of some Western Australian genera of Myrtaceae tribe Chamelaucieae. 2. Cyathostemon. Nuytsia, 24: 7-16.",herbarium specimens,adult_assumed,Rye_2014_Thryptomene.xls,,
dataset_088,88,125,120,"Paper: Wilson, P. G., & Rowe, R. (2008). A revision of the Indigofereae (Fabaceae) in Australia. 2. Indigofera species with trifoliolate and alternately pinnate leaves.Telopea, 12(2), 293-307.","Wilson, P. G., & Rowe, R. (2008). A revision of the Indigofereae (Fabaceae) in Australia. 2. Indigofera species with trifoliolate and alternately pinnate leaves.Telopea, 12(2), 293-307.",Rachael Gallagher,Macquarie University Sydney,2008,Peter Wilson,National Herbarium of NSW,NA,NA,"transposed from Wilson, P. G., & Rowe, R. (2008). A revision of the Indigofereae (Fabaceae) in Australia. 2. Indigofera species with trifoliolate and alternately pinnate leaves.Telopea, 12(2), 293-307.",herbarium specimens,adult_assumed,Wilson_2008_Indigofera.xls,,
dataset_089,89,126,121,"Paper: Craven, L. A., Lepschi, B. J., & Cowley, K. J. (2010). Melaleuca (Myrtaceae) of Western Australia: five new species, three new combinations, one new name and a new state record. Nuytsia, 20, 27-36.","Craven, L. A., Lepschi, B. J., & Cowley, K. J. (2010). Melaleuca (Myrtaceae) of Western Australia: five new species, three new combinations, one new name and a new state record. Nuytsia, 20, 27-36.",Rachael Gallagher,Macquarie University Sydney,2010,Lyn Craven,Australian National Herbarium,NA,NA,"transposed from Craven, L. A., Lepschi, B. J., & Cowley, K. J. (2010). Melaleuca (Myrtaceae) of Western Australia: five new species, three new combinations, one new name and a new state record. Nuytsia, 20, 27-36.",herbarium specimens,adult_assumed,Craven_2010_melaleuca.xls,,
dataset_090,90,127,122,"Paper: Crisp, M. D. (1984). Notes on Daviesia and Jacksonia (Leguminosae: Papilionoideae) for the flora of the Perth region. Nuytsia, 5(1), 159-170.","Crisp, M. D. (1984). Notes on Daviesia and Jacksonia (Leguminosae: Papilionoideae) for the flora of the Perth region. Nuytsia, 5(1), 159-170.",Rachael Gallagher,Macquarie University Sydney,1984,Michael Crisp,The Australian National University,NA,NA,"transposed from Crisp, M. D. (1984). Notes on Daviesia and Jacksonia (Leguminosae: Papilionoideae) for the flora of the Perth region. Nuytsia, 5(1), 159-170.",herbarium specimens,adult_assumed,Crisp_1984_daviesia.xls,,
dataset_091,91,128,123,Paper: 10.1071/SB00008 ,10.1071/SB00008 ,Rachael Gallagher,Macquarie University Sydney,2001,Ian Thompson,University of Melbourne,NA,NA,transposed from Morphometric analysis and revision of eastern Australian hovea (Brongniartieae-Fabaceae),herbarium specimens,adult_assumed,thompson_2001_hovea.xls,,
dataset_092,92,144,138,CD Rom: WATTLE,AUSTRAITS,Rachael Gallagher,Macquarie University Sydney,2014,Rachael Gallagher,Macquarie University Sydney,NA,NA,Wattle dataset from Bruce Maslin treatment 2012,herbarium specimens,adult_assumed,STU,,
dataset_093,93,145,139,URL: http://www.anbg.gov.au/abrs/online-resources/flora/main-query-styles.html,AUSTRAITS,Rachael Gallagher,Macquarie University Sydney,2015,Rachael Gallagher,Macquarie University Sydney,NA,NA,Flora of Australian online checked via trait corrections ,herbarium specimens,adult_assumed,STU,,
dataset_094,94,146,140,NA,10.1111/geb.12346,Si-Chong Chen,University of New South Wales,2014,Si-Chong Chen,University of New South Wales,Anglea Moles ,University of New South Wales,angiosperm dispersal data from Si-Chong Chen PhD,Various,adult_assumed,seed_fruit_data.xls,,
dataset_095,95,147,140,NA,10.1111/geb.12346,Si-Chong Chen,University of New South Wales,2014,Si-Chong Chen,University of New South Wales,Anglea Moles ,University of New South Wales,gymnosperm ispersal data from Si-Chong Chen PhD,Various,adult_assumed,seed_fruit_data.xls,,
dataset_096,96,133,132,NA,"Wright, Lehmann Northern Territory savannas project",Ian Wright,Macquarie University Sydney,2008,Ian Wright,Macquarie University,Ian Wright,Macquarie University,NT savanna trait data,field,adult,Wright Lehmann Richards NT_traitdata_2008.xls,,
dataset_101,101,4,4,Appendix: 10.1111/j.1472-4642.2011.00805.x,10.1111/j.1472-4642.2011.00805.x,Rachael Gallagher,Macquarie University Sydney,2010,Jan Suda,Academy of Science Czech Republic,Michelle Leishman,Macquarie University,genome size data from Jan Suda for acacia,field and glasshouse,adult and seedling,ACACIA_data.xls,,
dataset_101,101,5,5,URL: http://www.worldwidewattle.com/,10.1111/j.1472-4642.2011.00805.x,Rachael Gallagher,Macquarie University Sydney,2010,Anthony Manea,Macquarie University,Michelle Leishman,Macquarie University,dispersal appendage data for acacia via worldwide wattle,herbarium specimen,adult,ACACIA_data.xls,,
dataset_101,101,6,4,Appendix: 10.1111/j.1472-4642.2011.00805.x,10.1111/j.1472-4642.2011.00805.x,Rachael Gallagher,Macquarie University Sydney,unknown,Robert Mason,Australian Museum Sydney,Angela Moles,University of New South Wales,seed mass for acacia from Mason et al. (2008),unknown,adult,ACACIA_data.xls,,
dataset_101,101,7,4,Appendix: 10.1111/j.1472-4642.2011.00805.x,10.1111/j.1472-4642.2011.00805.x,Rachael Gallagher,Macquarie University Sydney,2010,Ian Davidson,unknown,Michelle Leishman,Macquarie University,SLA measurements for acacia ,field and glasshouse,adult and seedling,ACACIA_data.xls,,
dataset_101,101,8,7,Appendix: 10.1111/j.1365-2745.2006.01116.x,10.1111/j.1472-4642.2011.00805.x,Rachael Gallagher,Macquarie University Sydney,unknown,Will Edwards,"James Cook University, Australia",Mark Westoby,Macquarie University,dispersal appendage data for 201 acacia species via Edwards (2006),unknown,adult,ACACIA_data.xls,,
dataset_105,105,134,126,Appendix: 10.1071/BT9580059 ,10.1071/BT9580059 ,Ian Wright,Macquarie University Sydney,2004,Ray Specht,University of Adelaide,Ray Specht,University of Adelaide,Specht data from Glopnet dataset ,field,adult,Glopnet - Aust subset for RachG.xls,,
dataset_106,106,135,127,Paper: 10.1111/j.1365-3040.2007.01733.x,10.1111/j.1365-3040.2007.01733.x,Rachael Gallagher,Macquarie University Sydney,2007,Mark Denton,unknown,Hans Lambers,University of Western Australia,Banksia species dataset from WA,field,adult,Denton et al. 2007 (PCE).pdf,,
dataset_107,107,136,128,NA,10.2307/2260687,Ian Wright,Macquarie University Sydney,1996,Michelle Leishman,Macquarie University,Mark Westoby,Macquarie University,western NSW trait data from Michelle Leishman,field,adult,WNSW(Leishman).xls,,
dataset_108,108,137,133,NA,various Westoby Lab projects,Ian Wright,Macquarie University Sydney,1991,Barbara Rice,Macquarie University,Mark Westoby,Macquarie University,Growth form collected by Barb Rice from Kakadu for phytosociological analyses,published literature,adult_assumed,Kakadupr.xls,,
dataset_109,109,138,134,NA,various Westoby Lab projects,Ian Wright,Macquarie University Sydney,unknown,Westoby Lab,Macquarie University,Mark Westoby,Macquarie University,SLA data for species collected by Westoby Lab,field,adult,WEST.xls,,
dataset_110,110,139,129,NA,Northern Australian Transect Study,Ian Wright,Macquarie University Sydney,unknown,Ernst-Detlef Schulze,Max Planck Institute,unknown,unknown,data from Northern Australian transect study collected by Schulze,field,adult,Schulze NATT data.xls,,
dataset_111,111,140,130,Paper: 10.1890/0012-9615(1999)069[0569:EDILSA]2.0.CO;2,10.1890/0012-9615(1999)069[0569:EDILSA]2.0.CO;2,Ian Wright,Macquarie University Sydney,1996,Saul Cunningham,CSIRO,Mark Westoby,Macquarie University,Saul Cunninghams PhD data published in 10.2307/2657231,field,adult,Cunnningham_1999.pdf,,
dataset_112,112,129,14,URL: https://florabase.dpaw.wa.gov.au/,AUSTRAITS,Rachael Gallagher,Macquarie University Sydney,2015,Grazyna Paczkowska; Alex Chapman,Western Australian Herbarium,NA,NA,Scraped from Florabase websitehttps://florabase.dpaw.wa.gov.au/,herbarium specimens,adult_assumed,florabase_complete.xls,,
dataset_113,113,130,124,URL: http://www.supersites.net.au/knb/,TERN Supersites,Rachael Gallagher,Macquarie University Sydney,2011,TERN,TERN,NA,NA,Wombat Tower TERN Supersite,field,adult,lloyd.343.2-asn_vicd_veg_dbh-h_wombat_tower_plot_2011.xls,,
dataset_114,114,131,13,URL: http://plantnet.rbgsyd.nsw.gov.au/search/simple.htm,NSW Flora Online Plantnet application,Rachael Gallagher,Macquarie University Sydney,2014,National Herbarium of NSW,National Herbarium of NSW,NA,NA,Flora of NSW data from Plantnet,herbarium specimens,adult_assumed,plantnet.xls,,
dataset_115,115,132,125,Appendix: 10.1111/j.0022-0477.2005.00992.x,10.1111/j.0022-0477.2005.00992.x,Ian Wright,Macquarie University Sydney,2004,Daniel Falster,Macquarie University,Mark Westoby,Macquarie University,allocation traits for far north Queensland species,field,adult,Falster & Westoby 2005 J Ecol appendix.doc,,
dataset_116,116,141,135,Appendix: 10.1038/nature02403,10.1038/nature02403,Ian Wright,Macquarie University Sydney,2004,Erik Veneklaas,University of Western Australia,Erik Veneklaas,University of Western Australia,trait data for WA species in GLOPNET,field,adult,Glopnet - Aust subset for RachG.xls,,
dataset_117,117,142,136,Appendix: 10.1111/j.0030-1299.2005.13383.x, 10.1111/j.0030-1299.2005.13383.x,Ian Wright,Macquarie University Sydney,2004,Daniel Falster,Macquarie University,Mark Westoby,Macquarie University,allocation traits for Myall Lakes,field,adult,Falster & Westoby 2005 Oikos appendix.doc,,
dataset_118,118,143,137,NA,10.1111/j.1399-3054.2006.00699.x,Ian Wright,Macquarie University Sydney,2006,Ian Wright,Macquarie University,Mark Westoby,Macquarie University,hydraulic trait from 2006 Physiologica Plantarum paper,field,adult,Wright et al 2006 Physiol Plantarum data.xls,,
dataset_119,119,148,141,CD ROM: EUCLID 2.0,EUCLID,Rachael Gallagher,Macquarie University Sydney,NA,National Herbarium of NSW,National Herbarium of NSW,NA,NA,eucalyptus taxonomic treatment ,herbarium_specimens_assumed ,adult,NA,,
dataset_120,120,149,142,Taxonomic treatment: Flora of South Australia,Flora of South Australia,Rachael Gallagher,Macquarie University Sydney,NA,South Australian Herbarium,South Australian Herbarium,NA,NA,trait data from South Australian herbarium treatments,herbarium_specimens_assumed ,adult,NA,,
dataset_121,121,150,143,URL: http://data.rbg.vic.gov.au/vicflora/,VicFlora,Rachael Gallagher,Macquarie University Sydney,2016,Royal Botanic Gardens Victoria,Royal Botanic Gardens Victoria,NA,NA,traits for species endemic to Victoria from Flora of Victoria online ,herbarium_specimens_assumed ,adult,Vicflora_endemics.xls,,
