primary_source,primary_source,
1,Unpublished dataset: Duncan leaf anatomy.xls,
2,PhD thesis: Emma Laxton Macquarie University http://hdl.handle.net/1959.14/483,
3,Previously unshared dataset from 10.1111/j.1095-8312.2000.tb01222.x,
4,Appendix: 10.1111/j.1472-4642.2011.00805.x,
5,Worldwide Wattle Project: http://www.worldwidewattle.com/,
7,Appendix: 10.1111/j.1365-2745.2006.01116.x,
8,Taxonomic revision: 10.1071/SB9920547 ,
9,Taxonomic key: Australian Tropical Rainforest species CSIRO 2003,
10,Online resource: Kew Botanic Gardens Seed Information Database http://data.kew.org/sid/,
11,Online resource: Brisbane Rainforest Action and Information Network Plants Database http://www.brisrain.org.au/01_cms/details.asp?ID=9 ,
12,Book: ISBN9780958174213 Cooper & Cooper 2004 Fruits of the Australian Tropical Rainforest,
13,Online resourrce: NSW Flora Online Plantnet http://plantnet.rbgsyd.nsw.gov.au/search/simple.htm,
14,Online resource: FloraBase The Western Australian Flora Department of Parks and Wildlife https://florabase.dpaw.wa.gov.au/,
15,Taxonomic revision: 10.1071/SB9950691 ,
16,Paper: 10.1071/BT9930591 ,
17,Paper: 10.2307/2389944,
18,Previously unshared dataset from 10.1046/j.1365-2435.2002.00661.x,
19,Previously unshared dataset from 10.1046/j.1365-2745.2000.00506.x,
20,"Previously unshared dataset from Leishman, M. R., Westoby, M., & Jurado, E. (1995). Correlates of seed size variation: a comparison among five temperate floras. Journal of Ecology, 83: 517-529.",
21,Appendix: 10.1034/j.1600-0706.2001.920309.x ,
22,Previously unshared dataset from 10.1093/jxb/erp045,
23,Paper: 10.1046/j.1469-8137.2002.00479.x,
24,Paper: 10.1086/319579,
25,Paper: 10.1071/BT9810329,
26,Unpublished dataset: Greg Jordan tassie cuticle data(ian).xls,
27,Appendix: 10.1111/j.1365-3040.2008.01918.x,
28,Unpublished dataset: Zanne&WrightNSW.xls,
29,Paper: 10.1007/s00442-003-1231-6,
30,Unpublished dataset: Wright & Henery seed mass data.xls,
31,Paper: 10.1111/j.0030-1299.2004.13122.x,
32,Paper: 10.1093/aob/mcn047,
33,Previously unshared dataset: KUPR.xls,
34,Previously unshared dataset from 10.1046/j.1365-2699.1997.00126.x,
37,Unpublished dataset: erica.xls,
38,URL: http://www.lrm.nt.gov.au/plants-and-animals/herbarium/darwin_flora_online,
39,PhD thesis: Huw Morgan Macquarie University,
40,Previously unshared dataset from 10.1080/11263500012331350445,
41,Unpublished dataset: Extra ozglop data OCT07 (iAN).xls,
42,Unpublished dataset: SpeciesMeans141205.xls,
43,"Book: Standard Nomenclature of Forest Plants, Burma, including commercial timbers. Forest Research and Training Circle, Forest Department, Burma.",
44,"Report: Bolza, E. 1975. Properties and uses from 175 timber species from Papua New Guinea and West Irian. C.S.I.R.O. Division of Building Research Report 34.",
45,"Report: Chudnoff, M. 1984. Tropical Timbers of the World. Washington, DC, USDA Forest Service. http://www2.fpl.fs.fed.us/TechSheets/tropicalwood.html.",
46,URL: http://www.cirad.fr/fr/pg_recherche/ur.php?id=85,
47,"Book: Desch, H.E. 1996. Timber: structure, properties, conversion and use. 7th Edition. Palgrave Macmillan, New York.",
48,"Book: Dimitri, M.J. and Biloni, J.S. 1973. Libro del árbol. Tomo 1. Esencias forestales indígenas de la Argentina de aplicación ornamental. Editorial Celulosa Argentina; S.A. Leonardis R.F.J. 1975. Libro del árbol. Tomo 2. Esencias Forestales indígenas de la Argentina de aplicación industrial. Editorial Celulosa Argentina S. A.",
49,"Book: ISBN 1892529157 Flynn Jr., J.H. and Holder, C.D. 2001. A Guide to Useful Woods of the World. 2nd ed. Forest Products Society, Madison.",
50,URL: http://www.cabi.org/fc/,
51,"Book: ISBN 0869232940 Goldsmith, B. and D.T. Carter. 1981. The indigenous timbers of Zimbabwe. The Zimbabwe Bulletin of Forestry Research No. 9:x, 406 pp.",
52,Paper: 10.1163/22941932-90000309,
53,"CD-ROM: Hong, L.T., Lemmens, R.H.M.J., Prawirohatmodjo, S., Soerianegara, I., Sosef, M.S.M. and Wong, W.C. (Editors). CD-ROM PROSEA Timber trees",
54,"Report: Ilic, J., Boland, D., McDonald, M., Downes, G. and Blakemore,  P. 2000. Woody density phase 1 - state of knowledge. National carbon accounting system. Technical Report 18 Australian Greenhouse Office, Canberra, Australia.",
55,"Book: Martawijaya, A. et al. 1992. Indonesian Wood Atlas Vol. I. and II AFPRDC AFRD Department of Forestry Bogor Indonesia.",
56,Book: 19996775635 Nguyen Ngoc Chinh et al. 1996. Vietnam Forest Trees. Forest Inventory and Planning Institute Agricultural Publishing House Hanoi.,
57,"Report: Oey Djoen Seng. 1951. in Soewarsono, P.H. 1990. Specific gravity of Indonesian Woods and Its Significance for Practical Use FRPDC Forestry Department, Bogor, Indonesia.",
58,URL: http://dps.plants.ox.ac.uk/ofi/prospect/index.htm,
59,"Report: Soerjanegara and Lemmens, R.H.M.J. (Editors), 1994. PROSEA 5(1): Timber trees: Major commercial timbers; Lemmens, R.H.M.J., Soerjanegara, I. and Wong, W.C. (Editors), 1995. PROSEA 5(2): Timber trees: Minor commercial timbers; Sosef, M.S.M., Hong, L.T. and Prawirohatmodjo, S. (Editors), 1998. PROSEA 5(3): Timber trees: Lesser-known timbers.",
60,"Wells, J. unpublished data in Zanne AE, Lopez-Gonzalez G, Coomes DA, Ilic J, Jansen S, Lewis SL, Miller RB, Swenson NG, Wiemann MC, Chave J (2009) Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234",
61,URL: http://www.wood-database.com/,
62,URL: http://www.worldagroforestry.org/output/wood-density-database,
63,"Paper: Islam, M., & Adams, M. A. (1999). Mineral content and nutritive value of native grasses and the response to added phosphorus in a Pilbara rangeland. Tropical Grasslands, 33(4), 193-200.",
64,Paper: 10.1071/EA98133,
65,Appendix: 10.1111/j.1472-4642.2011.00805.x,
66,Appendix: 10.1371/journal.pone.0084378,
67,Previously unshared dataset from 10.1111/1365-2745.12035,
68,Appendix: jec12056-sup-0001-TableA1-A5-FigA1 for 10.1111/1365-2745.12056,
69,Appendix: 10.1093/aob/mcs289,
71,Appendix: 10.1016/j.ppees.2012.09.003,
70,Previously unshared dataset from 10.1093/treephys/18.8-9.537,
72,Appendix: 10.1111/j.1469-8137.2011.03887.x,
73,Paper: 10.1007/s11258-011-9956-5,
74,Paper: 10.1111/j.1365-3040.2009.02024.x,
75,Appendix: 10.1111/j.1654-1103.2011.01323.x,
76,Previously unshared dataset from Robert Kooyman for Australian Rainforest Species,
77,Previously unshared dataset from 10.1007/s00442-002-1150-y,
78,URL: http://ausgrass2.myspecies.info/,
79,URL: http://www.kew.org/data/grasses-db.html,
80,Previously unshared dataset: Colin Osbourne,
81,ISBN: 10: 0 642 56816 2 ,
82,ISBN: 9781877069246 ,
83,Previously unshared dataset from John Morgan Grassy woodland trait database,
84,Previously unshared dataset from Erika Cross Woodlands of western Victoria trait database,
85,Previously unshared dataset from Andrew John Scott via John Morgan,
86,Previously unshared dataset from John Morgan 2011 Trait Database Campaign,
87,Previously unshared dataset from Tara Trait database via John Morgan,
88,Previously unshared dataset from Amber Briggs 2007 via John Morgan,
89,Previously unshared dataset from Bryan Roberts 2006 data via John Morgan,
90,Previously unshared dataset from various Morgan and Lunt projects 1990-2012,
91,"Previously unshared dataset from Venn, Angevin, Pickering projects",
92,Previously unshared dataset from John Morgan unnamed trait campaign,
93,ISBN: 9781877058165,
94,URL: http://demo1.tmag.tas.gov.au/treatments/family_accounts.html,
95,Previously unshared dataset from 10.1111/j.1365-2435.2012.01962.x,
96,Previously unshared dataset from 10.1111/j.1365-2745.2012.01962.x,
97,Previously unshared dataset from 10.1046/j.1365-2435.2003.00761.x,
98,Previously unshared dataset from 10.1046/j.1095-8312.2002.00091.x,
99,Previously unshared dataset from 10.1093/treephys/19.10.665,
101,Unpublished dataset: Schortemeyer NATT data.xls,
102,Previously unshared dataset from 10.1046/j.1365-2435.2002.00631.x,
103,Paper: 10.1016/S0006-3207(02)00245-8,
104,Previously unshared dataset from Susanna Venn,
105,Paper: 10.1093/aob/mcu131,
106,"Paper: Rye, B. L. (2015). A revision of the south-western Australian genus Babingtonia (Myrtaceae: Chamelaucieae). Nuytsia 25: 219–250.",
107,"Paper: Trudgeon, M. E., & Rye, B. L. (2005). Astus, a new Western Australian genus of Myrtaceae with heterocarpidic fruits. Nuytsia 15: 495-512.",
108,"Paper: Bean, A. R. (1997). A revision of Baeckea (Myrtaceae) in eastern Australia, Malesia and south-east Asia. Telopea, 7(3): 245-268.",
109,Paper: 10.1071/BRU9870001 ,
110,"Paper: Toelken, H. R. (1996). A revision of the genus Kunzea (Myrtaceae) I. the Western Australian section Zeanuk. Journal of the Adelaide Botanic Garden, 17: 29-106.",
111,Paper: 10.1071/SB01010 ,
112,"Paper: Keighery, G. (2004). Taxonomy of the Calytrix ecalycata complex (Myrtaceae).Nuytsia, 15(2), 261-268.",
113,"Paper: Rye, B. L. (2002). A revision of south-western Australian species of Micromyrtus (Myrtaceae) with five antisepalous ribs on the hypanthium.Nuytsia, 15(1), 101-122.",
114,"Paper: Rye, B. (2006). A partial revision of the south-western Australian species of Micromyrtus (Myrtaceae: Chamelaucieae). Nuytsia, 16(1), 117-147.",
115,"Paper: Rye, B.L. (2010) A revision of the Micromyrtus racemosa complex (Myrtaceae: Chamelaucieae) of south-western Australia. Nuytsia, 20: 37–56.",
116,"Paper: Rye, B. L. (2009). Reinstatement of the Western Australian genus Oxymyrrhine (Myrtaceae: Chamelaucieae) with three new species. Nuytsia, 19, 149-165.",
117,"Paper: Rye (2013) An update to the taxonomy of some Western Australian genera of Myrtaceae tribe Chamelaucieae. 1. Calytrix Nuytsia, 23: 483–501.",
118,"Paper: Rye, B. L., Wilson, P. G., & Keighery, G. J. (2013). A revision of the species of Hypocalymma (Myrtaceae: Chamelaucieae) with smooth or colliculate seeds. Nuytsia, 23: 283–312.",
119,"Paper: Trudgen, M. E., & Rye, B. L. (2014). An update to the taxonomy of some Western Australian genera of Myrtaceae tribe Chamelaucieae. 2. Cyathostemon. Nuytsia, 24: 7–16.",
120,"Paper: Wilson, P. G., & Rowe, R. (2008). A revision of the Indigofereae (Fabaceae) in Australia. 2. Indigofera species with trifoliolate and alternately pinnate leaves.Telopea, 12(2), 293-307.",
121,"Paper: Craven, L. A., Lepschi, B. J., & Cowley, K. J. (2010). Melaleuca (Myrtaceae) of Western Australia: five new species, three new combinations, one new name and a new state record. Nuytsia, 20, 27-36.",
122,"Paper: Crisp, M. D. (1984). Notes on Daviesia and Jacksonia (Leguminosae: Papilionoideae) for the flora of the Perth region. Nuytsia, 5(1), 159-170.",
123,Paper: 10.1071/SB00008 ,
124,URL: http://www.supersites.net.au/knb/,
125,Appendix: 10.1111/j.0022-0477.2005.00992.x,
126,Appendix: 10.1071/BT9580059 ,
127,Paper: 10.1111/j.1365-3040.2007.01733.x,
128,Previously unshared dataset from 10.2307/2260687,
129,Unpublished dataset: Schulze NATT data.xls,
130,Paper: 10.1890/0012-9615(1999)069[0569:EDILSA]2.0.CO;2,
132,Unpublished data: Wright Lehmann Richards NT_traitdata_2008.xls,
133,Unpublished dataset: kakadupr.xls,
134,Unpublished dataset: WEST.xls,
135,Appendix: 10.1038/nature02403,
136,Appendix: 10.1111/j.0030-1299.2005.13383.x,
137,Previously unshared data from 10.1111/j.1399-3054.2006.00699.x,
138,CD Rom: WATTLE,
139,Online resource: http://www.anbg.gov.au/abrs/online-resources/flora/main-query-styles.html,
140,Previously unshared data from 10.1111/geb.12346,
141,CD ROM: EUCLID 2.0,
142,"Taxonomic treatment: Flora of South Australia, pers. comm. Jurgen Kellerman",
