character,unit_in,unit_checked,unit_standard,data_type,conversion,traitname_short,traitname_full,dataset_id,character2,unit2,dataset_id2
Aa,?molCO2/m2/s,umolCO2/m2/s,umol m-2 s-1,N,1,photosyntheticRate_perArea,Leaf photosynthesis rate per leaf area,41,Aa,?molCO2/m2/s,41
Am,nmolCO2/g/s,nmolCO2/g/s,umol g-1 s-1,N,1000,photosyntheticRate_perDryMass,Leaf photosynthesis rate per leaf dry mass,41,Am,nmolCO2/g/s,41
continent,,,,NA,NA,NA,NA,41,continent,,41
family,,,,C,NA,NA,NA,41,family,,41
gs,?molH2O/m2/s,umolH2O/m2/s,mmol m-2 s-1,N,0.001,stomatal_conductance,Stomatal conductance,41,gs,?molH2O/m2/s,41
Karea,mgK/cm2,mgK/cm2,g m-2,N,10,leaf_K_perArea,Leaf potassium (K) content per leaf area,41,Karea,mgK/cm2,41
Kmass,mgK/g,mgK/g,mg/g,N,1,leaf_K_perDryMass,Leaf potassium (K) content per dry mass,41,Kmass,mgK/g,41
LAR,mm2/mg,mm2/mg,mm2 mg-1,N,1,LAR,Leaf area per plant dry mass,41,LAR,mm2/mg,41
LDMC,mg/g,mg/g,g g-1,N,0.001,LDMC,Leaf dry mass per leaf fresh mass ,41,LDMC,mg/g,41
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,41,leaf area,cm2,41
LMF,g/g,g/g,g g-1,N,1,LMF,Leaf mass fraction,41,LMF,g/g,41
longevity,,,,NA,NA,LeafPhenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",41,longevity,,41
LWCa,gH2O/cm2,gH2O/cm2,gH2O cm-2,N,1,leaf_waterContent_perArea,Leaf water content per area,41,LWCa,gH2O/cm2,41
Mass20,g,g,,NA,NA,NA,NA,41,Mass20,g,41
Narea,mgN/cm2,mgN/cm2,g m-2,N,10,leaf_N_perArea,Leaf nitrogen (N) content per leaf area,41,Narea,mgN/cm2,41
Nmass,mgN/g,mgN/g,mg g-1,N,1,leaf_N_perDryMass,Leaf nitrogen (N) content per leaf dry mass,41,Nmass,mgN/g,41
order,,,,NA,NA,NA,NA,41,order,,41
Parea,mgP/cm2,mgP/cm2,g m-2,N,10,leaf_P_perArea,Leaf phosphorus (P) content per leaf area,41,Parea,mgP/cm2,41
Pmass,mgP/g,mgP/g,mg g-1,N,1,leaf_P_perDryMass,Leaf phosphorus (P) content per leaf dry mass,41,Pmass,mgP/g,41
PNUE,?molCO2/s/gN,umolCO2/s/gN,umol CO2 s-1 gN-1,N,1,leaf_PNUE,"Leaf photosynthesis rate per leaf nitrogen (N) content (photosynthetic nitrogen use efficiency, PNUE)",41,PNUE,?molCO2/s/gN,41
PWUE,?,umol CO2 / umol H2O,umol CO2 umol H20 -1,N,1,leaf_PWUE,Leaf photosynthesis rate per leaf transpiration (water use effinciency: WUE),41,PWUE,?,41
specific leaf area,mm2/mg,mm2/mg,mm2 mg-1,N,1,SLA,"Leaf area per leaf dry mass (specific leaf area, SLA)",41,specific leaf area,mm2/mg,41
specific leaf area,cm2/g,cm2/g,mm2 mg-1,N,0.1,SLA,"Leaf area per leaf dry mass (specific leaf area, SLA)",42,specific leaf area,cm2/g,42
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,43,leaf area,cm2,43
leaf mass area,g/m2,g/m2,mm2 mg-1,N,1,LMA,leaf dry mass per area,43,leaf mass area,g/m2,43
dispersal mechanism,,,,C,NA,dispersal_syndrome,Dispersal syndrome,44,dispersal mechanism,NA,44
growth form,,,,C,NA,PlantGrowthForm,Plant Growth Form,44,growth form,NA,44
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,45,leaf area,cm2,45
leaf mass area,g/m2,g/m2,mm2 mg-1,N,1,LMA,leaf dry mass per area,45,leaf mass area,g/m2,45
plant height,m,m,m,N,1,plant_height,Plant height,45,plant height,m,45
plant height,m,m,m,N,1,plant_height,Plant height,46,plant height,m,46
specific leaf area,cm2/g,cm2/g,mm2 mg-1,N,0.1,SLA,"Leaf area per leaf dry mass (specific leaf area, SLA)",46,specific leaf area,cm2/g,46
leaf mass area,g/m2,g/m2,mm2 mg-1,N,1,LMA,leaf dry mass per area,47,leaf mass area,g/m2,47
longevity,,,,C,NA,lifeHistory,"Life history (annual, biennial, perennial, ephemeral)",48,longevity,NA,48
nitrogen fixer,,,,C,NA,nitrogenFixing,Plant nitrogen fixation capacity,48,nitrogen fixer,NA,48
regeneration strategy,,,,C,NA,regen_strategy,Regeneration strategy,48,regeneration strategy,NA,48
root structure,,,,C,NA,root_structure,Root structure,48,root structure,NA,48
growth form,,,,C,NA,PlantGrowthForm,Plant Growth Form,49,growth form,,49
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,49,leaf length maximum,mm,49
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,49,leaf length minimum,mm,49
leaf lobed,,,,C,NA,leaf_lobed,Leaf lobed,49,leaf lobed,,49
leaf longevity,,,,C,NA,LeafPhenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",49,leaf longevity,,49
leaf type,,,,C,NA,leaf_type,LeafType,49,leaf type,,49
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,49,leaf width maximum,mm,49
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,49,leaf width minimum,mm,49
plant height,m,m,m,N,1,plant_height,Plant height,49,plant height,m,49
seed breadth,mm,mm,mm,N,1,seed_breadth,Seed breadth,49,seed breadth,mm,49
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),49,seed length maximum,mm,49
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),49,seed length minimum,mm,49
seed size < 10mm,,,,C,NA,seed_size_lessThan10mm,Seed size less than 10mm,49,seed size < 10mm,,49
seed size > 10mm,,,,C,NA,seed_size_over10mm,Seed size over 10mm,49,seed size > 10mm,,49
seed width maximum,mm,mm,mm,N,1,seed_width_max,Seed width maximum,49,seed width maximum,mm,49
seed width minimum,mm,mm,mm,N,1,seed_width_min,Seed width minimum,49,seed width minimum,mm,49
wood density,?,kg m-3,mg mm-3,N,0.001,wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",49,wood density,?,49
wood density (family),?,?,,NA,NA,wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",49,wood density (family),?,49
wood density (genus),?,?,,NA,NA,wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",49,wood density (genus),?,49
15-N,?,parts per 1000,per mille,N,1,leaf_delta15N,Leaf nitrogen (C) isotope signature (delta 15N),50,15-N,?,50
delta 13C,?,unknown,per mille,N,1,leaf_delta13C,Leaf carbon (C) isotope signature (delta 13C),50,delta 13C,?,50
growth form,,,,C,NA,PlantGrowthForm,Plant Growth Form,50,growth form,,50
longevity,,,,C,NA,LeafPhenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",50,longevity,,50
nitrogen fixer,,,,C,NA,nitrogenFixing,Plant nitrogen fixation capacity,50,nitrogen fixer,,50
Nmass,?,%,mg g-1,N,10,leaf_N_perDryMass,Leaf nitrogen (N) content per leaf dry mass,50,Nmass,?,50
photosynthetic pathway,,,,C,NA,photosynthetic_pathway,Photosynthetic pathway,50,photosynthetic pathway,,50
Pmass,?,%,mg g-1,N,10,leaf_P_perDryMass,Leaf phosphorus (P) content per leaf dry mass,50,Pmass,?,50
leaf longevity,,,,C,NA,LeafPhenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",51,leaf longevity,,51
longevity,,,,C,NA,lifeHistory,"Life history (annual, biennial, perennial, ephemeral)",51,longevity,,51
nitrogen fixer,,,,C,NA,nitrogenFixing,Plant nitrogen fixation capacity,51,nitrogen fixer,,51
Nmass,,%,mg g-1,N,10,leaf_N_perDryMass,Leaf nitrogen (N) content per leaf dry mass,51,Nmass,,51
photosynthetic pathway,,,,C,NA,photosynthetic_pathway,Photosynthetic pathway,51,photosynthetic pathway,,51
plant height maximum,cm,cm,m,N,0.01,plant_height_max,Plant height maximum,51,plant height maximum,cm,51
seed mass,mg,mg,mg,N,1,seed_mass,Seed dry mass,51,seed mass,mg,51
specific leaf area,cm2/g,cm2/g,mm2 mg-1,N,0.1,SLA,"Leaf area per leaf dry mass (specific leaf area, SLA)",51,specific leaf area,cm2/g,51
Carea,?,g/m2,g m-2,N,1,leaf_C_perArea,Leaf carbon (C) content per leaf area,52,Carea,?,52
Cmass,?,mg/g,mg g-1,N,1,leaf_C_perDrymass,Leaf carbon (C) content per dry mass,52,Cmass,?,52
compound_l,,,,C,NA,LeafCompoundness,Leaf compoundness,52,compound_l,,52
evergreen,,,,C,NA,LeafPhenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",52,evergreen,,52
latitude,,,,NA,NA,NA,NA,52,latitude,,52
leaf area,?,mm2,mm2,N,1,leaf_area,Leaf area,52,leaf area,?,52
longitude,,,,NA,NA,NA,NA,52,longitude,,52
Narea,?,g/m2,g m-2,N,1,leaf_N_perArea,Leaf nitrogen (N) content per leaf area,52,Narea,?,52
nitrogen fixer,,,,C,NA,nitrogenFixing,Plant nitrogen fixation capacity,52,nitrogen fixer,,52
Nmass,?,mg /g,mg g-1,N,1,leaf_N_perDryMass,Leaf nitrogen (N) content per leaf dry mass,52,Nmass,?,52
Parea,?,g / m2,g m-2,N,1,leaf_P_perArea,Leaf phosphorus (P) content per leaf area,52,Parea,?,52
photosynth,,,,NA,NA,NA,NA,52,photosynth,,52
plant height,m,m,m,N,1,plant_height,Plant height,52,plant height,m,52
Pmass,?,mg /g,mg g-1,N,1,leaf_P_perDryMass,Leaf phosphorus (P) content per leaf dry mass,52,Pmass,?,52
seed mass,?,mg,mg,N,1,seed_mass,Seed dry mass,52,seed mass,?,52
specific leaf area,mm2/mg,mm2/mg,mm2 mg-1,N,1,SLA,"Leaf area per leaf dry mass (specific leaf area, SLA)",52,specific leaf area,mm2/mg,52
woodiness,,,,C,NA,woodiness,Woodiness,52,woodiness,,52
seed_mass,mg,mg,mg,N,1,seed_mass,Seed dry mass,53,seed_mass,mg,53
flowering time,,,,C,NA,flowering_time,Plant reproductive phenology timing (flowering),54,flowering time,,54
habit,,,,C,NA,growth_habit,Growth habit (data actually describes plant vegetative reproduction capacity),54,habit,,54
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,54,leaf length maximum,mm,54
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,54,leaf length minimum,mm,54
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,54,leaf width maximum,mm,54
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,54,leaf width minimum,mm,54
longevity,,,,C,NA,lifeHistory,"Life history (annual, biennial, perennial, ephemeral)",54,longevity,,54
photosynthetic pathway,,,,C,NA,photosynthetic_pathway,Photosynthetic pathway,54,photosynthetic pathway,,54
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,54,plant height maximum,m,54
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,54,plant height minimum,m,54
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),54,seed length maximum,mm,54
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),54,seed length minimum,mm,54
seed mass,mg,mg,mg,N,1,seed_mass,Seed dry mass,54,seed mass,mg,54
growth form,,,,C,NA,PlantGrowthForm,Plant Growth Form,55,growth form,,55
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,55,leaf length maximum,mm,55
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,55,leaf length minimum,mm,55
leaf shape,,,,C,NA,leaf_shape,Leaf shape,55,leaf shape,,55
leaf type,,,,C,NA,leaf_type,LeafType,55,leaf type,,55
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,55,leaf width maximum,mm,55
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,55,leaf width minimum,mm,55
longevity,,,,C,NA,lifeHistory,"Life history (annual, biennial, perennial, ephemeral)",55,longevity,,55
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,55,plant height maximum,m,55
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,55,plant height minimum,m,55
flowering time,,,,C,NA,flowering_time,Plant reproductive phenology timing (flowering),56,flowering time,,56
growth form,,,,C,NA,PlantGrowthForm,Plant Growth Form,56,growth form,,56
leaf length maximum,cm,cm,mm,N,10,leaf_length_max,Leaf length maximum,56,leaf length maximum,cm,56
leaf length minimum,cm,cm,mm,N,10,leaf_length_min,Leaf length minimum,56,leaf length minimum,cm,56
leaf longevity,,,,C,NA,LeafPhenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",56,leaf longevity,,56
leaf shape,,,,C,NA,leaf_shape,Leaf shape,56,leaf shape,,56
leaf type,,,,C,NA,leaf_type,LeafType,56,leaf type,,56
leaf width maximum,cm,cm,mm,N,10,leaf_width_max,Leaf width maximum,56,leaf width maximum,cm,56
leaf width minimum,cm,cm,mm,N,10,leaf_width_min,Leaf width minimum,56,leaf width minimum,cm,56
longevity,,,,C,NA,lifeHistory,"Life history (annual, biennial, perennial, ephemeral)",56,longevity,,56
plant height,m,m,m,N,1,plant_height,Plant height,56,plant height,m,56
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,56,plant height minimum,m,56
seed breadth,mm,mm,mm,N,1,seed_breadth,Seed breadth,56,seed breadth,mm,56
seed length,mm,mm,mm,N,1,seed_length,Seed length,56,seed length,mm,56
seed shape,,,,C,NA,seed_shape,Seed shape,56,seed shape,,56
seed width,mm,mm,mm,N,1,seed_width,Seed width,56,seed width,mm,56
dispersal mechanism,,,,C,NA,dispersal_syndrome,Dispersal syndrome,57,dispersal mechanism,,57
growth form,,,,C,NA,PlantGrowthForm,Plant Growth Form,57,growth form,,57
LDMC,mg/g,mg/g,g g-1,N,0.001,LDMC,Leaf dry mass per leaf fresh mass ,57,LDMC,mg/g,57
LDMC,%,%,g g-1,N,0.01,LDMC,Leaf dry mass per leaf fresh mass ,57,LDMC,%,57
leaf area,mm2,mm2,mm2,N,1,leaf_area,Leaf area,57,leaf area,mm2,57
longevity,,,,C,NA,lifeHistory,"Life history (annual, biennial, perennial, ephemeral)",57,longevity,,57
plant height,cm,cm,m,N,0.01,plant_height,Plant height,57,plant height,cm,57
seed mass,mg,mg,mg,N,1,seed_mass,Seed dry mass,57,seed mass,mg,57
specific leaf area,mg/mm2,mg/mm2,mm2 mg-1,N,1,SLA,"Leaf area per leaf dry mass (specific leaf area, SLA)",57,specific leaf area,mg/mm2,57
growth form ,,,,C,NA,PlantGrowthForm,Plant Growth Form,58,growth form ,,58
leaf length extreme maximum,mm,mm,mm,N,1,leaf_length_max_extreme,Leaf length extreme maximum,58,leaf length extreme maximum,mm,58
leaf length extreme minimum,mm,mm,mm,N,1,leaf_length_min_extreme,Leaf length extreme minimum,58,leaf length extreme minimum,mm,58
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,58,leaf length maximum,mm,58
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,58,leaf length minimum,mm,58
leaf shape ,,,,C,NA,leaf_shape,Leaf shape,58,leaf shape ,,58
leaf type ,,,,C,NA,leaf_type,LeafType,58,leaf type ,,58
leaf width extreme maximum,mm,mm,mm,N,1,leaf_width_max_extreme,Leaf width extreme maximum,58,leaf width extreme maximum,mm,58
leaf width extreme minimum,mm,mm,mm,N,1,leaf_width_min_extreme,Leaf width extreme minimum,58,leaf width extreme minimum,mm,58
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,58,leaf width maximum,mm,58
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,58,leaf width minimum,mm,58
plant height extreme maximum,m,m,m,N,1,plant_height_max_extreme,Plant height maximum extreme,58,plant height extreme maximum,m,58
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,58,plant height maximum,m,58
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,58,plant height minimum,m,58
seed breadth maximum,mm,mm,mm,N,1,seed_breadth_max,Seed breadth maximum,58,seed breadth maximum,mm,58
seed breadth minimum,mm,mm,mm,N,1,seed_breadth_min,Seed breadth min,58,seed breadth minimum,mm,58
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),58,seed length maximum,mm,58
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),58,seed length minimum,mm,58
seed shape,,,,C,NA,seed_shape,Seed shape,58,seed shape,,58
seed width maximum,mm,mm,mm,N,1,seed_width_max,Seed width maximum,58,seed width maximum,mm,58
seed width minimum,mm,mm,mm,N,1,seed_width_min,Seed width minimum,58,seed width minimum,mm,58
"wood density, oven dry mass/fresh volume",g/cm3,g/cm3,mg mm-3,N,1,wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",59,"wood density, oven dry mass/fresh volume",g/cm3,59
dispersal mechanism,,,,C,NA,dispersal_syndrome,Dispersal syndrome,60,dispersal mechanism,,60
flowering time,,,,C,NA,flowering_time,Plant reproductive phenology timing (flowering),60,flowering time,,60
fruiting time,,,,C,NA,fruiting_time,Plant reproductive phenology timing (fruiting),60,fruiting time,,60
growth form,,,,C,NA,PlantGrowthForm,Plant Growth Form,60,growth form,,60
leaf length,mm,mm,mm,N,1,leaf_length,Leaf length,60,leaf length,mm,60
leaf longevity,,,,C,NA,LeafPhenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",60,leaf longevity,,60
leaf shape,,,,C,NA,leaf_shape,Leaf shape,60,leaf shape,,60
leaf type,,,,C,NA,leaf_type,LeafType,60,leaf type,,60
leaf width,mm,mm,mm,N,1,leaf_width,Leaf width,60,leaf width,mm,60
longevity ,,,,C,NA,lifeHistory,"Life history (annual, biennial, perennial, ephemeral)",60,longevity ,,60
plant height,m,m,m,N,1,plant_height,Plant height,60,plant height,m,60
seed breadth,mm,mm,mm,N,1,seed_breadth,Seed breadth,60,seed breadth,mm,60
seed length,mm,mm,mm,N,1,seed_length,Seed length,60,seed length,mm,60
seed shape,,,,C,NA,seed_shape,Seed shape,60,seed shape,,60
seed width,mm,mm,mm,N,1,seed_width,Seed width,60,seed width,mm,60
Aarea,?,umolCO2/m2/s,umol m-2 s-1,N,1,photosyntheticRate_perArea,Leaf photosynthesis rate per leaf area,61,Aarea,?,61
Amass,umol/kg/s,umol/kg/s,umol g-1 s-1,N,1,photosyntheticRate_perDryMass,Leaf photosynthesis rate per leaf dry mass,61,Amass,umol/kg/s,61
bark thickness (bark/whole stem),,,mm,N,1,bark_thickness,Bark thickness,61,bark thickness (bark/whole stem),,61
d13C,?,unknown,per mille,N,1,leaf_delta13C,Leaf carbon (C) isotope signature (delta 13C),61,d13C,?,61
E,mmol/m2/s,mmol/m2/s,mmol m-2 s-1,N,1,leaf_elasticModulus,Leaf elastic modulus,61,E,mmol/m2/s,61
Kl,10^4 x kg m-1 s-1 MPa -1,10^4 x kg m-1 s-1 MPa -1,10^4 x kg m-1 s-1 MPa -1,N,1,leaf_specificConductivity,Leaf area-specific conductivity / leaf specific conductivity,61,Kl,10^4 x kg m-1 s-1 MPa -1,61
Ksap,kg m-1 s-1 MPa -1,kg m-1 s-1 MPa -1,kg m-1 s-1 MPa -1,N,1,sapwood_specificConductivity,Sapwood specific conductivity / stem specific conductivity,61,Ksap,kg m-1 s-1 MPa -1,61
LA/SA,m2/m2,m2/m2,m2 m-2,N,1,leafArea_perSapwoodArea,Leaf area per sapwood area,61,LA/SA,m2/m2,61
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,61,leaf area,cm2,61
leaf mass area,g/m2,g/m2,mm2 mg-1,N,1,LMA,leaf dry mass per area,61,leaf mass area,g/m2,61
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,61,plant height maximum,m,61
PSImd,MPa,MPa,,NA,NA,NA,NA,61,PSImd,MPa,61
PSIpd,Mpa,Mpa,,NA,NA,NA,NA,61,PSIpd,Mpa,61
Rarea,?,mmol CO2 m-2 s-1,mmol m-2 s-1,N,1,leaf_darkRespiration_perArea,Leaf respiration rate per leaf area,61,Rarea,?,61
Rmass,umol/kg/s,umol/kg/s,umol kg-1 s-1,N,1,leaf_darkRespiration_perDryMass,Leaf respiration rate per leaf dry mass,61,Rmass,umol/kg/s,61
SA,mm,mm,mm2,N,1,stem_crossSectionArea,Stem cross-sectional area,61,SA,mm,61
wood density (Kasia),?,g / cm3,mg mm-3,N,1,wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",61,wood density (Kasia),?,61
wood density (Sean),?,g / cm3,mg mm-3,N,1,wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",61,wood density (Sean),?,61
WUE,mmol CO2/mol H2O/m2/s,mmol CO2/mol H2O/m2/s,,NA,NA,NA,NA,61,WUE,mmol CO2/mol H2O/m2/s,61
d13C,?,unknown,per mille,N,1,leaf_delta13C,Leaf carbon (C) isotope signature (delta 13C),62,d13C,?,62
d15N,?,unknown,per mille,N,1,leaf_delta15N,Leaf nitrogen (C) isotope signature (delta 15N),62,d15N,?,62
leaf carbon,%,%,mg g-1,N,10,leaf_C_perDryMass,Leaf carbon (C) content per leaf dry mass,62,leaf carbon,%,62
leaf nitrogen,?,mg /g,mg g-1,N,1,leaf_N_perDryMass,Leaf nitrogen (N) content per leaf dry mass,62,leaf nitrogen,?,62
leaf phosphorous,?,ug / g,mg g-1,N,0.001,leaf_P_perDryMass,Leaf phosphorus (P) content per leaf dry mass,62,leaf phosphorous,?,62
Aarea,?,umol/m2/s,umol m-2 s-1,N,1,photosyntheticRate_perArea,Leaf photosynthesis rate per leaf area,63,Aarea,?,63
Amass,?,nmol g-1 s-1,umol g-1 s-1,N,0.001,photosyntheticRate_perDryMass,Leaf photosynthesis rate per leaf dry mass,63,Amass,?,63
growth form,,,,C,NA,PlantGrowthForm,Plant Growth Form,63,growth form,,63
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,63,leaf area,cm2,63
leaf chlorophyll,umol/g,umol/g,umol g-1,N,1,leaf_chlorophyll_perDryMass,Leaf chlorophyll content per leaf dry mass,63,leaf chlorophyll,umol/g,63
leaf longevity,,,,C,NA,LeafPhenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",63,leaf longevity,,63
leaf longevity,month,month,month,N,1,leaf_lifespan,Leaf lifespan (longevity),63,leaf longevity,month,63
leaf thickness,mm,mm,mm,N,1,leaf_thickness,Leaf thickness,63,leaf thickness,mm,63
leaf type,,,,C,NA,leaf_type,LeafType,63,leaf type,,63
Narea,?,g/m2,g m-2,N,1,leaf_N_perArea,Leaf nitrogen (N) content per leaf area,63,Narea,?,63
nitrogen fixer,,,,C,NA,nitrogenFixing,Plant nitrogen fixation capacity,63,nitrogen fixer,,63
Nmass,?,%,mg g-1,N,10,leaf_N_perDryMass,Leaf nitrogen (N) content per leaf dry mass,63,Nmass,?,63
Parea,?,g / m2,g m-2,N,1,leaf_P_perArea,Leaf phosphorus (P) content per leaf area,63,Parea,?,63
photosynthetic pathway,,,,C,NA,photosynthetic_pathway,Photosynthetic pathway,63,photosynthetic pathway,,63
Pmass,?,%,mg g-1,N,10,leaf_P_perDryMass,Leaf phosphorus (P) content per leaf dry mass,63,Pmass,?,63
specific leaf area,cm2/g,cm2/g,mm2 mg-1,N,0.1,SLA,"Leaf area per leaf dry mass (specific leaf area, SLA)",63,specific leaf area,cm2/g,63
water content (saturated),gH2O/gDW,gH2O/gDW,gH2O gDW-1,N,1,leaf_waterContent_perMass,Leaf water content per mass,63,water content (saturated),gH2O/gDW,63
water content?,%,%,%,N,1,leaf_waterContent_perMass,Leaf water content per mass,63,water content?,%,63
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,64,leaf area,cm2,64
leaf mass area,mg/cm2,mg/cm2,mm2 mg-1,N,10,LMA,leaf dry mass per area,64,leaf mass area,mg/cm2,64
leaf mass area standard error,mg/cm2,mg/cm2,mm2 mg-1,N,10,LMA_SE,leaf dry mass per area standard error,64,leaf mass area standard error,mg/cm2,64
Aarea,umol/m2/s,umol/m2/s,umol m-2 s-1,N,1,photosyntheticRate_perArea,Leaf photosynthesis rate per leaf area,65,Aarea,umol/m2/s,65
Amass,nmol/g/s,nmol/g/s,umol g-1 s-1,N,0.001,photosyntheticRate_perDryMass,Leaf photosynthesis rate per leaf dry mass,65,Amass,nmol/g/s,65
growth form,,,,C,NA,PlantGrowthForm,Plant Growth Form,65,growth form,,65
leaf longevity,,,,C,NA,LeafPhenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",65,leaf longevity,,65
leaf type,,,,C,NA,leaf_type,LeafType,65,leaf type,,65
Narea,g/m2,g/m2,g m-2,N,1,leaf_N_perArea,Leaf nitrogen (N) content per leaf area,65,Narea,g/m2,65
nitrogen fixer,,,,C,NA,nitrogenFixing,Plant nitrogen fixation capacity,65,nitrogen fixer,,65
Nmass,%,%,mg g-1,N,10,leaf_N_perDryMass,Leaf nitrogen (N) content per leaf dry mass,65,Nmass,%,65
photosynthetic pathway,,,,C,NA,photosynthetic_pathway,Photosynthetic pathway,65,photosynthetic pathway,,65
specific leaf area,cm2/g,cm2/g,mm2 mg-1,N,0.1,SLA,"Leaf area per leaf dry mass (specific leaf area, SLA)",65,specific leaf area,cm2/g,65
Aarea,umol/m2/s,umol/m2/s,umol/m2/s,N,1,photosyntheticRate_perArea,Leaf photosynthesis rate per leaf area,66,Aarea,umol/m2/s,66
Amass,nmol/g/s,nmol/g/s,umol g-1 s-1,N,0.001,photosyntheticRate_perDryMass,Leaf photosynthesis rate per leaf dry mass,66,Amass,nmol/g/s,66
growth form,,,,C,NA,PlantGrowthForm,Plant Growth Form,66,growth form,,66
leaf area,,cm2,mm2,N,100,leaf_area,Leaf area,66,,,
leaf form,,,,C,NA,LeafCompoundness,LeafCompoundness,66,leaf form,,66
leaf longevity,,,,C,NA,LeafPhenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",66,longevity,,66
longevity,,,,C,NA,LeafPhenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",66,,,
Narea,g/m2,g/m2,g m-2,N,1,leaf_N_perArea,Leaf nitrogen (N) content per leaf area,66,Narea,g/m2,66
nitrogen fixer,,,,C,NA,nitrogenFixing,Plant nitrogen fixation capacity,66,nitrogen fixer,,66
Nmass,%,%,mg g-1,N,10,leaf_N_perDryMass,Leaf nitrogen (N) content per leaf dry mass,66,Nmass,%,66
photosynthetic pathway,,,,C,NA,photosynthetic_pathway,Photosynthetic pathway,66,photosynthetic pathway,,66
Rdarea,?,mmol CO2 m-2 s-1,umol m-2 s-1,N,1000,leaf_darkRespiration_perArea,Leaf respiration rate per leaf area,66,Rdarea,?,66
Rdmass,?,mmol CO2 g-1 s-1,mmol g-1 s-1,N,1,leaf_darkRespiration_perDryMass,Leaf respiration rate per leaf dry mass,66,Rdmass,?,66
specific leaf area,cm2/g,cm2/g,mm2 mg-1,N,0.1,SLA,"Leaf area per leaf dry mass (specific leaf area, SLA)",66,specific leaf area,cm2/g,66
growth form,,,,C,NA,PlantGrowthForm,Plant Growth Form,67,growth form,,67
leaf area,mm2,mm2,mm2,N,1,leaf_area,Leaf area,67,leaf area,mm2,67
leaf type,,,,C,NA,leaf_type,LeafType,67,leaf type,,67
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,67,plant height maximum,m,67
specific leaf area,cm2/g,cm2/g,mm2 mg-1,N,0.1,SLA,"Leaf area per leaf dry mass (specific leaf area, SLA)",67,specific leaf area,cm2/g,67
