character,unit_in,unit_checked,unit_standard,data_type,conversion,traitname_short,traitname_full,dataset_id,character2,unit2,dataset_id2
leaf N,,%,mg g-1,N,10,leaf_N_perDryMass,Leaf nitrogen (N) content per leaf dry mass,12,leaf N,,12
leaf P,,%,mg g-1,N,10,leaf_P_perDryMass,Leaf phosphorus (P) content per leaf dry mass,12,leaf P,,12
specific leaf area,g/cm2,cm2/g,mm2 mg-1,N,0.1,SLA,"Leaf area per leaf dry mass (specific leaf area, SLA)",12,specific leaf area,g/cm2,12
leaf area,mm2,mm2,mm2,N,1,leaf_area,Leaf area,13,leaf area,mm2,13
leaf N,%,%,mg g-1,N,10,leaf_N_perDryMass,Leaf nitrogen (N) content per leaf dry mass,13,leaf N,%,13
leaf N area,g/m2,g/m2,g m-2,N,1,leaf_N_perArea,Leaf nitrogen (N) content per leaf area,13,leaf N area,g/m2,13
leaf P,%,%,mg g-1,N,10,leaf_P_perDryMass,Leaf phosphorus (P) content per leaf dry mass,13,leaf P,%,13
leaf P area,g/m2,g/m2,g m-2,N,1,leaf_P_perArea,Leaf phosphorus (P) content per leaf area,13,leaf P area,g/m2,13
plant maximum height,m,m,m,N,1,plant_height_max,Plant height maximum,13,plant maximum height,m,13
specific leaf area,cm2/g,mm2 / mg,mm2 mg-1,N,1,SLA,"Leaf area per leaf dry mass (specific leaf area, SLA)",13,specific leaf area,cm2/g,13
growth form,,,,C,NA,PlantGrowthForm,Plant Growth Form,14,growth form,,14
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,14,leaf area,cm2,14
leaf form,,,,C,NA,LeafCompoundness,Leaf compoundness,14,leaf form,,14
leaf longevity,,,,C,NA,LeafPhenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",14,leaf longevity,,14
leaf type,,,,C,NA,leaf_type,LeafType,14,leaf type,,14
N fixer,,,,C,NA,nitrogenFixing,Plant nitrogen fixation capacity,14,N fixer,,14
photosynthetic pathway,,,,C,NA,photosynthetic_pathway,Photosynthetic pathway,14,photosynthetic pathway,,14
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,15,leaf area,cm2,15
leaf mass per area,g/m2,g/m2,mm2 mg-1,N,1,LMA,leaf dry mass per area,16,leaf mass per area,g/m2,16
leaf size,mm2,mm2,mm2,N,1,leaf_area,Leaf area,16,leaf size,mm2,16
longevity,,,,C,NA,LeafPhenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",16,longevity,,16
dispersal appendage,,,,C,NA,dispersal_appendage,Dispersal unit appendages,17,dispersal appendage,,17
dispersal mode,,,,C,NA,dispersal_syndrome,Dispersal syndrome,17,dispersal mode,,17
fruit type,,,,C,NA,fruit_type,Fruit type,17,fruit type,,17
seed volume,mm3,mm3,mm3,N,1,seed_volume,Seed volume,17,seed volume,mm3,17
cell wall fraction mean,,,dimensionless,N,1,leaf_cellWall_fraction,Leaf cell wall fraction (fraction of cell wall material recovered from total leaf biomass),18,cell wall fraction mean,,18
cell wall fraction standard error,,,dimensionless,N,1,leaf_cellWall_fraction_SE,Leaf cell wall fraction (fraction of cell wall material recovered from total leaf biomass) standard error,18,cell wall fraction standard error,,18
cell wall N concentration mean,mmol/g,mmol/g,mmol g-1,N,1,leaf_cellWall_N,Leaf cell wall nitrogen concentration,18,cell wall N concentration mean,mmol/g,18
cell wall N concentration standard error,mmol/g,mmol/g,mmol g-1,N,1,leaf_cellWall_N_SE,Leaf cell wall nitrogen concentration standard error,18,cell wall N concentration standard error,mmol/g,18
cell wall N fraction mean,,,dimensionless,N,1,leaf_cellWall_Nfraction,Leaf cell wall nitrogen fraction,18,cell wall N fraction mean,,18
cell wall N fraction standard error,,,dimensionless,N,1,leaf_cellWall_Nfraction_SE,Leaf cell wall nitrogen fraction standard error,18,cell wall N fraction standard error,,18
leaf age,,,month,C,1,leaf_age,Leaf age (categorical),18,leaf age,,18
leaf mass per area mean,g/m2,g/m2,mm2 mg-1,N,1,LMA,leaf dry mass per area,18,leaf mass per area mean,g/m2,18
leaf mass per area standard error,g/m2,g/m2,mm2 mg-1,N,1,LMA_SE,leaf dry mass per area standard error,18,leaf mass per area standard error,g/m2,18
leaf N mean,mmol/g,mmol/g,mg g-1,N,14.0067,leaf_N_perDryMass,Leaf nitrogen (N) content per leaf dry mass,18,leaf N mean,mmol/g,18
leaf N standard error,mmol/g,mmol/g,mg g-1,N,1,leaf_N_perDryMass_SE,Leaf nitrogen (N) content per leaf dry mass standard error,18,leaf N standard error,mmol/g,18
photosynthetic pathway,,,,C,NA,photosynthetic_pathway,Photosynthetic pathway,18,photosynthetic pathway,,18
thickness mean,mm,mm,mm,N,1,leaf_thickness,Leaf thickness,18,thickness mean,mm,18
thickness standard error,mm,mm,mm,N,1,leaf_thickness_SE,Leaf thickness standard error,18,thickness standard error,mm,18
water content mean,mol/m2,mol/m2,mol m-2,N,1,leaf_waterContent_perArea,Leaf water content per area,18,water content mean,mol/m2,18
water content standard error,mol/m2,mol/m2,mol m-2,N,1,leaf_waterContent_perArea_SE,Leaf water content per area standard error,18,water content standard error,mol/m2,18
growth form,,,,C,NA,PlantGrowthForm,Plant Growth Form,19,growth form,,19
