traitname_short,value,dataset_id,traitname_short_new,value_new
lineage,dicot,2,lineage,dicot
lineage,monocot,2,lineage,monocot
photosynthetic_pathway,C3,2,photosynthetic_pathway,C3
photosynthetic_pathway,C4,2,photosynthetic_pathway,C4
fruit_type,achene,4,fruit_type,achene
fruit_type,achnene,4,fruit_type,achene
fruit_type,anthocarp/nut,4,fruit_type,anthocarp/nut
fruit_type,anthocarp/viscid,4,fruit_type,anthocarp/viscid
fruit_type,berry,4,fruit_type,berry
fruit_type,berry/inf,4,fruit_type,berry/inf
fruit_type,capsule,4,fruit_type,capsule
fruit_type,capsule/explosive,4,fruit_type,capsule/explosive
fruit_type,"capsule/sd, aril",4,fruit_type,"capsule/sd, aril"
fruit_type,capsule/sds (wing),4,fruit_type,capsule/sds (wing)
fruit_type,cypsela,4,fruit_type,cypsela
fruit_type,drupe,4,fruit_type,drupe
fruit_type,drupe/end-elast,4,fruit_type,drupe/end-elast
fruit_type,drupe/fibrous,4,fruit_type,drupe/fibrous
fruit_type,follicle,4,fruit_type,follicle
fruit_type,legume,4,fruit_type,legume
fruit_type,legindehiscent,4,fruit_type,legume/indehiscent
fruit_type,legume/indeh,4,fruit_type,legume/indehiscent
fruit_type,nut,4,fruit_type,nut
fruit_type,nut/winged,4,fruit_type,nut/winged
fruit_type,nutlet,4,fruit_type,nutlet
fruit_type,schizocarp,4,fruit_type,schizocarp
fruit_type,utricle,4,fruit_type,utricle
fruit_type,utricle/p.fleshy,4,fruit_type,utricle/p.fleshy
fruit_type,utricle/spiny,4,fruit_type,utricle/spiny
fruit_type,utrticle,4,fruit_type,utrticle
fruit_type,,4,fruit_type,
dispersal_appendage,Elaiosome,5,dispersal_syndrome,invertebrate
dispersal_appendage,Aril,5,dispersal_syndrome,vertebrate
leaf_type,Bipinnate,5,leaf_compoundness,compound
leaf_type,Phyllode,5,leaf_type,phyllode
dispersal_syndrome,3,6,dispersal_syndrome,unassisted
dispersal_syndrome,1,6,dispersal_syndrome,vertebrate
