genus,species,binomial,longevity,growth form,extreme min height (m),min height (m),max height (m),extreme max height (m),extreme min leaf length (mm),leaf length min (mm),leaf length max (mm),extreme max leaf length (mm),extreme min leaf width (mm),leaf width min (mm),leaf width max (mm),extreme max leaf width (mm),flowering month begin,flowering month end
Melaleuca,genialis,Melaleuca genialis,p,s,,,1.2,,,6.7,10,,,0.8,1.1,,10,10
Melaleuca,ochroma,Melaleuca ochroma,p,s,,0.7,2.5,,,13.5,19,,,1,1.3,,10,11
Melaleuca,protusa,Melaleuca protusa,p,s,,1.8,4,,,40,90,,,0.9,1.5,,9,12
Melaleuca,sophisma,Melaleuca sophisma,p,s,,1,2,,,3.1,6.3,,,1.1,2.1,,11,12
Melaleuca,ulicoides,Melaleuca ulicoides,p,s,,0.6,1,,,3.9,12,,,1.1,2.7,,10,11
