Plot,soil_N,soil_P,soil_Ptot,latitude (deg),longitude (deg),description,nutrient status
HighP_1,3.23,9.9,50.47,-33.37086104,151.316146,sclerophyll forest with rainforest elements on shale,high P
HighP_2,3.57,5.03,140.82,-33.37467103,151.320612,sclerophyll forest with rainforest elements on shale,high P
HighP_3,3.42,5.15,192.16,-33.376334,151.322484,sclerophyll forest with rainforest elements on shale,high P
HighP_4,3.68,6.27,198.93,-33.37888042,151.323881,sclerophyll forest with rainforest elements on shale,high P
HighP_5,3.51,4.73,122.53,-33.37888086,151.3238807,sclerophyll forest with rainforest elements on shale,high P
HighP_6,3.01,5.12,123.6,-33.371761,151.318759,sclerophyll forest with rainforest elements on shale,high P
LowP_1,0.93,4.52,56.26,-33.37405697,151.324011,sclerophyll forest on sandstone,low P
LowP_3,0.74,3.16,48.72,-33.37183384,151.3210927,sclerophyll forest on sandstone,low P
LowP_4,0.69,1.67,45.11,-33.37164433,151.3215423,sclerophyll forest on sandstone,low P
LowP_5,0.81,3.48,51.71,-33.37142061,151.3207965,sclerophyll forest on sandstone,low P
LowP_6,0.71,0.65,15.91,-33.37078912,151.317865,sclerophyll forest on sandstone,low P
LowP_7,0.78,2.57,44.22,-33.37075702,151.317931,sclerophyll forest on sandstone,low P
LowP_2,NA,NA,NA,-33.372321,151.321137,sclerophyll forest on sandstone,low P
