dat_loc,Species,GF,leaf longevity,Nfixer,leaf type,photosynthetic pathway,LMA(g/m2),SLA(cm2/g),LL(mo),DM/FM(g/g),Nmass(%),Narea(g/m2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Adenanthos cygnorum,S,E,N,N,C3,232.6,43.0,39.96,0.44,0.79,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Andersonia heterophylla,S,E,N,N,C3,258.6,38.7,10.80,0.52,0.94,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Astroloma xerophyllum,S,E,N,B,C3,223.1,44.8,8.64,0.56,0.98,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Banksia attenuata,T,E,N,B,C3,284.3,35.2,29.76,0.53,0.81,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Banksia menziesii,T,E,N,B,C3,322.8,31.0,38.04,0.52,0.80,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Bossiaea eriocarpa,S,E,Y,B,C3,201.6,49.6,16.32,0.51,1.89,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Calytrix flavescens,S,E,N,N,C3,238.9,41.9,27.48,0.55,1.03,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Conostephium pendulum,S,E,N,B,C3,216.2,46.2,27.12,0.56,0.91,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Eremaea pauciflora,S,E,N,N,C3,198.9,50.3,14.04,0.50,1.16,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Hibbertia huegelii,S,E,N,B,C3,182.8,54.7,14.76,0.35,1.10,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Hibbertia subvaginata,S,E,N,B,C3,246.0,40.7,17.16,0.40,1.32,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Jacksonia floribunda,S,E,Y,B,C3,311.8,32.1,33.24,0.45,1.61,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Leucopogon conostephioides,S,E,N,B,C3,157.0,63.7,14.04,0.56,1.11,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Lyginia barbata,G,,N,,C3,676.6,14.8,45.60,0.51,0.71,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Macrozamia riedlei,S,E,N,B,C3,290.4,34.4,105.60,0.49,1.73,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Melaleuca acerosa,S,E,N,N,C3,332.5,30.1,24.72,0.47,0.85,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Nuytsia floribunda,T,E,N,B,C3,459.3,21.8,28.44,0.39,0.76,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Patersonia occidentalis,H,,N,,C3,379.2,26.4,28.80,0.32,0.86,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Persoonia saccata,S,E,N,N,C3,462.3,21.6,29.64,0.52,0.71,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Petrophile linearis,S,E,N,B,C3,544.6,18.4,41.64,0.47,0.62,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Regelia ciliata,S,E,N,B,C3,154.3,64.8,18.84,0.46,1.13,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Scholtzia involucrata,S,E,N,B,C3,177.5,56.3,23.64,0.37,1.30,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Stirlingia latifolia,S,E,N,B,C3,290.4,34.4,28.80,0.40,0.93,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Verticordia nitens,S,E,N,N,C3,331.5,30.2,18.36,0.36,1.12,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Xanthorrhoea preissii,S,E,N,N,C3,743.9,13.4,24.00,0.33,0.80,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Anigozanthos humilis,H,,N,,C3,57.7,173.4,3.96,0.08,3.55,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Drosera sp,H,,N,,C3,49.7,201.4,3.96,0.12,1.49,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Gladiolus caryophyllaceus,H,,N,,C3,87.2,114.7,3.96,0.27,1.90,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Pterostylis sp,H,,N,,C3,37.4,267.7,3.96,0.12,2.31,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veneklaas_W_Australia_116,Stylidium sp,H,,N,,C3,112.3,89.0,3.96,0.29,1.83,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
