genus,spp,binomial,max height (m),leaf length min (mm) ,leaf length max (mm) ,leaf width min (mm) ,leaf width max (mm) ,flowering month begin,flowering month end,seed min length (mm),seed max length (mm),longevity,growth form ,min height (m),extreme max height (m),extreme min leaf length (mm),extreme max leaf length (mm),extreme min leaf width (mm),extreme max leaf width (mm),seed min width (mm),seed max width (mm)
Gastrolobium,spinosum,Gastrolobium spinosum,3.5,6,40,7,32,9,12,3,3,p,s,0.3,,45,45,45,45,,
Gastrolobium,euryphyllum,Gastrolobium euryphyllum,2.5,14,28,19,41,9,1,4,4,p,s,,,,,,,,
Gastrolobium,wonganensis,Gastrolobium wonganensis,0.7,7,16,13,21,9,10,,,p,s,,,28,20,28,28,,
Gastrolobium,triangulare,Gastrolobium triangulare,1.5,8,25,12,28,7,11,2.75,2.75,p,s,0.3,,,,,,,
Gastrolobium,trilobum,Gastrolobium trilobum,1.8,11,36,10,20,7,11,2,2,p,s,0.6,,,,,,,
Gastrolobium,aculeatum,Gastrolobium aculeatum,2.5,10,20,6,13,9,11,,,p,s,1,,,,,,,
Gastrolobium,semiteres,Gastrolobium semiteres,1.5,20,40,1,2,8,10,,,p,s,0.5,,,,,,,
Gastrolobium,stenophyllum,Gastrolobium stenophyllum,3,14,45,2,4,9,2,2.5,2.5,p,s,,,,,,,,
Gastrolobium,cuneatum,Gastrolobium cuneatum,2,20,33,5,10,9,2,2.5,2.5,p,s,1,,2.5,61,2.5,,,
Gastrolobium,callistachys,Gastrolobium callistachys,3,30,38,2,2.5,9,11,2.5,2.5,p,s,1,,,56,,,,
Gastrolobium,acrocaroli,Gastrolobium acrocaroli,2.7,45,80,3,6,9,11,,,p,s,1,,2,110,2,8,,
Gastrolobium,involutum,Gastrolobium involutum,2.3,18,40,0.5,1,6,11,,,p,s,1,,,,,,,
Gastrolobium,graniticum,Gastrolobium graniticum,2.5,48,62,19,32,8,9,4,4.5,p,s,1,,,,,,,
Gastrolobium,bilobum,Gastrolobium bilobum,4,10,40,5,15,8,12,3,3.5,p,s,,,,50,,20,,
Gastrolobium,tergiversum,Gastrolobium tergiversum,2,15,24,5,7,10,2,,,p,s,1.5,,,,,,,
Gastrolobium,grandiflorum,Gastrolobium grandiflorum,3,49,74,23,32,2,8,4,5,p,s,0.5,,34,,15,,,
Gastrolobium,brevipes,Gastrolobium brevipes,2.5,20,60,6,20,4,8,3,4,p,s,,,,,,,,
Gastrolobium,congestum,Gastrolobium congestum,2.5,18,41,20,48,9,2,4,4,p,s,0.5,,14,,,,,
Gastrolobium,parviflorum,Gastrolobium parviflorum,2.5,10,35,3,11,8,10,2,3,p,s,0.5,,,,,,,
Gastrolobium,musaceum,Gastrolobium musaceum,2,20,45,2,4.5,8,10,3,3,p,s,0.5,,,,,,,
Gastrolobium,discolor,Gastrolobium discolor,1.5,25,50,5,10,8,10,2.5,3,p,s,0.4,,,,,,,
Gastrolobium,melanocarpum,Gastrolobium melanocarpum,1.8,15,60,1,2,8,10,2,2,p,s,0.4,,,,,,,
Gastrolobium,tetragonophyllum,Gastrolobium tetragonophyllum,1.5,8,15,2,9,8,10,,,p,s,0.3,,,20,,,,
Gastrolobium,villosum,Gastrolobium villosum,0.6,20,45,7,25,8,10,4,5,p,s,0.3,1,,60,,35,,
Gastrolobium,densifolium,Gastrolobium densifolium,0.7,10,16,3,4,9,10,2,2.5,p,s,,,,,,,,
