Site,Site_name,Species abb,Species,Sub-genus,Section,Series,Annual rainfall(mm a-1),Driest quarter rainfall(mm a-1),Evaporation (mm a-1),Rainfall-Evaporation,Rainfall/Evaporation,Area (cm2),Thickness(mm),Width/length,FW/DW,SLA(m2 kg-1),N mass (mg g-1),N area(g m-2),d13C,[Rubisco] (mg g-1),[Chl](mmol g-1),Chl a /b(mol mol-1),Carot/Chl(mmol mol-1),Rubisco N%,Thylakoid N%,Rubisco/Chl(mmol mol-1)
xeric,Glencoe,E. cameronii,Eucalyptus cameronii,Eucalyptus,Capillulus,Pachyphloius,800,148,1500,-700,0.53,21.1,0.4,0.27,1.85,4.54,9.82,2.17,-27.96,8,1972,2.63,302,12.7,14.3,6.99
xeric,Glencoe,E. muellerana,Eucalyptus muellerana,Eucalyptus,Capillulus,Pachyphloius,896,176.2,1300,-404,0.69,30.7,0.4,0.24,1.69,4.61,9.16,2.1,-29.95,9.31,1749,2.88,317,15.18,12.68,12.56
xeric,Glencoe,E. regnans,Eucalyptus regnans,Eucalyptus,Eucalyptus,Regnantes,1200,193,1100,100,1.09,31.2,0.37,0.26,1.66,4.9,11.91,2.44,-28.1,13.54,2277,2.77,287,17.77,13.34,10.01
xeric,Glencoe,E. delegatensis,Eucalyptus delegatensis,Eucalyptus,Cineraceae,Fraxinales,1200,200,,,,29.4,0.47,0.31,1.74,3.96,12.71,3.24,-27.92,12.49,1978,2.48,291,16.7,10.92,12.16
xeric,Glencoe,E. dendromorpha,Eucalyptus dendromorpha,Eucalyptus,Eucalyptus,Strictae,1100,221.3,1300,-200,0.85,24.4,0.4,0.23,1.71,4.1,10.83,2.67,-28.36,17.2,1833,3.16,314,26.15,11.77,18.87
xeric,Glencoe,E. fastigata,Eucalyptus fastigata,Eucalyptus,Eucalyptus,Regnantes,845,183.2,1300,-455,0.65,28.6,0.38,0.19,1.79,5,8.63,1.73,-29.43,19.82,1577,2.7,311,35.89,12.83,23
xeric,Glencoe,E. fraxinoides,Eucalyptus fraxinoides,Eucalyptus,Cineraceae,Fraxinales,545,93.4,1300,-755,0.42,27.1,0.49,0.17,1.73,3.23,10,3.1,-28.66,10.95,1569,2.74,302,16.89,11.1,12.73
xeric,Glencoe,E. obliqua,Eucalyptus obliqua,Eucalyptus,Eucalyptus,Eucalyptus,628,66.3,1500,-872,0.42,28.7,0.42,0.26,1.8,4.07,10.41,2.61,-29.66,17.56,1528,3.08,328,25.73,10.14,17.63
xeric,Glencoe,E. obliqua,Eucalyptus obliqua,Eucalyptus,Eucalyptus,Eucalyptus,1418,208.9,1100,318,1.29,34.8,0.32,0.3,1.61,5.22,13.32,2.46,-28.76,17.85,2324,2.82,289,22.88,12.69,17.51
xeric,Glencoe,E. obliqua,Eucalyptus obliqua,Eucalyptus,Eucalyptus,Eucalyptus,1685,246.7,1500,185,1.12,63,0.43,0.41,1.89,4.32,9.29,2.39,-29.83,5.35,1609,2.8,306,8.17,10.97,15.12
xeric,Glencoe,E. oreades,Eucalyptus oreades,Eucalyptus,Cineraceae,Fraxinales,1048,200.9,1500,-452,0.7,34.4,0.4,0.18,1.69,3.71,14.33,3.87,-28.9,15.79,2294,2.84,275,17.19,11.29,12.23
