site,latitude (deg),longitude (deg),description,MAP (mm),elevation (m),MAT (deg C),soil type (parent material),Primary disturbance,Max canopy height (m),Mean relative humidity (percent) (0900 h)
Mount Wellington,-42.8964,147.2353,alpine heath; sub-alpine heath,864,1260,1.3 – 7.6,derived from Jurassic dolerite,fire (infrequent),"1m alpine, 3m sub-alpine",83
Sea Acres Nature Reserve,-31.4394,152.9185,sub-tropical rain forest,1541,7,13 – 22,NA,NA,NA,77
