genus,species,binomial,longevity,growth form,min height (m),max height (m),leaf length min (mm),leaf length max (mm),leaf width min (mm),leaf width max (mm),flowering month begin,flowering month end,seed min length (mm),seed max length (mm),seed min width (mm),seed max width (mm)
Calytrix,carinata,Calytrix carinata,p,s,,2,1.5,4,0.8,1.5,1,10,4,4,1,1
Calytrix,longiflora,Calytrix longiflora,p,s,,2.5,1.25,5.5,0.75,1.75,1,11,3,5,0.9,1
Calytrix,leptophylla,Calytrix leptophylla,p,s,,2,2,6,0.25,0.3,3,11,3.25,3.25,0.7,0.7
Calytrix,micrairoides,Calytrix micrairoides,p,s,,,4,7,0.5,0.9,2,7,3.5,3.5,0.8,0.8
Calytrix,exstipulata,Calytrix exstipulata,p,s,,4,0.5,2,0.25,1,all year,all year,3,3.5,0.7,0.75
Calytrix,gurulmundensis,Calytrix gurulmundensis,p,s,,2,4,11,0.6,1,7,10,,,,
Calytrix,islensis,Calytrix islensis,p,s,,2,2,3.5,1,1.2,9,9,,,,
Calytrix,decussata,Calytrix decussata,p,s,,1.5,1.5,4,0.25,0.75,1,7,3.5,3.5,0.7,0.7
Calytrix,birdii,Calytrix birdii,p,s,,0.6,1,3.5,0.75,1.3,9,11,,,,
Calytrix,similis,Calytrix similis,p,s,,0.7,2.5,8,0.6,1,1,5,3,3,0.6,0.6
Calytrix,strigosa,Calytrix strigosa,p,s,,1.6,1,7,0.5,2.2,all year,all year,4,4,1.25,1.25
Calytrix,desolata,Calytrix desolata,p,s,,1.3,1,5,0.5,1,3,10,3,3,0.75,0.75
Calytrix,creswellii,Calytrix creswellii,p,s,,,1,3,0.6,1,11,12,,,,
Calytrix,flavescens,Calytrix flavescens,p,s,,0.8,4,9,0.5,1.5,all year,all year,,,,
Calytrix,asperula,Calytrix asperula,p,s,,0.7,1.75,6.5,0.5,1,9,4,,,,
Calytrix,chrysantha,Calytrix chrysantha,p,s,,1,1.25,4,1,1.25,all year,all year,,,,
Calytrix,aurea,Calytrix aurea,p,s,,1.2,5,12,1.5,5,10,1,3.5,3.5,0.75,0.75
Calytrix,drummondii,Calytrix drummondii,p,s,,1,4,20,0.8,1,11,1,,,,
