narrow endemic,victoria,tasmania,forest,family,species name,ht (m),ll (mm),lw (mm),leaf form,habit,notes,notes2
0,1,0,0,Asteraceae,Cratistylis conocephala,1.8,10,5,simple,shrub,,
0,1,0,0,Asteraceae,Ozothamnus phoditotus,2,4,1.5,simple,shrub,,
1,1,0,0,Myrtaceae,Eucalyptus verrucata,8,120,90,simple,tree,guess height mallee,size of adult leaves
0,1,0,0,Rutaceae,Phebalium bullatum,2,15,2.5,simple,shrub,,
1,1,0,1,Rutaceae,Zieria cytisoides,3,42,10,compound,shrub,,
