species,photosynthetic pathway,LMA (g m-2),Leaf [N] (mmol g-1),Cell wall fraction,Cell wall nitrogen concentration (mmol g-1),Cell wall N fraction,Thickness (mm),Water content (mol m-2),Asat (mmol m-2 s-1),A300 (Asat adjusted to Ci=300 mmol mol-1),A300/Na  PNUE (mmol (mol N)-1 s-1),Ci (mmol mol-1),Ci/Ca,Ci/Ca s.e.,Tleaf (oC),Fraction of leaf N in Rubisco,D (%)
Acacia bekleri,c3,184.4,1.83,0.33,0.68,0.12,855,20.9,9.1,16.7,50.1,190,0.52,0.05,27.6,0.042,22.3
Acacia implexa,c3,135.2,1.72,0.38,0.96,0.21,420,12.1,9.1,10.1,45.6,265,0.72,0.03,15.5,0.068,25.9
Banksia blechnifolia,c3,485.3,0.56,0.63,0.25,0.28,1131,17.8,17.5,30.9,102.2,168,0.46,0.05,26.4,0.09,19.2
Banksia serrata,c3,171.4,0.5,0.67,0.14,0.18,754,10.2,5.6,12.4,137.6,136,0.37,0.02,22.3,0.142,20.7
Eucalyptus pauciflora,c3,257.1,0.75,0.38,0.42,0.22,560,13.3,6.1,12,63.1,144,0.39,0.01,18.8,0.077,21.8
Eucalyptus radiata,c3,113.9,1.08,0.37,0.38,0.13,,6.8,6.3,11.7,115.5,159,0.43,0.02,19.9,0.133,22.9
Hakea brownii,c3,511.8,0.32,0.57,0.11,0.2,1327,24,11.6,12.7,79.5,268,0.74,0.03,16.3,0.114,20.2
Hakea salicifolia,c3,140,0.62,0.51,0.37,0.31,,8,7.5,10.3,112.8,216,0.59,0.02,20.8,0.127,21.3
Hardenbergia comptoniana,c3,80.4,2.02,0.28,0.78,0.11,284,9.4,16,21.8,123,217,0.61,0.02,24.4,0.119,22
Hardenbergia violacea,c3,126.5,1.21,0.4,0.3,0.1,550,11,10.4,16.2,103.2,193,0.54,0.01,24.3,0.1,20.2
Lasiopetalum discolor,c3,166.2,0.61,0.51,0.23,0.19,808,11.4,11.6,19.8,129.2,191,0.53,0.03,30,0.101,20
Lasiopetalum shulzenii,c3,103.6,1.04,0.49,0.23,0.11,829,5.4,6.7,13.2,151.3,155,0.42,0.05,23.8,0.146,21.1
Pomaderris apetala,c3,85.4,0.99,0.4,0.41,0.16,701,6.6,7.3,9.1,144.2,240,0.66,0.03,22.8,0.15,22.2
Pomaderris eriocephala,c3,166.6,0.87,0.37,0.38,0.16,608,11.2,7.2,10.1,84.3,196,0.53,0.05,22.5,0.088,19.3
Rulingia magnifolia,c3,89.9,0.98,0.47,0.47,0.22,,4.6,12.9,15.9,161.8,243,0.67,0.01,26,0.148,21.5
Rulingia salvifolia,c3,82,1.32,0.49,0.55,0.21,320,4.8,12.8,16.9,163.5,223,0.61,0.01,22.6,0.17,20.6
Eucalyptus bridgesiana,,80.8,1.13,0.28,0.45,0.12,261,7.4,10.8,11.1,119.1,303.1,0.82,0.02,23.3,0.122,24.6
Eucalyptus bridgesiana,,54.5,1.32,0.22,0.93,0.18,201,6.8,8.8,9,125.2,314.7,0.86,0.02,23.3,0.124,25.2
Eucalyptus bridgesiana,,49.5,1.85,0.23,1.17,0.15,225,7,13.1,13.7,153.3,302,0.84,0.02,22.4,0.158,24.6
Eucalyptus elata,,63.3,0.72,0.29,0.46,0.19,235,8.8,5.8,5.1,111.4,328.4,0.88,0.01,23.1,0.126,22.6
Eucalyptus elata,,57,1.02,0.38,0.63,0.23,217,6.7,10.3,10.2,179.2,313.8,0.86,0.02,23.2,0.18,26.2
Eucalyptus mannifera,,94.8,0.9,0.33,0.38,0.13,295,10.3,15.4,15.9,172.5,314.9,0.86,0.02,23.4,0.168,25.6
Eucalyptus mannifera,,62.2,1.21,0.27,0.73,0.2,205,8.2,10.7,9.6,125.2,335.2,0.91,0.02,22.4,0.139,26
Eucalyptus mannifera,,57.5,1.41,0.27,0.73,0.13,247,8.3,13.4,12.6,162.2,293.5,0.81,0.05,23.6,0.184,25.6
Eucalyptus moorei,,241,0.59,0.38,0.28,0.18,655,20.8,14.5,15.7,110,279.8,0.78,0.02,21.4,0.12,21.6
Eucalyptus pauciflora,,172.9,0.64,0.35,0.36,0.2,565,16.4,15.2,16.3,140.1,278.4,0.78,0.03,22.6,0.149,23.7
Eucalyptus polyanthemos,,121.5,1.14,0.37,0.73,0.24,383,11.7,16.8,16.4,117,304,0.86,0.02,22,0.131,23.5
Eucalyptus polyanthemos,,53,2.51,0.32,1.61,0.21,249,8.9,18,17.7,138.9,298.9,0.85,0.02,21.9,0.158,24.4
Eucalyptus rossii,,181.4,0.69,0.26,0.19,0.07,431,13.7,17.9,18.3,145.4,292.2,0.82,0.02,21.8,0.159,23.7
