Species Name,Location,Months Until First Fruiting,Resprouter,Persistent canopy seedbank,Persistent soil seedbank,Growth form
Acacia acuminata,"Lake Cronin-Yellowdine area, Western Australia",,Yes,No,Yes,Shrub
Acacia colletioides,"Lake Cronin-Yellowdine area, Western Australia",,No,No,Yes,Shrub
Acacia enervia subsp. enervia,"Lake Cronin-Yellowdine area, Western Australia",,,No,Yes,Shrub
Acacia enervia subsp. explicata,"Lake Cronin-Yellowdine area, Western Australia",,,No,Yes,Shrub
Acacia erinacea,"Lake Cronin-Yellowdine area, Western Australia",,No,No,Yes,Shrub
Acacia hemiteles,"Lake Cronin-Yellowdine area, Western Australia",,No,No,Yes,Shrub
Acacia jennerae,"Lake Cronin-Yellowdine area, Western Australia",,Yes,No,Yes,Shrub
Acacia merrallii,"Lake Cronin-Yellowdine area, Western Australia",,No,No,Yes,Shrub
Acacia nyssophylla,"Lake Cronin-Yellowdine area, Western Australia",,,No,Yes,Shrub
Acacia resinistipulea,"Lake Cronin-Yellowdine area, Western Australia",,,No,Yes,Shrub
Actinobole uliginosum,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Alyxia buxifolia,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Shrub
Amyema miquelii,"Lake Cronin-Yellowdine area, Western Australia",,No,No,No,Aerial parasite
Angianthus tomentosus,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Arthropodium curvipes,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Geophyte
Asteridea athrixioides,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Atriplex nummularia subsp. spathulata,"Lake Cronin-Yellowdine area, Western Australia",,Yes,No,No,Shrub
Atriplex vesicaria,"Lake Cronin-Yellowdine area, Western Australia",,No,No,No,Shrub
Austrodanthonia caespitosa,"Lake Cronin-Yellowdine area, Western Australia",,,No,Yes,Hemicryptophyte
Austrostipa elegantissima,"Lake Cronin-Yellowdine area, Western Australia",,,No,Yes,Hemicryptophyte
Austrostipa trichophylla,"Lake Cronin-Yellowdine area, Western Australia",,,No,Yes,Hemicryptophyte
Blennospora drummondii,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Brachyscome iberidifolia,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Calandrinia eremaea,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Calotis hispidula,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Crassula exserta,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Daucus glochidiatus,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
