Campaign,Year,Ring,CO2Treat,Perc.P,Perc.N,NP,CP,CN
Feb-13,2013,1,Elev,0.033,1.4793,45.45159078,1581.600448,34.79747178
Feb-13,2013,2,Amb,0.038,1.316,34.65751735,1338.791453,38.62917933
Feb-13,2013,3,Amb,0.034,1.6116,47.66457935,1541.145859,32.33314718
Feb-13,2013,4,Elev,0.038,1.3556,35.33195168,1386.974581,39.25553261
Feb-13,2013,5,Elev,0.044425489,1.4172,31.90060582,1161.963585,36.42449901
Feb-13,2013,6,Amb,0.04,1.1821,29.73873781,1284.567056,43.19507656
Feb-14,2014,1,Elev,0.036334921,1.313561202,37.0284808,1560.58754,41.68669407
Feb-14,2014,2,Amb,0.025640782,1.026537859,40.16688174,2027.571279,50.87518836
Feb-14,2014,3,Amb,0.031666667,0.945533333,32.53608729,1819.948237,55.21277224
Feb-14,2014,4,Elev,0.035645206,1.17014234,33.78260419,1507.344917,44.30999037
Feb-14,2014,5,Elev,0.026539751,0.901908399,35.50014569,2082.024617,57.80664589
Feb-14,2014,6,Amb,0.034140305,0.987244803,28.41798204,1476.74633,53.35928176
Feb-15,2015,1,Elev,0.029045495,0.998933333,34.80976968,2201.009556,62.61768806
Feb-15,2015,2,Amb,0.03696875,1.3709,37.08267117,1413.493829,38.11736815
Feb-15,2015,3,Amb,0.018776701,0.725866667,40.50878865,2975.203524,72.61163217
Feb-15,2015,4,Elev,0.018653742,0.6692,38.79531451,2937.400108,75.71533174
Feb-15,2015,5,Elev,0.026246933,1.05585,40.41943888,1946.546713,49.05943921
Feb-15,2015,6,Amb,0.038231638,1.0451,27.33599823,1348.137358,49.31729021
Feb-16,2016,1,Elev,0.042666667,1.064233333,25.25371305,1183.572438,46.77806296
Feb-16,2016,2,Amb,0.035666667,1.031866667,29.41612201,1442.541287,49.60019585
Feb-16,2016,3,Amb,0.027333333,0.918366667,34.07542603,1884.194794,55.60947699
Feb-16,2016,4,Elev,0.025666667,0.863533333,34.70451835,2037.438855,58.68802846
Feb-16,2016,5,Elev,0.03075,0.884,28.96276063,1644.586776,56.87150908
Feb-16,2016,6,Amb,0.028,0.839333333,30.72622103,1810.789685,58.98539704
Feb-17,2017,1,Elev,0.046,1.434166667,33.05633745,1240.380992,36.61532727
Feb-17,2017,2,Amb,0.032666667,1.314833333,40.31658914,1582.933064,39.91024529
Feb-17,2017,3,Amb,0.0365,1.503533333,34.11859315,1221.337144,35.16448967
Feb-17,2017,4,Elev,0.039,1.411966667,37.77191397,1461.234319,37.84487579
Feb-17,2017,5,Elev,0.045666667,1.548,33.90929717,1140.429257,33.72807452
Feb-17,2017,6,Amb,0.03,1.3061,44.59486245,1792.00304,39.72164533
Feb-18,2018,1,Elev,0.032,1.0031,31.47223852,1601.323852,51.55138642
Feb-18,2018,2,Amb,0.0295,0.9612,32.475,1860.726413,57.50597336
Feb-18,2018,3,Amb,0.027,0.8846,32.68983517,1903.221703,58.52581487
Feb-18,2018,4,Elev,0.026,0.86985,34.83076923,1984.669231,59.72683453
Feb-18,2018,5,Elev,0.0295,0.8672,30.52216184,1788.423853,58.11905235
Feb-18,2018,6,Amb,0.021,0.8006,40.19134616,2592.891827,64.1734794
