species,family,location_name,seed_provenance,dormancy_alleviation_treatment,fire_cue_treatment,seed_dormancy_class,seed_length_min (mm),seed_length_max (mm),embryo_type,embryo_to_seed_ratio (%),imbibition_mass_increase (%),seed_viability (%),seed_germination (%),measurement_remarks
Arthropodium strictum,Asparagaceae,"Euroa region, north-eastern Victoria","Merton (36.98S, 145.71E); Longwood (36.87S, 145.42E); Old Euroa (36.65S, 145.62E)",,,PD,2,3,Linear,>50,45,80,,
Arthropodium strictum,Asparagaceae,"Euroa region, north-eastern Victoria","Merton (36.98S, 145.71E); Longwood (36.87S, 145.42E); Old Euroa (36.65S, 145.62E)",fresh seed,Control,,,,,,,,50,standard error = 3%
Arthropodium strictum,Asparagaceae,"Euroa region, north-eastern Victoria","Merton (36.98S, 145.71E); Longwood (36.87S, 145.42E); Old Euroa (36.65S, 145.62E)",stored seed,Control,,,,,,,,49,standard error = 5%
Arthropodium strictum,Asparagaceae,"Euroa region, north-eastern Victoria","Merton (36.98S, 145.71E); Longwood (36.87S, 145.42E); Old Euroa (36.65S, 145.62E)",dry-after-ripening,Control,,,,,,,,65,standard error = 9%; significantly different from fresh seed control (P < 0.05)
Arthropodium strictum,Asparagaceae,"Euroa region, north-eastern Victoria","Merton (36.98S, 145.71E); Longwood (36.87S, 145.42E); Old Euroa (36.65S, 145.62E)",cold stratification,Control,,,,,,,,12,standard error = 3%; significantly different from fresh seed control (P < 0.001)
Arthropodium strictum,Asparagaceae,"Euroa region, north-eastern Victoria","Merton (36.98S, 145.71E); Longwood (36.87S, 145.42E); Old Euroa (36.65S, 145.62E)",warm stratification,Control,,,,,,,,63,standard error = 5%
Arthropodium strictum,Asparagaceae,"Euroa region, north-eastern Victoria","Merton (36.98S, 145.71E); Longwood (36.87S, 145.42E); Old Euroa (36.65S, 145.62E)",fresh seed,Heat,,,,,,,,41,standard error = 9%
Arthropodium strictum,Asparagaceae,"Euroa region, north-eastern Victoria","Merton (36.98S, 145.71E); Longwood (36.87S, 145.42E); Old Euroa (36.65S, 145.62E)",stored seed,Heat,,,,,,,,54,standard error = 8%
Arthropodium strictum,Asparagaceae,"Euroa region, north-eastern Victoria","Merton (36.98S, 145.71E); Longwood (36.87S, 145.42E); Old Euroa (36.65S, 145.62E)",dry-after-ripening,Heat,,,,,,,,78,standard error = 4%; significantly different from fresh seed control (P < 0.001)
Arthropodium strictum,Asparagaceae,"Euroa region, north-eastern Victoria","Merton (36.98S, 145.71E); Longwood (36.87S, 145.42E); Old Euroa (36.65S, 145.62E)",warm stratification,Heat,,,,,,,,64,standard error = 6%
