Species,resprouting_capacity,reproductive_maturity,fire_time_from_fire_to_flowering,fire_time_from_fire_to_50%_flowering,fire_time_from_fire_to_fruit,fire_time_from_fire_to_50%_fruit,seedbank_location,recruitment_timing,post_fire_recruitment,serotiny,plant_height_max
Banksia nutans,fire_killed,6,6,20,6,15,canopy_seedbank,YYNNNNNNNNNY,post_fire_recruitment,serotiny_moderate,4
Banksia baueri,fire_killed,6,6,20,6,15,canopy_seedbank,YYNNNNNNNNNY,post_fire_recruitment,serotiny_moderate,2
Banksia baxteri,fire_killed,5,5,20,6,12,canopy_seedbank,YYNNNNNNNNNY,post_fire_recruitment,serotiny_moderate,2
