KEY,SPECIES,FAMILY,ORDER,CONTINENT,COUNTRY,Climate Type,Seed location,,Coordinates,Seedlot,
ACACAULA,Acacia aulacocarpa,Mimosoideae,Fabales,Australia,Australia,H,Byfield,W,19.43S 146.82E,DPI 12058,
ACACBIDW,Acacia bidwillii,Mimosoideae,Fabales,Australia,Australia,H,"Mareeba, Qld",W,17.00S 145.42E,,
ACACCAMB,Acacia cambagei,Mimosoideae,Fabales,Australia,Australia,SA,Cloncurry,,,,
ACACHARP,Acacia harpophylla,Mimosoideae,Fabales,Australia,Australia,SA,SW Queensland,D,,,
ACACSHIR,Acacia shirleyi,Mimosoideae,Fabales,Australia,Australia,SA,SF865 Byfield,D,,DPI 12071,
ATALHEMI,Atalaya hemiglauca,Sapindaceae,Sapindales,Australia,Australia,SA,Cloncurry,,,,
CASULITT,Casuarina littoralis,Casuarinaceae,Other,Australia,Australia,H,Mount Molloy,W,17.00S 145.42E,,
ERYTVESP,Erythrina vespertilio,Papilionoideae,Fabales,Australia,Australia,H,Townsville,W,19.43S 146.82E,,
EUCACREB,Eucalyptus crebra,Myrtaceae,Myrtales,Australia,Australia,SA,Lava Plains Station,D,18.23S 144.69E,DPI 11149,
EUCAERYT,Eucalyptus erythrophloia,Myrtaceae,Myrtales,Australia,Australia,SA,"Charters Towers, Qld",D,,,
EUCAMELA,Eucalyptus melanophloia,Myrtaceae,Myrtales,Australia,Australia,SA,"Jericho, Qld",,,,
EUCAMINI,Eucalyptus miniata,Myrtaceae,Myrtales,Australia,Australia,H,Undarra Volcanic N.P.,,,,
EUCAPLAT,Eucalyptus platyphylla,Myrtaceae,Myrtales,Australia,Australia,H,Springmount,W,17.12S 145.42E,DPI 2795,
EUCASHIR,Eucalyptus shirleyi,Myrtaceae,Myrtales,Australia,Australia,SA,"Greenvale, Qld",,,,
EUCATESS,Eucalyptus tessellaris,Myrtaceae,Myrtales,Australia,Australia,H,"Mareeba, Queensland",W,17.00S 145.42E,DPI 12330,
GREVPTER,Grevillea pteridifolia,Proteaceae,Other,Australia,Australia,H,Herberton,W,17.38S 145.38E,,
LYSIHOOK,Lysiphyllum hookeri,Caesalpinioideae,Fabales,Australia,Australia,SA,unknown,,,,
MELAVIRI,Melaleuca viridiflora,Myrtaceae,Myrtales,Australia,Australia,H,"Wattle hills, N Qld",W,12.90S 143.315E,,
PETAPUBE,Petalostigma pubescens,Euphorbiaceae,Other,Australia,Australia,SA,"Charters Towers, Qld",D,20.06S 146.20E,,
