Individual,Species,Batch,Nutrient Treatment,Grass Treatment,Continent,Climate,Leaf Habit,RER_mm_per_day,STRL_m_per_g
761,Combretum molle,3,Nh,G0,Africa,Humid,Deciduous,18.06,9.01
762,Combretum molle,3,Nh,G0,Africa,Humid,Deciduous,NA,NA
763,Combretum molle,3,Nh,G0,Africa,Humid,Deciduous,10.36,8.57
764,Combretum molle,3,Nl,G0,Africa,Humid,Deciduous,11.98,12.97
765,Combretum molle,3,Nl,G0,Africa,Humid,Deciduous,4.63,8.95
766,Combretum molle,3,Nl,G0,Africa,Humid,Deciduous,0.63,3.75
767,Combretum molle,3,Nl,G0,Africa,Humid,Deciduous,3.35,10.42
768,Combretum molle,2,Nh,G0,Africa,Humid,Deciduous,17.63,3.63
769,Combretum molle,2,Nh,G0,Africa,Humid,Deciduous,12.52,5.13
770,Combretum molle,2,Nh,G0,Africa,Humid,Deciduous,13.95,7.77
771,Combretum molle,2,Nh,G0,Africa,Humid,Deciduous,17.95,7.95
772,Combretum molle,2,Nh,G0,Africa,Humid,Deciduous,18.18,5.70
773,Combretum molle,2,Nl,G0,Africa,Humid,Deciduous,15.86,7.61
774,Combretum molle,3,Nh,G0,Africa,Humid,Deciduous,18.63,6.23
775,Combretum molle,3,Nh,G0,Africa,Humid,Deciduous,20.35,7.74
776,Combretum molle,3,Nl,G0,Africa,Humid,Deciduous,4.62,5.69
777,Combretum molle,3,Nh,G1,Africa,Humid,Deciduous,NA,NA
778,Combretum molle,3,Nh,G1,Africa,Humid,Deciduous,NA,NA
780,Combretum molle,3,Nh,G1,Africa,Humid,Deciduous,NA,NA
782,Combretum molle,3,Nl,G1,Africa,Humid,Deciduous,NA,NA
783,Combretum molle,3,Nl,G1,Africa,Humid,Deciduous,NA,NA
784,Combretum molle,3,Nl,G1,Africa,Humid,Deciduous,NA,NA
785,Combretum molle,3,Nl,G1,Africa,Humid,Deciduous,NA,NA
787,Combretum molle,2,Nh,G1,Africa,Humid,Deciduous,NA,NA
788,Combretum molle,2,Nh,G1,Africa,Humid,Deciduous,NA,NA
789,Combretum molle,2,Nh,G1,Africa,Humid,Deciduous,NA,NA
790,Combretum molle,2,Nh,G1,Africa,Humid,Deciduous,NA,NA
791,Combretum molle,2,Nh,G1,Africa,Humid,Deciduous,NA,NA
792,Combretum molle,2,Nl,G1,Africa,Humid,Deciduous,NA,NA
793,Combretum molle,2,Nl,G1,Africa,Humid,Deciduous,NA,NA
794,Combretum molle,2,Nl,G1,Africa,Humid,Deciduous,NA,NA
795,Combretum molle,2,Nl,G1,Africa,Humid,Deciduous,NA,NA
796,Combretum molle,2,Nl,G1,Africa,Humid,Deciduous,NA,NA
797,Combretum molle,2,Nl,G0,Africa,Humid,Deciduous,14.38,12.77
798,Combretum molle,2,Nl,G0,Africa,Humid,Deciduous,8.52,9.27
799,Combretum molle,2,Nl,G0,Africa,Humid,Deciduous,6.15,7.69
800,Combretum molle,2,Nl,G0,Africa,Humid,Deciduous,17.49,5.90
801,Combretum zeyheri,1,Nh,G1,Africa,Semi-arid,Deciduous,NA,NA
802,Combretum zeyheri,1,Nh,G1,Africa,Semi-arid,Deciduous,NA,NA
803,Combretum zeyheri,1,Nh,G1,Africa,Semi-arid,Deciduous,NA,NA
804,Combretum zeyheri,1,Nh,G1,Africa,Semi-arid,Deciduous,NA,NA
805,Combretum zeyheri,1,Nh,G0,Africa,Semi-arid,Deciduous,18.33,1.52
806,Combretum zeyheri,1,Nh,G0,Africa,Semi-arid,Deciduous,19.70,2.42
807,Combretum zeyheri,1,Nh,G0,Africa,Semi-arid,Deciduous,23.30,2.72
808,Combretum zeyheri,1,Nh,G0,Africa,Semi-arid,Deciduous,15.10,NA
809,Combretum zeyheri,1,Nh,G0,Africa,Semi-arid,Deciduous,15.01,4.28
810,Combretum zeyheri,1,Nl,G0,Africa,Semi-arid,Deciduous,19.93,1.62
811,Combretum zeyheri,1,Nl,G0,Africa,Semi-arid,Deciduous,17.36,1.17
812,Combretum zeyheri,1,Nl,G0,Africa,Semi-arid,Deciduous,20.30,1.79
813,Combretum zeyheri,1,Nl,G0,Africa,Semi-arid,Deciduous,11.73,2.87
814,Combretum zeyheri,1,Nl,G0,Africa,Semi-arid,Deciduous,20.07,2.31
815,Combretum zeyheri,3,Nh,G0,Africa,Semi-arid,Deciduous,19.39,1.56
816,Combretum zeyheri,3,Nh,G0,Africa,Semi-arid,Deciduous,24.67,1.73
817,Combretum zeyheri,3,Nh,G0,Africa,Semi-arid,Deciduous,20.67,2.33
818,Combretum zeyheri,3,Nh,G0,Africa,Semi-arid,Deciduous,20.10,1.44
819,Combretum zeyheri,3,Nh,G0,Africa,Semi-arid,Deciduous,19.54,3.88
820,Combretum zeyheri,3,Nl,G0,Africa,Semi-arid,Deciduous,18.96,2.53
821,Combretum zeyheri,3,Nl,G0,Africa,Semi-arid,Deciduous,26.01,1.68
822,Combretum zeyheri,3,Nl,G0,Africa,Semi-arid,Deciduous,25.81,1.49
823,Combretum zeyheri,3,Nl,G0,Africa,Semi-arid,Deciduous,NA,NA
824,Combretum zeyheri,3,Nl,G0,Africa,Semi-arid,Deciduous,23.15,1.87
825,Combretum zeyheri,3,Nh,G1,Africa,Semi-arid,Deciduous,NA,NA
826,Combretum zeyheri,3,Nl,G1,Africa,Semi-arid,Deciduous,NA,NA
827,Combretum zeyheri,3,Nl,G1,Africa,Semi-arid,Deciduous,NA,NA
828,Combretum zeyheri,1,Nh,G1,Africa,Semi-arid,Deciduous,NA,NA
829,Combretum zeyheri,1,Nl,G1,Africa,Semi-arid,Deciduous,NA,NA
830,Combretum zeyheri,1,Nl,G1,Africa,Semi-arid,Deciduous,NA,NA
831,Combretum zeyheri,1,Nl,G1,Africa,Semi-arid,Deciduous,NA,NA
832,Combretum zeyheri,1,Nl,G1,Africa,Semi-arid,Deciduous,NA,NA
833,Combretum zeyheri,1,Nl,G1,Africa,Semi-arid,Deciduous,NA,NA
834,Combretum zeyheri,3,Nh,G1,Africa,Semi-arid,Deciduous,NA,NA
835,Combretum zeyheri,3,Nh,G1,Africa,Semi-arid,Deciduous,NA,NA
836,Combretum zeyheri,3,Nh,G1,Africa,Semi-arid,Deciduous,NA,NA
837,Combretum zeyheri,3,Nh,G1,Africa,Semi-arid,Deciduous,NA,NA
838,Combretum zeyheri,3,Nl,G1,Africa,Semi-arid,Deciduous,NA,NA
839,Combretum zeyheri,3,Nl,G1,Africa,Semi-arid,Deciduous,NA,NA
840,Combretum zeyheri,3,Nl,G1,Africa,Semi-arid,Deciduous,NA,NA
844,Dalbergia miscolobium,1,Nl,G0,South America,Humid,Deciduous,11.42,14.64
845,Dalbergia miscolobium,1,Nl,G0,South America,Humid,Deciduous,3.62,3.61
846,Dalbergia miscolobium,1,Nl,G0,South America,Humid,Deciduous,10.93,NA
847,Dalbergia miscolobium,1,Nl,G0,South America,Humid,Deciduous,7.13,11.82
848,Dalbergia miscolobium,2,Nh,G0,South America,Humid,Deciduous,10.67,8.35
849,Dalbergia miscolobium,2,Nh,G0,South America,Humid,Deciduous,10.07,17.29
850,Dalbergia miscolobium,2,Nh,G0,South America,Humid,Deciduous,7.42,6.28
851,Dalbergia miscolobium,2,Nh,G0,South America,Humid,Deciduous,9.87,16.18
852,Dalbergia miscolobium,2,Nh,G0,South America,Humid,Deciduous,12.07,14.43
853,Dalbergia miscolobium,2,Nl,G0,South America,Humid,Deciduous,8.30,11.15
856,Dalbergia miscolobium,1,Nl,G0,South America,Humid,Deciduous,7.59,10.57
857,Dalbergia miscolobium,1,Nh,G1,South America,Humid,Deciduous,NA,NA
861,Dalbergia miscolobium,1,Nh,G1,South America,Humid,Deciduous,NA,NA
862,Dalbergia miscolobium,1,Nl,G1,South America,Humid,Deciduous,NA,NA
863,Dalbergia miscolobium,1,Nl,G1,South America,Humid,Deciduous,NA,NA
864,Dalbergia miscolobium,1,Nl,G1,South America,Humid,Deciduous,NA,NA
865,Dalbergia miscolobium,1,Nl,G1,South America,Humid,Deciduous,NA,NA
866,Dalbergia miscolobium,1,Nl,G1,South America,Humid,Deciduous,NA,NA
867,Dalbergia miscolobium,2,Nh,G1,South America,Humid,Deciduous,NA,NA
868,Dalbergia miscolobium,2,Nh,G1,South America,Humid,Deciduous,NA,NA
869,Dalbergia miscolobium,2,Nh,G1,South America,Humid,Deciduous,NA,NA
870,Dalbergia miscolobium,2,Nh,G1,South America,Humid,Deciduous,NA,NA
871,Dalbergia miscolobium,2,Nh,G1,South America,Humid,Deciduous,NA,NA
872,Dalbergia miscolobium,2,Nl,G1,South America,Humid,Deciduous,NA,NA
873,Dalbergia miscolobium,2,Nl,G1,South America,Humid,Deciduous,NA,NA
874,Dalbergia miscolobium,2,Nl,G1,South America,Humid,Deciduous,NA,NA
876,Dalbergia miscolobium,2,Nl,G1,South America,Humid,Deciduous,NA,NA
877,Dalbergia miscolobium,2,Nl,G0,South America,Humid,Deciduous,12.67,9.66
878,Dalbergia miscolobium,2,Nl,G0,South America,Humid,Deciduous,14.79,12.88
879,Dalbergia miscolobium,2,Nl,G0,South America,Humid,Deciduous,13.50,7.21
880,Dalbergia miscolobium,2,Nl,G0,South America,Humid,Deciduous,8.90,11.93
881,Dichrostachys cinerea,3,Nh,G1,Africa,Semi-arid,Deciduous,NA,NA
882,Dichrostachys cinerea,3,Nh,G1,Africa,Semi-arid,Deciduous,NA,NA
883,Dichrostachys cinerea,3,Nh,G1,Africa,Semi-arid,Deciduous,NA,NA
884,Dichrostachys cinerea,3,Nh,G1,Africa,Semi-arid,Deciduous,NA,NA
885,Dichrostachys cinerea,3,Nh,G1,Africa,Semi-arid,Deciduous,NA,NA
886,Dichrostachys cinerea,3,Nl,G1,Africa,Semi-arid,Deciduous,NA,NA
887,Dichrostachys cinerea,2,Nh,G1,Africa,Semi-arid,Deciduous,NA,NA
888,Dichrostachys cinerea,2,Nh,G1,Africa,Semi-arid,Deciduous,NA,NA
889,Dichrostachys cinerea,2,Nh,G1,Africa,Semi-arid,Deciduous,NA,NA
890,Dichrostachys cinerea,2,Nh,G1,Africa,Semi-arid,Deciduous,NA,NA
891,Dichrostachys cinerea,2,Nh,G1,Africa,Semi-arid,Deciduous,NA,NA
892,Dichrostachys cinerea,2,Nl,G1,Africa,Semi-arid,Deciduous,NA,NA
893,Dichrostachys cinerea,2,Nl,G1,Africa,Semi-arid,Deciduous,NA,NA
894,Dichrostachys cinerea,2,Nl,G1,Africa,Semi-arid,Deciduous,NA,NA
895,Dichrostachys cinerea,2,Nl,G1,Africa,Semi-arid,Deciduous,NA,NA
896,Dichrostachys cinerea,2,Nl,G1,Africa,Semi-arid,Deciduous,NA,NA
897,Dichrostachys cinerea,2,Nh,G0,Africa,Semi-arid,Deciduous,27.23,4.42
898,Dichrostachys cinerea,2,Nh,G0,Africa,Semi-arid,Deciduous,30.03,7.40
899,Dichrostachys cinerea,2,Nh,G0,Africa,Semi-arid,Deciduous,26.63,10.41
900,Dichrostachys cinerea,2,Nh,G0,Africa,Semi-arid,Deciduous,27.81,4.77
901,Dichrostachys cinerea,2,Nh,G0,Africa,Semi-arid,Deciduous,16.01,5.75
902,Dichrostachys cinerea,2,Nl,G0,Africa,Semi-arid,Deciduous,21.18,10.80
903,Dichrostachys cinerea,2,Nl,G0,Africa,Semi-arid,Deciduous,22.09,17.13
904,Dichrostachys cinerea,2,Nl,G0,Africa,Semi-arid,Deciduous,23.09,4.35
905,Dichrostachys cinerea,2,Nl,G0,Africa,Semi-arid,Deciduous,18.75,8.83
906,Dichrostachys cinerea,2,Nl,G0,Africa,Semi-arid,Deciduous,26.38,4.40
907,Dichrostachys cinerea,3,Nl,G0,Africa,Semi-arid,Deciduous,13.29,4.62
908,Dichrostachys cinerea,3,Nl,G0,Africa,Semi-arid,Deciduous,6.97,4.67
909,Dichrostachys cinerea,3,Nl,G0,Africa,Semi-arid,Deciduous,11.29,NA
910,Dichrostachys cinerea,3,Nl,G1,Africa,Semi-arid,Deciduous,NA,NA
911,Dichrostachys cinerea,3,Nl,G1,Africa,Semi-arid,Deciduous,NA,NA
912,Dichrostachys cinerea,3,Nl,G1,Africa,Semi-arid,Deciduous,NA,NA
913,Dichrostachys cinerea,3,Nl,G1,Africa,Semi-arid,Deciduous,NA,NA
914,Dichrostachys cinerea,3,Nh,G0,Africa,Semi-arid,Deciduous,13.58,2.55
915,Dichrostachys cinerea,3,Nh,G0,Africa,Semi-arid,Deciduous,27.15,2.73
916,Dichrostachys cinerea,3,Nh,G0,Africa,Semi-arid,Deciduous,12.01,1.58
917,Dichrostachys cinerea,3,Nh,G0,Africa,Semi-arid,Deciduous,11.29,2.58
918,Dichrostachys cinerea,3,Nh,G0,Africa,Semi-arid,Deciduous,8.04,2.53
919,Dichrostachys cinerea,3,Nl,G0,Africa,Semi-arid,Deciduous,11.58,13.55
920,Dichrostachys cinerea,3,Nl,G0,Africa,Semi-arid,Deciduous,6.26,4.87
921,Dimorphandra mollis,2,Nh,G1,South America,Humid,Deciduous,NA,NA
922,Dimorphandra mollis,2,Nh,G1,South America,Humid,Deciduous,NA,NA
923,Dimorphandra mollis,2,Nh,G1,South America,Humid,Deciduous,NA,NA
925,Dimorphandra mollis,2,Nl,G1,South America,Humid,Deciduous,NA,NA
926,Dimorphandra mollis,2,Nl,G1,South America,Humid,Deciduous,NA,NA
927,Dimorphandra mollis,2,Nl,G1,South America,Humid,Deciduous,NA,NA
928,Dimorphandra mollis,2,Nl,G1,South America,Humid,Deciduous,NA,NA
929,Dimorphandra mollis,2,Nl,G1,South America,Humid,Deciduous,NA,NA
930,Dimorphandra mollis,2,Nh,G0,South America,Humid,Deciduous,8.46,9.90
931,Dimorphandra mollis,2,Nh,G0,South America,Humid,Deciduous,4.31,NA
932,Dimorphandra mollis,2,Nh,G0,South America,Humid,Deciduous,9.46,3.32
933,Dimorphandra mollis,2,Nh,G0,South America,Humid,Deciduous,3.17,4.36
934,Dimorphandra mollis,2,Nh,G0,South America,Humid,Deciduous,8.34,6.32
935,Dimorphandra mollis,2,Nl,G0,South America,Humid,Deciduous,6.43,4.82
936,Dimorphandra mollis,2,Nh,G1,South America,Humid,Deciduous,NA,NA
937,Dimorphandra mollis,1,Nh,G1,South America,Humid,Deciduous,NA,NA
938,Dimorphandra mollis,1,Nh,G1,South America,Humid,Deciduous,NA,NA
939,Dimorphandra mollis,1,Nh,G1,South America,Humid,Deciduous,NA,NA
940,Dimorphandra mollis,3,Nh,G1,South America,Humid,Deciduous,NA,NA
941,Dimorphandra mollis,3,Nh,G1,South America,Humid,Deciduous,NA,NA
942,Dimorphandra mollis,3,Nl,G1,South America,Humid,Deciduous,NA,NA
946,Dimorphandra mollis,1,Nl,G1,South America,Humid,Deciduous,NA,NA
948,Dimorphandra mollis,1,Nh,G0,South America,Humid,Deciduous,5.37,14.21
950,Dimorphandra mollis,1,Nh,G0,South America,Humid,Deciduous,2.34,6.64
951,Dimorphandra mollis,1,Nh,G0,South America,Humid,Deciduous,4.20,17.56
952,Dimorphandra mollis,1,Nl,G0,South America,Humid,Deciduous,1.97,6.67
953,Dimorphandra mollis,1,Nl,G0,South America,Humid,Deciduous,3.54,NA
954,Dimorphandra mollis,1,Nl,G0,South America,Humid,Deciduous,5.34,16.50
955,Dimorphandra mollis,1,Nl,G0,South America,Humid,Deciduous,5.26,11.47
956,Dimorphandra mollis,1,Nl,G0,South America,Humid,Deciduous,1.86,NA
957,Dimorphandra mollis,2,Nl,G0,South America,Humid,Deciduous,NA,NA
958,Dimorphandra mollis,2,Nl,G0,South America,Humid,Deciduous,1.87,6.90
959,Dimorphandra mollis,2,Nl,G0,South America,Humid,Deciduous,0.51,14.50
960,Dimorphandra mollis,2,Nl,G0,South America,Humid,Deciduous,4.20,4.65
961,Erythrina vespertilio,1,Nh,G1,Australia,Humid,Deciduous,NA,NA
962,Erythrina vespertilio,1,Nh,G1,Australia,Humid,Deciduous,NA,NA
963,Erythrina vespertilio,1,Nh,G1,Australia,Humid,Deciduous,NA,NA
965,Erythrina vespertilio,1,Nh,G1,Australia,Humid,Deciduous,NA,NA
966,Erythrina vespertilio,1,Nl,G1,Australia,Humid,Deciduous,NA,NA
967,Erythrina vespertilio,1,Nh,G0,Australia,Humid,Deciduous,28.53,1.54
968,Erythrina vespertilio,1,Nh,G0,Australia,Humid,Deciduous,27.19,3.15
969,Erythrina vespertilio,1,Nh,G0,Australia,Humid,Deciduous,27.19,NA
970,Erythrina vespertilio,1,Nh,G0,Australia,Humid,Deciduous,14.84,NA
972,Erythrina vespertilio,1,Nl,G0,Australia,Humid,Deciduous,33.04,1.85
973,Erythrina vespertilio,1,Nl,G0,Australia,Humid,Deciduous,22.56,4.61
974,Erythrina vespertilio,1,Nl,G0,Australia,Humid,Deciduous,29.24,1.28
975,Erythrina vespertilio,1,Nl,G0,Australia,Humid,Deciduous,32.81,NA
976,Erythrina vespertilio,1,Nl,G0,Australia,Humid,Deciduous,25.41,NA
977,Erythrina vespertilio,3,Nh,G0,Australia,Humid,Deciduous,13.04,NA
978,Erythrina vespertilio,3,Nh,G0,Australia,Humid,Deciduous,27.75,5.45
979,Erythrina vespertilio,3,Nh,G0,Australia,Humid,Deciduous,NA,NA
980,Erythrina vespertilio,3,Nh,G0,Australia,Humid,Deciduous,NA,NA
981,Erythrina vespertilio,3,Nh,G0,Australia,Humid,Deciduous,19.22,7.01
982,Erythrina vespertilio,3,Nl,G0,Australia,Humid,Deciduous,12.16,5.43
984,Erythrina vespertilio,3,Nl,G0,Australia,Humid,Deciduous,27.75,4.09
986,Erythrina vespertilio,3,Nl,G0,Australia,Humid,Deciduous,NA,NA
988,Erythrina vespertilio,3,Nl,G1,Australia,Humid,Deciduous,NA,NA
991,Erythrina vespertilio,1,Nl,G1,Australia,Humid,Deciduous,NA,NA
992,Erythrina vespertilio,1,Nl,G1,Australia,Humid,Deciduous,NA,NA
993,Erythrina vespertilio,1,Nl,G1,Australia,Humid,Deciduous,NA,NA
994,Erythrina vespertilio,1,Nl,G1,Australia,Humid,Deciduous,NA,NA
999,Erythrina vespertilio,3,Nh,G1,Australia,Humid,Deciduous,NA,NA
1001,Eucalyptus crebra,1,Nh,G0,Australia,Semi-arid,Evergreen,15.28,42.08
1002,Eucalyptus crebra,1,Nh,G0,Australia,Semi-arid,Evergreen,18.39,36.44
1003,Eucalyptus crebra,1,Nh,G0,Australia,Semi-arid,Evergreen,19.62,26.88
1004,Eucalyptus crebra,1,Nh,G0,Australia,Semi-arid,Evergreen,14.33,NA
1005,Eucalyptus crebra,1,Nl,G0,Australia,Semi-arid,Evergreen,14.51,NA
1006,Eucalyptus crebra,1,Nl,G0,Australia,Semi-arid,Evergreen,6.73,15.50
1007,Eucalyptus crebra,1,Nl,G0,Australia,Semi-arid,Evergreen,13.42,34.43
1008,Eucalyptus crebra,1,Nl,G0,Australia,Semi-arid,Evergreen,1.99,3.57
1009,Eucalyptus crebra,1,Nl,G0,Australia,Semi-arid,Evergreen,4.88,45.75
1010,Eucalyptus crebra,2,Nh,G0,Australia,Semi-arid,Evergreen,6.11,56.50
1011,Eucalyptus crebra,2,Nh,G0,Australia,Semi-arid,Evergreen,13.39,10.69
1012,Eucalyptus crebra,2,Nh,G0,Australia,Semi-arid,Evergreen,11.88,12.59
1013,Eucalyptus crebra,2,Nh,G0,Australia,Semi-arid,Evergreen,9.88,17.90
1014,Eucalyptus crebra,2,Nh,G0,Australia,Semi-arid,Evergreen,6.73,13.85
1015,Eucalyptus crebra,2,Nl,G0,Australia,Semi-arid,Evergreen,6.08,NA
1016,Eucalyptus crebra,2,Nl,G0,Australia,Semi-arid,Evergreen,2.96,5.80
1017,Eucalyptus crebra,1,Nh,G0,Australia,Semi-arid,Evergreen,22.22,32.92
1018,Eucalyptus crebra,1,Nh,G1,Australia,Semi-arid,Evergreen,NA,NA
1019,Eucalyptus crebra,1,Nh,G1,Australia,Semi-arid,Evergreen,NA,NA
1020,Eucalyptus crebra,1,Nh,G1,Australia,Semi-arid,Evergreen,NA,NA
1021,Eucalyptus crebra,1,Nh,G1,Australia,Semi-arid,Evergreen,NA,NA
1022,Eucalyptus crebra,1,Nh,G1,Australia,Semi-arid,Evergreen,NA,NA
1023,Eucalyptus crebra,1,Nl,G1,Australia,Semi-arid,Evergreen,NA,NA
1024,Eucalyptus crebra,1,Nl,G1,Australia,Semi-arid,Evergreen,NA,NA
1025,Eucalyptus crebra,1,Nl,G1,Australia,Semi-arid,Evergreen,NA,NA
1027,Eucalyptus crebra,1,Nl,G1,Australia,Semi-arid,Evergreen,NA,NA
1028,Eucalyptus crebra,2,Nh,G1,Australia,Semi-arid,Evergreen,NA,NA
1029,Eucalyptus crebra,2,Nh,G1,Australia,Semi-arid,Evergreen,NA,NA
1030,Eucalyptus crebra,2,Nh,G1,Australia,Semi-arid,Evergreen,NA,NA
1031,Eucalyptus crebra,2,Nh,G1,Australia,Semi-arid,Evergreen,NA,NA
1032,Eucalyptus crebra,2,Nh,G1,Australia,Semi-arid,Evergreen,NA,NA
1033,Eucalyptus crebra,2,Nl,G1,Australia,Semi-arid,Evergreen,NA,NA
1034,Eucalyptus crebra,2,Nl,G1,Australia,Semi-arid,Evergreen,NA,NA
1035,Eucalyptus crebra,2,Nl,G1,Australia,Semi-arid,Evergreen,NA,NA
1036,Eucalyptus crebra,2,Nl,G1,Australia,Semi-arid,Evergreen,NA,NA
1037,Eucalyptus crebra,2,Nl,G1,Australia,Semi-arid,Evergreen,NA,NA
1038,Eucalyptus crebra,2,Nl,G0,Australia,Semi-arid,Evergreen,10.08,28.08
1039,Eucalyptus crebra,2,Nl,G0,Australia,Semi-arid,Evergreen,10.25,10.60
1040,Eucalyptus crebra,2,Nl,G0,Australia,Semi-arid,Evergreen,6.85,7.41
1041,Eucalyptus erythrophloia,1,Nh,G1,Australia,Semi-arid,Evergreen,NA,NA
1043,Eucalyptus erythrophloia,1,Nl,G1,Australia,Semi-arid,Evergreen,NA,NA
1044,Eucalyptus erythrophloia,1,Nh,G1,Australia,Semi-arid,Evergreen,NA,NA
1045,Eucalyptus erythrophloia,1,Nh,G1,Australia,Semi-arid,Evergreen,NA,NA
1046,Eucalyptus erythrophloia,1,Nh,G1,Australia,Semi-arid,Evergreen,NA,NA
1047,Eucalyptus erythrophloia,1,Nh,G0,Australia,Semi-arid,Evergreen,19.94,18.54
1049,Eucalyptus erythrophloia,1,Nh,G0,Australia,Semi-arid,Evergreen,28.69,14.91
1050,Eucalyptus erythrophloia,1,Nh,G0,Australia,Semi-arid,Evergreen,24.26,34.96
1051,Eucalyptus erythrophloia,1,Nh,G0,Australia,Semi-arid,Evergreen,13.86,56.67
1052,Eucalyptus erythrophloia,1,Nl,G0,Australia,Semi-arid,Evergreen,24.77,49.56
1053,Eucalyptus erythrophloia,1,Nl,G0,Australia,Semi-arid,Evergreen,11.46,20.29
1054,Eucalyptus erythrophloia,1,Nl,G0,Australia,Semi-arid,Evergreen,23.54,29.28
1055,Eucalyptus erythrophloia,1,Nl,G0,Australia,Semi-arid,Evergreen,21.37,36.81
1056,Eucalyptus erythrophloia,1,Nl,G0,Australia,Semi-arid,Evergreen,21.06,40.11
1058,Eucalyptus erythrophloia,2,Nh,G0,Australia,Semi-arid,Evergreen,9.23,24.86
1060,Eucalyptus erythrophloia,2,Nh,G0,Australia,Semi-arid,Evergreen,28.94,23.59
1061,Eucalyptus erythrophloia,2,Nh,G0,Australia,Semi-arid,Evergreen,28.54,26.95
1063,Eucalyptus erythrophloia,2,Nl,G0,Australia,Semi-arid,Evergreen,24.09,33.38
1064,Eucalyptus erythrophloia,2,Nl,G0,Australia,Semi-arid,Evergreen,19.86,18.00
1065,Eucalyptus erythrophloia,2,Nl,G0,Australia,Semi-arid,Evergreen,18.03,50.46
1066,Eucalyptus erythrophloia,2,Nl,G0,Australia,Semi-arid,Evergreen,13.17,44.18
1067,Eucalyptus erythrophloia,2,Nl,G1,Australia,Semi-arid,Evergreen,NA,NA
1068,Eucalyptus erythrophloia,2,Nl,G1,Australia,Semi-arid,Evergreen,NA,NA
1069,Eucalyptus erythrophloia,2,Nl,G1,Australia,Semi-arid,Evergreen,NA,NA
1070,Eucalyptus erythrophloia,2,Nl,G1,Australia,Semi-arid,Evergreen,NA,NA
1071,Eucalyptus erythrophloia,1,Nl,G1,Australia,Semi-arid,Evergreen,NA,NA
1072,Eucalyptus erythrophloia,1,Nl,G1,Australia,Semi-arid,Evergreen,NA,NA
1073,Eucalyptus erythrophloia,1,Nl,G1,Australia,Semi-arid,Evergreen,NA,NA
1074,Eucalyptus erythrophloia,1,Nl,G1,Australia,Semi-arid,Evergreen,NA,NA
1075,Eucalyptus erythrophloia,2,Nh,G1,Australia,Semi-arid,Evergreen,NA,NA
1076,Eucalyptus erythrophloia,2,Nh,G1,Australia,Semi-arid,Evergreen,NA,NA
1077,Eucalyptus erythrophloia,2,Nh,G1,Australia,Semi-arid,Evergreen,NA,NA
1078,Eucalyptus erythrophloia,2,Nh,G1,Australia,Semi-arid,Evergreen,NA,NA
1079,Eucalyptus erythrophloia,2,Nh,G1,Australia,Semi-arid,Evergreen,NA,NA
1080,Eucalyptus erythrophloia,2,Nl,G1,Australia,Semi-arid,Evergreen,NA,NA
1081,Eucalyptus platyphylla,1,Nh,G0,Australia,Humid,Deciduous,20.07,5.41
1082,Eucalyptus platyphylla,1,Nh,G0,Australia,Humid,Deciduous,21.98,6.14
1083,Eucalyptus platyphylla,1,Nh,G0,Australia,Humid,Deciduous,15.81,9.34
1084,Eucalyptus platyphylla,1,Nh,G0,Australia,Humid,Deciduous,12.78,3.41
1085,Eucalyptus platyphylla,1,Nl,G0,Australia,Humid,Deciduous,11.93,15.50
1086,Eucalyptus platyphylla,1,Nl,G0,Australia,Humid,Deciduous,3.44,13.70
1087,Eucalyptus platyphylla,1,Nl,G0,Australia,Humid,Deciduous,3.78,NA
1088,Eucalyptus platyphylla,1,Nl,G0,Australia,Humid,Deciduous,13.24,21.82
1089,Eucalyptus platyphylla,1,Nl,G0,Australia,Humid,Deciduous,5.81,NA
1090,Eucalyptus platyphylla,2,Nh,G0,Australia,Humid,Deciduous,10.04,NA
1091,Eucalyptus platyphylla,2,Nh,G0,Australia,Humid,Deciduous,14.07,9.25
1092,Eucalyptus platyphylla,2,Nh,G0,Australia,Humid,Deciduous,16.61,5.07
1093,Eucalyptus platyphylla,2,Nh,G0,Australia,Humid,Deciduous,14.15,NA
1094,Eucalyptus platyphylla,2,Nh,G0,Australia,Humid,Deciduous,20.70,5.11
1095,Eucalyptus platyphylla,2,Nl,G0,Australia,Humid,Deciduous,1.35,2.46
1096,Eucalyptus platyphylla,2,Nl,G0,Australia,Humid,Deciduous,5.35,4.43
1097,Eucalyptus platyphylla,1,Nh,G0,Australia,Humid,Deciduous,14.81,16.21
1098,Eucalyptus platyphylla,1,Nh,G1,Australia,Humid,Deciduous,NA,NA
1099,Eucalyptus platyphylla,1,Nh,G1,Australia,Humid,Deciduous,NA,NA
1100,Eucalyptus platyphylla,1,Nh,G1,Australia,Humid,Deciduous,NA,NA
1101,Eucalyptus platyphylla,1,Nh,G1,Australia,Humid,Deciduous,NA,NA
1102,Eucalyptus platyphylla,1,Nh,G1,Australia,Humid,Deciduous,NA,NA
1103,Eucalyptus platyphylla,1,Nl,G1,Australia,Humid,Deciduous,NA,NA
1104,Eucalyptus platyphylla,1,Nl,G1,Australia,Humid,Deciduous,NA,NA
1105,Eucalyptus platyphylla,1,Nl,G1,Australia,Humid,Deciduous,NA,NA
1106,Eucalyptus platyphylla,1,Nl,G1,Australia,Humid,Deciduous,NA,NA
1107,Eucalyptus platyphylla,1,Nl,G1,Australia,Humid,Deciduous,NA,NA
