Individual,Species,Batch,Nutrient Treatment,Grass Treatment,Continent,Climate,Leaf Habit,Mass_g,RMF_g_per_g,SER_mm_per_day,SLA_mm2_per_mg,N_mg_per_g,P_mg_per_g,K_mg_per_g,A_nmol_CO2_per_g_s,gs_mmol_H2O_per_m2_s,PWUE_umol_CO2_per_mmol_H2O
1,Acacia aulacocarpa,1,Nh,G0,Australia,Humid,Evergreen,12.13,0.101,0.28,15.03,26.86,2.02,13.38,23.55,16,1.1
2,Acacia aulacocarpa,1,Nh,G0,Australia,Humid,Evergreen,9.73,0.086,0.24,16.34,24.97,2.21,15.48,115.35,54,1.13
3,Acacia aulacocarpa,1,Nh,G0,Australia,Humid,Evergreen,12.13,0.12,0.21,15.04,25.1,1.49,14.06,169.4,69,1.17
4,Acacia aulacocarpa,1,Nh,G0,Australia,Humid,Evergreen,10.12,0.08,0.3,18.45,27.42,1.83,12.93,165.17,71,1.13
6,Acacia aulacocarpa,1,Nl,G0,Australia,Humid,Evergreen,5.31,0.206,0.12,11.68,10.18,0.75,6.66,82.79,64,1.11
7,Acacia aulacocarpa,1,Nl,G0,Australia,Humid,Evergreen,11.64,0.199,0.21,10.96,15.72,0.99,8.75,33.87,45,1.07
8,Acacia aulacocarpa,1,Nl,G0,Australia,Humid,Evergreen,5.54,0.08,0.18,15.48,19.24,1.29,11.88,56.72,34,1.11
10,Acacia aulacocarpa,1,Nl,G0,Australia,Humid,Evergreen,9.88,0.198,0.14,13.97,11.84,1.86,9.67,51.3,116,1.03
11,Acacia aulacocarpa,2,Nh,G0,Australia,Humid,Evergreen,73.02,0.41,0.34,9.44,9.24,1.34,5.94,43.49,58,1.08
12,Acacia aulacocarpa,2,Nh,G0,Australia,Humid,Evergreen,44.38,0.159,0.3,10.68,13.11,2.83,7.28,70.42,255,1.03
13,Acacia aulacocarpa,2,Nh,G0,Australia,Humid,Evergreen,47.07,0.192,0.37,10.93,12.86,2.21,5.07,81.89,163,1.05
14,Acacia aulacocarpa,2,Nh,G0,Australia,Humid,Evergreen,32.94,0.092,0.35,13.56,17.63,3.43,10.8,NA,NA,NA
15,Acacia aulacocarpa,2,Nh,G0,Australia,Humid,Evergreen,43.41,0.131,0.47,12.93,14.03,1.87,7.11,91.49,273,1.03
16,Acacia aulacocarpa,2,Nl,G0,Australia,Humid,Evergreen,8.41,0.12,0.19,13.92,15.1,0.96,10.3,91.45,180,1.04
17,Acacia aulacocarpa,2,Nl,G0,Australia,Humid,Evergreen,7.24,0.211,0.18,12.28,17.18,1.4,11.62,36.61,77,1.04
18,Acacia aulacocarpa,2,Nl,G0,Australia,Humid,Evergreen,23.17,0.161,0.3,8.69,7.84,0.89,4.26,61.8,197,1.04
19,Acacia aulacocarpa,2,Nl,G0,Australia,Humid,Evergreen,10.16,0.109,0.17,13.41,17.26,1.16,6.62,149.86,239,1.05
20,Acacia aulacocarpa,2,Nl,G0,Australia,Humid,Evergreen,13.07,0.159,0.29,11.47,11.33,1.02,5.57,75.56,81,1.08
21,Acacia aulacocarpa,1,Nh,G1,Australia,Humid,Evergreen,0.66,0.013,NA,23.47,23.61,1.86,16.86,139.92,50.63,1.12
22,Acacia aulacocarpa,1,Nh,G1,Australia,Humid,Evergreen,2.02,0.057,NA,14.79,25.93,1.7,8.91,114.87,41,1.19
23,Acacia aulacocarpa,1,Nh,G1,Australia,Humid,Evergreen,0.61,0.055,NA,25.42,28.85,2.8,20.28,1,20.28,1
24,Acacia aulacocarpa,1,Nh,G1,Australia,Humid,Evergreen,0.89,0.051,NA,23.56,27.11,2.02,15.25,6.13,17.35,1.01
25,Acacia aulacocarpa,1,Nl,G1,Australia,Humid,Evergreen,1.25,0.052,NA,22.37,22.04,1.08,13.07,155.35,120,1.06
26,Acacia aulacocarpa,1,Nl,G1,Australia,Humid,Evergreen,0.61,0.045,NA,27,22.63,1.21,16.79,NA,NA,NA
29,Acacia aulacocarpa,1,Nl,G1,Australia,Humid,Evergreen,0.96,0.134,NA,18.15,24.61,1.41,14.11,40.94,19,1.12
30,Acacia aulacocarpa,2,Nh,G1,Australia,Humid,Evergreen,1.24,0.097,NA,19.26,22.56,1.51,8.73,37.6,45,1.04
31,Acacia aulacocarpa,2,Nh,G1,Australia,Humid,Evergreen,1.25,0.069,NA,23.05,16.66,1.9,9.6,146.22,111,1.06
32,Acacia aulacocarpa,2,Nh,G1,Australia,Humid,Evergreen,2.4,0.084,NA,18.99,22.18,1.66,10.23,116.83,160,1.04
33,Acacia aulacocarpa,1,Nh,G1,Australia,Humid,Evergreen,0.58,0.012,NA,28.83,26.95,1.65,16.7,1,12.99,1
34,Acacia aulacocarpa,2,Nh,G1,Australia,Humid,Evergreen,2.17,0.04,NA,25.34,28.22,1.88,10.54,150.52,157,1.04
35,Acacia aulacocarpa,2,Nl,G1,Australia,Humid,Evergreen,0.81,0.127,NA,25.56,15.58,0.95,9.22,110.89,97,1.05
36,Acacia aulacocarpa,2,Nl,G1,Australia,Humid,Evergreen,0.68,0.103,NA,22.25,16.14,1.07,8.25,NA,NA,NA
37,Acacia aulacocarpa,2,Nl,G1,Australia,Humid,Evergreen,1.2,0.114,NA,19.04,16.58,1.44,8.95,65.74,147,1.02
38,Acacia aulacocarpa,2,Nl,G1,Australia,Humid,Evergreen,0.65,0.178,NA,16.61,11.53,1.72,7,25.91,29,1.05
