Individual,Species,Continent,Climate,Leaf Habit,Mass0_g
152,Aspidosperma pyrifolium,South America,Semi-arid,Deciduous,0.08930
153,Brachylaena discolor,Africa,Humid,Evergreen,0.00060
154,Brachylaena discolor,Africa,Humid,Evergreen,0.00070
155,Brachylaena discolor,Africa,Humid,Evergreen,0.00080
156,Brachylaena discolor,Africa,Humid,Evergreen,0.00090
157,Brachylaena discolor,Africa,Humid,Evergreen,0.00090
158,Brachylaena discolor,Africa,Humid,Evergreen,0.00100
159,Brachylaena discolor,Africa,Humid,Evergreen,0.00120
160,Brachylaena discolor,Africa,Humid,Evergreen,0.00130
161,Brachylaena discolor,Africa,Humid,Evergreen,0.00140
162,Brachystegia spiciformis,Africa,Humid,Deciduous,0.32300
183,Brachystegia spiciformis,Africa,Humid,Deciduous,0.33800
184,Brachystegia spiciformis,Africa,Humid,Deciduous,0.35000
185,Brachystegia spiciformis,Africa,Humid,Deciduous,0.38600
186,Brachystegia spiciformis,Africa,Humid,Deciduous,0.38700
187,Brachystegia spiciformis,Africa,Humid,Deciduous,0.39500
188,Brachystegia spiciformis,Africa,Humid,Deciduous,0.43900
189,Brachystegia spiciformis,Africa,Humid,Deciduous,0.45200
190,Brachystegia spiciformis,Africa,Humid,Deciduous,0.46000
192,Brachystegia spiciformis,Africa,Humid,Deciduous,0.52600
193,Caesalpinia pyramidalis,South America,Semi-arid,Deciduous,0.06800
194,Caesalpinia pyramidalis,South America,Semi-arid,Deciduous,0.07500
195,Caesalpinia pyramidalis,South America,Semi-arid,Deciduous,0.07600
196,Caesalpinia pyramidalis,South America,Semi-arid,Deciduous,0.08200
197,Caesalpinia pyramidalis,South America,Semi-arid,Deciduous,0.09200
198,Caesalpinia pyramidalis,South America,Semi-arid,Deciduous,0.09800
199,Caesalpinia pyramidalis,South America,Semi-arid,Deciduous,0.10000
200,Caesalpinia pyramidalis,South America,Semi-arid,Deciduous,0.10400
201,Caesalpinia pyramidalis,South America,Semi-arid,Deciduous,0.11300
202,Caesalpinia pyramidalis,South America,Semi-arid,Deciduous,0.12900
203,Colophospermum mopane,Africa,Semi-arid,Deciduous,0.08600
204,Colophospermum mopane,Africa,Semi-arid,Deciduous,0.12400
205,Colophospermum mopane,Africa,Semi-arid,Deciduous,0.15200
206,Colophospermum mopane,Africa,Semi-arid,Deciduous,0.17300
208,Colophospermum mopane,Africa,Semi-arid,Deciduous,0.17800
209,Colophospermum mopane,Africa,Semi-arid,Deciduous,0.18100
210,Colophospermum mopane,Africa,Semi-arid,Deciduous,0.18500
211,Colophospermum mopane,Africa,Semi-arid,Deciduous,0.18600
212,Colophospermum mopane,Africa,Semi-arid,Deciduous,0.18800
213,Colophospermum mopane,Africa,Semi-arid,Deciduous,0.19800
214,Combretum apiculatum,Africa,Semi-arid,Deciduous,0.04340
215,Combretum apiculatum,Africa,Semi-arid,Deciduous,0.05020
216,Combretum apiculatum,Africa,Semi-arid,Deciduous,0.05470
217,Combretum apiculatum,Africa,Semi-arid,Deciduous,0.06560
218,Combretum apiculatum,Africa,Semi-arid,Deciduous,0.06640
219,Combretum apiculatum,Africa,Semi-arid,Deciduous,0.06720
220,Combretum apiculatum,Africa,Semi-arid,Deciduous,0.07690
221,Combretum apiculatum,Africa,Semi-arid,Deciduous,0.07770
222,Combretum apiculatum,Africa,Semi-arid,Deciduous,0.10500
223,Combretum apiculatum,Africa,Semi-arid,Deciduous,0.11080
224,Combretum hereroense,Africa,Semi-arid,Deciduous,0.05300
225,Combretum hereroense,Africa,Semi-arid,Deciduous,0.05700
226,Combretum hereroense,Africa,Semi-arid,Deciduous,0.06200
227,Combretum hereroense,Africa,Semi-arid,Deciduous,0.06500
228,Combretum hereroense,Africa,Semi-arid,Deciduous,0.07500
229,Combretum hereroense,Africa,Semi-arid,Deciduous,0.08100
230,Combretum hereroense,Africa,Semi-arid,Deciduous,0.08200
231,Combretum hereroense,Africa,Semi-arid,Deciduous,0.08600
232,Combretum hereroense,Africa,Semi-arid,Deciduous,0.09100
233,Combretum hereroense,Africa,Semi-arid,Deciduous,0.10800
234,Combretum molle,Africa,Humid,Deciduous,0.04320
235,Combretum molle,Africa,Humid,Deciduous,0.04550
236,Combretum molle,Africa,Humid,Deciduous,0.05640
237,Combretum molle,Africa,Humid,Deciduous,0.05860
238,Combretum molle,Africa,Humid,Deciduous,0.06040
239,Combretum molle,Africa,Humid,Deciduous,0.06140
240,Combretum molle,Africa,Humid,Deciduous,0.06160
241,Combretum molle,Africa,Humid,Deciduous,0.06340
242,Combretum molle,Africa,Humid,Deciduous,0.06600
243,Combretum molle,Africa,Humid,Deciduous,0.06810
244,Combretum zeyheri,Africa,Semi-arid,Deciduous,0.23300
245,Combretum zeyheri,Africa,Semi-arid,Deciduous,0.27000
246,Combretum zeyheri,Africa,Semi-arid,Deciduous,0.38300
247,Combretum zeyheri,Africa,Semi-arid,Deciduous,0.40000
