taxon,week of experiment,water treatment,nutrient treatment,defoliation treatment,photosynthetic rate umol/m2/s,gs (mol/m2/s),IWUE (Amax/g),Pre-dawn water potential (WP) (MPa),Mid-dayWP (MPa),V cmax,J max,V j,carboxylation efficiency,R day,CO2 compensation point,quantum yield,L s,R dark,R dark/Amax,R dark/N,N (g m-2),Chlorophyll (g m-2),Chlorophyll:N (gg-1),Soluble sugars (SS) (gm-2),Starch (St) (gm-2)
Eucalyptus globulus,40,W-,N-,Control,14.3,0.2,81,0.41,1.52,,,,,,,,,,,,,,,,
Eucalyptus globulus,50,W-,N-,Control,10.7,0.16,74,,,,,,,,,,,,,,,,,,
Eucalyptus globulus,37,W+,N+,Control,,,,,,39.4,134.9,49.6,0.22,23.9,117.8,0.064,53.1,0.91,0.053,0.38,,,,,
Eucalyptus globulus,37,W+,N+,Defoliated,,,,,,52.8,181.7,49.9,0.18,16.7,108.9,0.076,49.7,1.86,0.047,0.38,,,,,
Eucalyptus globulus,37,W+,N-,Control,,,,,,44,150.4,53,0.27,25.5,106.1,0.065,39.7,0.51,0.031,0.27,,,,,
Eucalyptus globulus,37,W+,N-,Defoliated,,,,,,54.9,189.0,49.5,0.16,13.1,84.5,0.071,44.8,0.56,0.031,0.21,,,,,
Eucalyptus globulus,37,W-,N+,Control,,,,,,54.8,188,48.7,0.21,17.1,97.8,0.077,53.4,0.60,0.051,0.28,,,,,
Eucalyptus globulus,37,W-,N+,Defoliated,,,,,,60.3,202.9,57.7,0.19,16.9,101.3,0.082,34.6,0.75,0.052,0.29,,,,,
Eucalyptus globulus,37,W-,N-,Control,,,,,,50,172,45.9,0.17,15.2,99.6,0.077,36.4,0.91,0.062,0.37,,,,,
Eucalyptus globulus,37,W-,N-,Defoliated,,,,,,60.0,206.2,50.7,0.18,14.6,93.3,0.097,38.5,0.86,0.065,0.34,,,,,
