"species","plant_growth_form","leaf_lifespan","plant_height","plant_height_unit","leaf_length_min","leaf_length_max","leaf_length_unit","leaf_width_min","leaf_width_max","leaf_width_unit","seed_length_min","seed_length_max","seed_length_unit","seed_width_min","seed_width_max","seed_width_unit"
"Angophora bakeri subsp. bakeri","T","",20,"m",5,13,"cm",0.5,1.5,"cm",4.5,6,"mm",NA,NA,""
"Angophora bakeri subsp. crassifolia","T","",10,"m",5,11,"cm",1,2,"cm",NA,NA,"",NA,NA,""
"Angophora costata subsp. costata","T","",30,"m",7,19,"cm",1.2,3.5,"cm",5,8,"mm",NA,NA,""
"Angophora costata subsp. euryphylla","T","",25,"m",10,21,"cm",2,5,"cm",6,8,"mm",NA,NA,""
"Angophora costata subsp. leiocarpa","T","",25,"m",5.5,16,"cm",0.6,2.2,"cm",6,8,"mm",NA,NA,""
"Angophora floribunda","T","",30,"m",5.5,15,"cm",1,5,"cm",5.5,7,"mm",NA,NA,""
"Angophora hispida","TS","",8,"m",5,11.5,"cm",2,6,"cm",8,10,"mm",NA,NA,""
"Angophora inopina","TS","",8,"m",4.5,12,"cm",0.8,3,"cm",4,6,"mm",NA,NA,""
"Angophora melanoxylon","TS","",15,"m",3,9,"cm",0.6,2.2,"cm",4,7,"mm",NA,NA,""
"Angophora robur","T","",10,"m",6,18,"cm",2.5,6,"cm",NA,NA,"",NA,NA,""
"Angophora subvelutina","T","",20,"m",6,12,"cm",2,5,"cm",5,8,"mm",NA,NA,""
"Angophora woodsiana","T","",20,"m",7.5,17,"cm",1.7,4.5,"cm",NA,NA,"",NA,NA,""
"Corymbia abbreviata","T","",7,"m",7,23.5,"cm",3,11,"cm",10,16,"mm",NA,NA,""
"Corymbia abergiana","T","",12,"m",8,18,"cm",2,6.4,"cm",6,14,"mm",NA,NA,""
"Corymbia aparrerinja","T","",20,"m",5,16.5,"cm",0.7,3.2,"cm",4,6,"mm",NA,NA,""
"Corymbia arafurica","T","",15,"m",8,20.7,"cm",1.3,5.5,"cm",3,7,"mm",NA,NA,""
"Corymbia arenaria","T","",7,"m",6,19,"cm",0.8,3,"cm",5,8,"mm",NA,NA,""
"Corymbia arnhemensis","T","",15,"m",7.5,18,"cm",0.8,2.5,"cm",5,6,"mm",NA,NA,""
"Corymbia aspera","T","",15,"m",1.5,6.8,"cm",0.7,3.5,"cm",NA,NA,"",NA,NA,""
"Corymbia aureola","T","",15,"m",8.5,20.5,"cm",1.2,4,"cm",4,6,"mm",NA,NA,""
"Corymbia bella","T","",20,"m",7,23,"cm",0.6,2.5,"cm",3,7,"mm",NA,NA,""
"Corymbia blakei","T","",10,"m",4,13,"cm",0.3,1.8,"cm",NA,NA,"",NA,NA,""
"Corymbia bleeseri","T","",20,"m",7.5,18.4,"cm",0.9,2.7,"cm",7,13,"mm",NA,NA,""
"Corymbia bloxsomei","T","",20,"m",8.8,18.8,"cm",1,5.1,"cm",2.5,6,"mm",NA,NA,""
"Corymbia brachycarpa","T","",15,"m",6.5,15,"cm",0.9,2.1,"cm",8,11,"mm",NA,NA,""
"Corymbia bunites","T","",25,"m",7.3,20,"cm",1.2,4,"cm",3,6,"mm",NA,NA,""
"Corymbia cadophora subsp. cadophora","T","",6,"m",9.5,25.5,"cm",3,8.6,"cm",10,18,"mm",NA,NA,""
"Corymbia cadophora subsp. pliantha","T","",6,"m",7,17.5,"cm",2.8,7.8,"cm",10,17,"mm",NA,NA,""
"Corymbia calophylla","T","",40,"m",7,19,"cm",2,5.5,"cm",10,15,"mm",NA,NA,""
"Corymbia candida","T","",10,"m",3,8,"cm",0.8,2.7,"cm",3,6,"mm",NA,NA,""
"Corymbia chartacea","T","",8,"m",4.5,16,"cm",3,8.6,"cm",10,16,"mm",NA,NA,""
"Corymbia chippendalei","T","",10,"m",6.5,13,"cm",1,2.3,"cm",9,13,"mm",NA,NA,""
"Corymbia citriodora","T","",50,"m",7,23,"cm",0.6,3.5,"cm",2.3,5,"mm",NA,NA,""
"Corymbia clandestina","T","",8,"m",7.3,12,"cm",1,2,"cm",5,8,"mm",NA,NA,""
"Corymbia clarksoniana","T","",15,"m",6,18,"cm",1,3,"cm",9,11,"mm",NA,NA,""
"Corymbia clavigera","T","",15,"m",7,16,"cm",1.4,2.5,"cm",NA,NA,"",NA,NA,""
"Corymbia cliftoniana","T","",8,"m",7.8,17,"cm",1,2.6,"cm",8,12,"mm",NA,NA,""
"Corymbia collina","T","",10,"m",9.2,23.5,"cm",1,3,"cm",9,13,"mm",NA,NA,""
"Corymbia confertiflora","T","D",18,"m",5,21,"cm",1.8,10.3,"cm",3,5,"mm",NA,NA,""
"Corymbia dallachiana","T","",15,"m",9.3,27,"cm",0.9,3.4,"cm",NA,NA,"",NA,NA,""
"Corymbia dendromerinx","T","D",10,"m",6,15,"cm",3.6,10,"cm",NA,NA,"",NA,NA,""
"Corymbia deserticola subsp. deserticola","TS","",6,"m",2,6.2,"cm",1,3.5,"cm",8,10,"mm",NA,NA,""
"Corymbia deserticola subsp. mesogeotica","T","",5,"m",2,6,"cm",2,4,"cm",8,10,"mm",NA,NA,""
"Corymbia dichromophloia","T","",15,"m",7,23,"cm",0.8,5.5,"cm",5,11,"mm",NA,NA,""
"Corymbia disjuncta","T","D",15,"m",6,25.5,"cm",4.2,15.6,"cm",3,5,"mm",NA,NA,""
"Corymbia dunlopiana","T","",7,"m",3.5,12,"cm",2,5.7,"cm",12,17,"mm",NA,NA,""
"Corymbia ellipsoidea","T","",15,"m",7,24,"cm",0.7,2.7,"cm",6,8,"mm",NA,NA,""
"Corymbia eremaea","T","",10,"m",6,15,"cm",0.8,2.1,"cm",7,12,"mm",NA,NA,""
"Corymbia erythrophloia","T","",8,"m",9,23.6,"cm",1,3.5,"cm",6,10,"mm",NA,NA,""
"Corymbia eximia","T","",20,"m",10,24,"cm",1.7,6,"cm",5,8,"mm",NA,NA,""
"Corymbia ferriticola","T","",15,"m",4,10,"cm",0.6,2.2,"cm",3,5,"mm",NA,NA,""
"Corymbia ferruginea subsp. ferruginea","T","",12,"m",6.3,18,"cm",3,9,"cm",9,15,"mm",NA,NA,""
"Corymbia ferruginea subsp. stypophylla","T","",12,"m",5.4,21.5,"cm",2,7.5,"cm",9,15,"mm",NA,NA,""
"Corymbia ficifolia","T","",10,"m",7,15,"cm",2.2,5.5,"cm",12,18,"mm",NA,NA,""
"Corymbia flavescens","T","",15,"m",6,23.5,"cm",1.3,7,"cm",NA,NA,"",NA,NA,""
"Corymbia foelscheana","T","D",10,"m",8,27.5,"cm",4,13.5,"cm",10,15,"mm",NA,NA,""
"Corymbia gilbertensis","T","",12,"m",4,16,"cm",0.4,4.6,"cm",NA,NA,"",NA,NA,""
"Corymbia grandifolia subsp. grandifolia","T","D",20,"m",6.8,20,"cm",3,10.5,"cm",4,7,"mm",NA,NA,""
"Corymbia grandifolia subsp. lamprocardia","T","D",10,"m",7.5,19,"cm",5.4,15,"cm",4,7,"mm",NA,NA,""
"Corymbia grandifolia subsp. longa","T","D",20,"m",7.1,23.5,"cm",1.7,12,"cm",3,6,"mm",NA,NA,""
"Corymbia greeniana","T","",10,"m",8,27,"cm",1.2,7.6,"cm",8,15,"mm",NA,NA,""
"Corymbia gummifera","T","",35,"m",5.5,16,"cm",1.5,5,"cm",5,8,"mm",NA,NA,""
"Corymbia haematoxylon","T","",15,"m",5.5,14,"cm",1.7,4,"cm",8,12,"mm",NA,NA,""
"Corymbia hamersleyana","T","",8,"m",8,16.5,"cm",1,3,"cm",7,10,"mm",NA,NA,""
"Corymbia hendersonii","T","",25,"m",7,17,"cm",0.8,3.5,"cm",7,17,"mm",NA,NA,""
"Corymbia henryi","T","",25,"m",11,28,"cm",2.2,4.5,"cm",3,4.5,"mm",NA,NA,""
"Corymbia hylandii","T","",5,"m",7.5,19.5,"cm",0.9,2.5,"cm",7,11,"mm",NA,NA,""
"Corymbia intermedia","T","",35,"m",8,15,"cm",1.3,4,"cm",4,11,"mm",NA,NA,""
"Corymbia jacobsiana","T","",15,"m",5.3,13.7,"cm",0.7,3,"cm",3,5,"mm",NA,NA,""
"Corymbia kombolgiensis","T","",12,"m",5.8,21,"cm",0.6,2.5,"cm",NA,NA,"",NA,NA,""
"Corymbia lamprophylla","T","",15,"m",7,18,"cm",1,3,"cm",5,8,"mm",NA,NA,""
"Corymbia latifolia","T","D",12,"m",7,16.5,"cm",4,12.3,"cm",5,8,"mm",NA,NA,""
"Corymbia leichhardtii","T","",15,"m",8,24.5,"cm",1,4.8,"cm",3,6,"mm",NA,NA,""
"Corymbia lenziana","T","",10,"m",6.5,12,"cm",0.5,1.5,"cm",6,14,"mm",NA,NA,""
"Corymbia leptoloma","T","",15,"m",8.9,21.5,"cm",2.1,5,"cm",3,6,"mm",NA,NA,""
