site,lat,long
Kapalga,-12.56361111,132.3075
Katherine,-14.58638889,132.1605556
Kidman Springs,-16.13,130.9330556
Melville Island,-11.76722222,130.8830556
Mt_Sanford,-17.30083333,130.7561111
