var_name,trait_name,unit
growth form,plant_growth_form,NA
leaf longevity,leaf_phenology,NA
Nfixer,nitrogen_fixing,NA
SLA,specific_leaf_area,cm2/g
Nmass%,leaf_N_per_dry_mass,%
Narea g/m2,leaf_N_per_area,g/m2
d13C,leaf_delta13C,per mille
15N,leaf_delta15N,per mille
